round,Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
1,0,-30,-10,4,0,6,0,-30,-39,12,0,27,0
1,1,-29.98756944,-10,4,0,6,0,-29.98756944,-39,12,0,27,0
1,2,-29.95055556,-10,4,0,6,0,-29.95055556,-39,12,0,27,0
1,3,-29.889375,-10,4,0,6,0,-29.889375,-39,12,0,27,0
1,4,-29.80444444,-10,4,0,6,0,-29.80444444,-39,12,0,27,0
1,5,-29.69618056,-10,4,0,6,0,-29.69618056,-39,12,0,27,0
1,6,-29.565,-10,4,0,6,0,-29.565,-39,12,0,27,0
1,7,-29.41131944,-10,4,0,6,0,-29.41131944,-39,12,0,27,0
1,8,-29.23555556,-10,4,0,6,0,-29.23555556,-39,12,0,27,0
1,9,-29.038125,-10,4,0,6,0,-29.038125,-39,12,0,27,0
1,10,-28.81944444,-10,4,0,6,0,-28.81944444,-39,12,0,27,0
1,11,-28.57993056,-10,4,0,6,0,-28.57993056,-39,12,0,27,0
1,12,-28.32,-10,4,0,6,0,-28.32,-39,12,0,27,0
1,13,-28.04006944,-10,4,0,6,0,-28.04006944,-39,12,0,27,0
1,14,-27.74055556,-10,4,0,6,0,-27.74055556,-39,12,0,27,0
1,15,-27.421875,-10,4,0,6,0,-27.421875,-39,12,0,27,0
1,16,-27.08444444,-10,4,0,6,0,-27.08444444,-39,12,0,27,0
1,17,-26.72868056,-10,4,0,6,0,-26.72868056,-39,12,0,27,0
1,18,-26.355,-10,4,0,6,0,-26.355,-39,12,0,27,0
1,19,-25.96381944,-10,4,0,6,0,-25.96381944,-39,12,0,27,0
1,20,-25.55555556,-10,4,0,6,0,-25.55555556,-39,12,0,27,0
1,21,-25.130625,-10,4,0,6,0,-25.130625,-39,12,0,27,0
1,22,-24.68944444,-10,4,0,6,0,-24.68944444,-39,12,0,27,0
1,23,-24.23243056,-10,4,0,6,0,-24.23243056,-39,12,0,27,0
1,24,-23.76,-10,4,0,6,0,-23.76,-39,12,0,27,0
1,25,-23.27256944,-10,4,0,6,0,-23.27256944,-39,12,0,27,0
1,26,-22.77055556,-10,4,0,6,0,-22.77055556,-39,12,0,27,0
1,27,-22.254375,-10,4,0,6,0,-22.254375,-39,12,0,27,0
1,28,-21.72444444,-10,4,0,6,0,-21.72444444,-39,12,0,27,0
1,29,-21.18118056,-10,4,0,6,0,-21.18118056,-39,12,0,27,0
1,30,-20.625,-10,4,0,6,0,-20.625,-39,12,0,27,0
1,31,-20.05631944,-10,4,0,6,0,-20.05631944,-39,12,0,27,0
1,32,-19.47555556,-10,4,0,6,0,-19.47555556,-39,12,0,27,0
1,33,-18.883125,-10,4,0,6,0,-18.883125,-39,12,0,27,0
1,34,-18.27944444,-10,4,0,6,0,-18.27944444,-39,12,0,27,0
1,35,-17.66493056,-10,4,0,6,0,-17.66493056,-39,12,0,27,0
1,36,-17.04,-10,4,0,6,0,-17.04,-39,12,0,27,0
1,37,-16.40506944,-10,4,0,6,0,-16.40506944,-39,12,0,27,0
1,38,-15.76055556,-10,4,0,6,0,-15.76055556,-39,12,0,27,0
1,39,-15.106875,-10,4,0,6,0,-15.106875,-39,12,0,27,0
1,40,-14.44444444,-10,4,0,6,0,-14.44444444,-39,12,0,27,0
1,41,-13.77368056,-10,4,0,6,0,-13.77368056,-39,12,0,27,0
1,42,-13.095,-10,4,0,6,0,-13.095,-39,12,0,27,0
1,43,-12.40881944,-10,4,0,6,0,-12.40881944,-39,12,0,27,0
1,44,-11.71555556,-10,4,0,6,0,-11.71555556,-39,12,0,27,0
1,45,-11.40429781,-10.01157321,3.979945464,2.065273217e-05,6.00048039,-0.0001141241908,-11.38502846,-38.97423235,12.01387011,-0.0003254694045,26.99884085,-0.0001141241908
1,46,-11.13195761,-10.04474236,3.922137474,8.603217357e-05,6.00187501,-0.0004394898764,-11.05695621,-38.8998419,12.05389975,-0.001258810953,26.99549999,-0.0004394898764
1,47,-10.89520806,-10.09718174,3.830109461,0.0002012701915,6.004114035,-0.0009505867261,-10.73112586,-38.78119741,12.11771791,-0.002735424648,26.99018228,-0.0009505867262
1,48,-10.69072226,-10.16656563,3.707394854,0.0003714986534,6.00712764,-0.00162190441,-10.40732446,-38.62266763,12.20295357,-0.004690710492,26.98309261,-0.00162190441
1,49,-10.5151733,-10.25056831,3.557527082,0.0006018494265,6.010846001,-0.002427932597,-10.08533905,-38.4286213,12.30723571,-0.007060068487,26.97443585,-0.002427932597
1,50,-10.36523428,-10.34686405,3.384039576,0.0008974543781,6.015199293,-0.003343160957,-9.764956707,-38.20342718,12.42819331,-0.009778898637,26.96441687,-0.003343160957
1,51,-10.23757829,-10.45312716,3.190465764,0.001263445376,6.02011769,-0.004342079159,-9.445964471,-37.95145402,12.56345534,-0.01278260094,26.95324055,-0.004342079159
1,52,-10.12887842,-10.5670319,2.980339076,0.001704954286,6.025531369,-0.005399176873,-9.128149399,-37.67707057,12.7106508,-0.01600657541,26.94111176,-0.005399176874
1,53,-10.03580778,-10.68625256,2.757192942,0.002227112978,6.031370504,-0.00648894377,-8.811298544,-37.38464558,12.86740866,-0.01938622204,26.92823538,-0.00648894377
1,54,-9.955039459,-10.80846342,2.524560791,0.002835053317,6.037565271,-0.007585869517,-8.49519896,-37.07854782,13.03135789,-0.02285694083,26.91481628,-0.007585869517
1,55,-9.883246552,-10.93133877,2.285976052,0.003533907171,6.044045845,-0.008664443785,-8.179637701,-36.76314601,13.20012749,-0.02635413179,26.90105934,-0.008664443785
1,56,-9.817102156,-11.05255288,2.044972156,0.004328806408,6.0507424,-0.009699156243,-7.864401819,-36.44280893,13.37134643,-0.02981319491,26.88716943,-0.009699156244
1,57,-9.753279365,-11.16978005,1.805082531,0.005224882895,6.057585113,-0.01066449656,-7.549278369,-36.12190531,13.5426437,-0.03316953021,26.87335143,-0.01066449656
1,58,-9.688451276,-11.28069454,1.569840608,0.0062272685,6.064504159,-0.01153495441,-7.234054405,-35.80480392,13.71164826,-0.03635853769,26.85981021,-0.01153495441
1,59,-9.616591752,-11.38775731,1.332520748,0.007387730429,6.071738237,-0.01232077692,-6.904923546,-35.48199306,13.88338906,-0.0394493322,26.84616052,-0.01232077692
1,60,-9.538866994,-11.48636606,1.103994706,0.008650810596,6.078961388,-0.01298533757,-6.575513598,-35.16833399,14.05000627,-0.04228736736,26.83302856,-0.01298533757
1,61,-9.45412643,-11.5774678,0.8841529112,0.009997847922,6.086155606,-0.01353839591,-6.245886604,-34.8640862,14.21145174,-0.0448722869,26.82040788,-0.01353839591
1,62,-9.361219487,-11.66200952,0.6728857976,0.01141018133,6.093302882,-0.0139897115,-5.916104609,-34.56950915,14.36767733,-0.04720373456,26.80829201,-0.0139897115
1,63,-9.258995594,-11.74093822,0.4700837967,0.01286914974,6.100385208,-0.0143490439,-5.586229657,-34.28486231,14.51863488,-0.04928135406,26.79667452,-0.0143490439
1,64,-9.146304179,-11.8152009,0.2756373405,0.01435609207,6.107384575,-0.01462615267,-5.256323793,-34.01040516,14.66427625,-0.05110478914,26.78554893,-0.01462615267
1,65,-9.02199467,-11.88574454,0.08943686108,0.01585234725,6.114282977,-0.01483079736,-4.926449061,-33.74639717,14.80455329,-0.05267368353,26.77490882,-0.01483079736
1,66,-8.884916495,-11.95351615,-0.08862720952,0.01733925419,6.121062403,-0.01497273753,-4.596667506,-33.49309781,14.93941786,-0.05398768096,26.76474771,-0.01497273753
1,67,-8.733919081,-12.01946272,-0.2586644393,0.01879815183,6.127704848,-0.01506173274,-4.267041171,-33.25076654,15.0688218,-0.05504642515,26.75505917,-0.01506173274
