round,step,MaxD_in,MaxD_out
1,0,0.150667903,0.150667903
1,1,0.1507519962,0.1507519962
1,2,0.1510023967,0.1510023967
1,3,0.1514162831,0.1514162831
1,4,0.1519908217,0.1519908217
1,5,0.1527231514,0.1527231514
1,6,0.1536103649,0.1536103649
1,7,0.1546494837,0.1546494837
1,8,0.1558374311,0.1558374311
1,9,0.1572296273,0.1572296273
1,10,0.15890183,0.15890183
1,11,0.160733521,0.160733521
1,12,0.1627209798,0.1627209798
1,13,0.1648601849,0.1648601849
1,14,0.1671467589,0.1671467589
1,15,0.1695759114,0.1695759114
1,16,0.1721423823,0.1721423823
1,17,0.1748403849,0.1748403849
1,18,0.1776635498,0.1776635498
1,19,0.1806048709,0.1806048709
1,20,0.1836566537,0.1836566537
1,21,0.1868104673,0.1868104673
1,22,0.190057101,0.190057101
1,23,0.1933865274,0.1933865274
1,24,0.1967878708,0.1967878708
1,25,0.2002493854,0.2002493854
1,26,0.2037584419,0.2037584419
1,27,0.2073015241,0.2073015241
1,28,0.2108642378,0.2108642378
1,29,0.2144313321,0.2144313321
1,30,0.2179867335,0.2179867335
1,31,0.2215135953,0.2215135953
1,32,0.2249943605,0.2249943605
1,33,0.2284108418,0.2284108418
1,34,0.2317443148,0.2317443148
1,35,0.2349756285,0.2349756285
1,36,0.2380853292,0.2380853292
1,37,0.2410537987,0.2410537987
1,38,0.2438614065,0.2438614065
1,39,0.2464886716,0.2464886716
1,40,0.2489164357,0.2489164357
1,41,0.2511260427,0.2511260427
1,42,0.2748029911,0.2748029911
1,43,0.3020948958,0.3020948958
1,44,0.330624127,0.330624127
1,45,0.3601597134,0.3441120359
1,46,0.3904185733,0.3560013028
1,47,0.4210669628,0.3662576003
1,48,0.4548321718,0.3748176192
1,49,0.5116689331,0.3815951245
1,50,0.5702976541,0.3864912082
1,51,0.6296154491,0.3894074215
1,52,0.6883464711,0.3902603932
1,53,0.7450813438,0.3889964657
1,54,0.7983303086,0.3932872054
1,55,0.8465877432,0.3985391274
1,56,0.8884043413,0.4044139495
1,57,0.9224621247,0.4083852981
1,58,0.9476467279,0.4103953562
1,59,0.9631112143,0.4140294604
1,60,0.9683260929,0.415815052
1,61,0.9631112143,0.4157453856
1,62,0.9476467279,0.4140532272
1,63,0.9224621247,0.4110399503
1,64,0.8884043413,0.4070620191
1,65,0.8465877432,0.4034687967
1,66,0.7983303086,0.4053189239
1,67,0.7450813438,0.4066936181
1,68,0.6883464711,0.4076719475
1,69,0.6296154491,0.4083252074
1,70,0.5702976541,0.4087170925
1,71,0.5116689331,0.4089039899
1,72,0.4548321718,0.4089353467
1,73,0.4006925072,0.408854079
1,74,0.3499468031,0.4086969951
1,75,0.3030859265,0.4084952177
1,76,0.2702126138,0.4082745918
1,77,0.2548197867,0.4080560717
1,78,0.2530995243,0.407856085
1,79,0.2511260427,0.4076868707
1,80,0.2489164357,0.4075567958
1,81,0.2464886716,0.4074706504
1,82,0.2438614065,0.4074299275
1,83,0.2410537987,0.4074330904
1,84,0.2380853292,0.407475834
1,85,0.2349756285,0.4075513438
1,86,0.2317443148,0.4076505583
1,87,0.2284108418,0.4077624388
1,88,0.2249943605,0.407874251
1,89,0.2215135953,0.4079718618
1,90,0.2179867335,0.4080400531
1,91,0.2144313321,0.4080628544
1,92,0.2108642378,0.4080292788
1,93,0.2073015241,0.4079500287
1,94,0.2037584419,0.4078409722
1,95,0.2002493854,0.4077172681
1,96,0.1967878708,0.4075930316
1,97,0.1933865274,0.4074810182
1,98,0.190057101,0.4073923264
1,99,0.1868104673,0.4073361147
1,100,0.1836566537,0.4073193305
1,101,0.1806048709,0.4073464475
1,102,0.1776635498,0.4074192056
1,103,0.1748403849,0.4075363496
1,104,0.1721423823,0.4076933616
1,105,0.1695759114,0.4078821808
1,106,0.1671467589,0.4080909079
1,107,0.1648601849,0.4083034882
1,108,0.1627209798,0.4084993714
1,109,0.160733521,0.4086531461
1,110,0.15890183,0.4087341488
1,111,0.1572296273,0.4087060511
1,112,0.1558374311,0.4085264306
1,113,0.1546494837,0.4081463374
1,114,0.1536103649,0.407509873
1,115,0.1527231514,0.4065538065
1,116,0.1519908217,0.4052072609
1,117,0.1514162831,0.403391516
1,118,0.1510023967,0.4069708402
1,119,0.1507519962,0.4109873303
1,120,0.150667903,0.4140419426
1,121,nan,0.4157764152
1,122,nan,0.4158875155
1,123,nan,0.4141406688
1,124,nan,0.4103911162
1,125,nan,0.4084189935
1,126,nan,0.4044800321
1,127,nan,0.3986312022
1,128,nan,0.3934667246
1,129,nan,0.3882190002
1,130,nan,0.3808326119
1,131,nan,0.3713961713
1,132,nan,0.3600346707
1,133,nan,0.3468983593
1,134,nan,0.3321518808
1,135,nan,0.3159648443
1,136,nan,0.2985048458
1,137,nan,0.2828076318
