round,inner_step,G_norm,d_norm,alpha
1,1,14.54822099,14.54822099,0.3326144526
1,2,8.147765391,9.335908937,1.153304895
1,3,8.105672611,12.2858018,0.3534771399
1,4,7.885250953,14.04648641,0.5587661554
1,5,5.371719218,8.451230544,0.2471396212
1,6,4.517077296,7.495525643,1.041888162
1,7,7.176402343,20.23189092,0.2486843064
1,8,3.960984254,7.319941589,0.2747681936
1,9,2.276342185,3.311080294,0.3163834066
1,10,1.895108715,2.967510902,0.2954067987
1,11,1.097007227,1.47664542,0.4471527506
1,12,1.352871983,2.635507118,0.3687168512
1,13,0.7855514762,1.202871578,0.3751644323
1,14,1.405919537,1.405919537,0.330796105
1,15,1.262686092,1.703994171,0.6300617753
1,16,1.123064768,1.764825877,0.4944406136
1,17,0.8083186773,1.226041554,0.8742093478
1,18,0.3624340305,0.4379460083,0.574534694
1,19,4.463078056,4.463078056,0.4207691959
1,20,3.209014325,3.965117462,0.5606242039
1,21,2.70453139,3.921535777,0.3459112365
1,22,2.381943276,3.872545022,0.6064147974
1,23,0.8717021735,1.01393629,0.3716297944
1,24,0.857748045,1.321021695,0.4676806119
1,25,0.494781381,0.6763220328,1.323000915
1,26,0.1499101714,0.159781374,0.2209738156
1,27,4.02556964,4.02556964,0.2729514332
1,28,1.947252526,2.157678676,0.7466350745
1,29,2.407365742,4.083678574,0.2319313105
1,30,1.257015078,1.688675266,0.4199710521
1,31,0.6026853721,0.7375982724,0.2958524596
1,32,0.4821548034,0.6856209493,0.5292610421
1,33,0.4017696093,0.6254853746,0.2777257084
1,34,0.2915085517,0.4413188511,0.4915849192
1,35,0.279837557,0.4941363297,0.2858320483
1,36,0.09227706946,0.1077714794,0.419159171
1,37,1.162478979,1.162478979,0.1871307009
1,38,0.5704185548,0.6434074621,0.3525470385
1,39,0.2210125499,0.2525262645,0.5461109467
1,40,0.2162234824,0.313746327,0.4631029025
1,41,0.157743741,0.2132862291,0.2804906247
1,42,0.1237759574,0.1651617188,1.042265334
1,43,0.1125773114,0.166788737,0.158761734
1,44,0.04899851024,0.06312734702,0.05484388703
1,45,3.745882144,3.745882144,0.1664258673
1,46,1.725127471,1.908636824,0.2802474245
1,47,1.222674207,1.561323878,0.5408513566
1,48,0.9780798828,1.391424805,0.6093390334
1,49,0.751290853,1.091681477,0.2863111013
1,50,0.5225248802,0.7214861735,0.4536509478
1,51,0.3032416103,0.3830236655,0.3483320484
1,52,0.2733072499,0.4226138116,0.4893047293
1,53,0.2671820939,0.492608041,0.3681494664
1,54,0.09231108242,0.1108455882,0.4601384634
1,55,9.851014062,9.851014062,0.1380608592
1,56,3.024167654,3.169870869,0.2761187956
1,57,2.259729081,2.875389543,0.2542431364
1,58,1.78148396,2.512932803,0.441920004
1,59,1.623230615,2.622040715,0.1628420674
1,60,1.236385667,1.936828901,0.2125064098
1,61,1.035324059,1.692159081,0.2633706787
1,62,0.7043962332,1.046995786,0.1138516632
1,63,0.4073421548,0.5345641006,0.6051135892
1,64,0.6292289689,1.426930437,0.1545341004
1,65,0.4274189388,0.7876662363,0.2414536763
1,66,0.2778852574,0.4315910651,0.1393798803
1,67,0.1635649449,0.228561537,0.1714449729
1,68,0.1404131452,0.236586959,0.2625584741
1,69,0.1105663825,0.1956185029,0.1475391098
1,70,0.08750496577,0.1539731666,0.4606221186
1,71,3.367016644,3.367016644,0.1481615312
1,72,1.514994279,1.666381661,0.2877694332
1,73,1.178755752,1.542346149,0.1597996643
1,74,0.6202513199,0.7460406267,0.2441440207
1,75,0.739074488,1.282784639,0.3095941055
1,76,0.6602107004,1.20192371,0.2070067325
1,77,0.5864463898,1.110514748,0.1649700527
1,78,0.3363848252,0.4976161623,0.1880058422
1,79,0.2805470396,0.4522015555,0.4417696371
1,80,0.4555244918,1.275977574,0.1817636267
1,81,0.241570918,0.4363281808,0.1405292013
1,82,0.1363069562,0.2005405177,0.2308242786
1,83,0.09682739493,0.1468750993,0.1818135078
1,84,1.102885132,1.102885132,0.1658232556
1,85,0.5947422917,0.6816531054,0.27977219
1,86,0.4114395318,0.5220382306,0.1512930914
1,87,0.2937708519,0.3997494461,0.1826940759
1,88,0.2998626325,0.5284152748,0.5797207186
1,89,0.2800302189,0.5498544953,0.3664389859
1,90,0.2417182458,0.4815685503,0.1346930773
1,91,0.1766506136,0.3131336799,0.2414970061
1,92,0.197348228,0.4266322275,0.3880161742
1,93,0.08746965045,0.1128695845,0.2837334344
1,94,0.5886844368,0.5886844368,0.1508144112
1,95,0.3870648068,0.4761008163,0.2067700637
1,96,0.3687569342,0.5757351497,0.15596971
1,97,0.2115949206,0.2940968567,0.2963788012
1,98,0.1932288099,0.3344434183,0.3390720351
1,99,0.1630564143,0.3085572013,0.2029378911
1,100,0.1857076014,0.4536261566,0.2188830177
1,101,0.1193190659,0.2261709984,0.3047336109
1,102,0.1311579437,0.3046960267,0.4787043513
1,103,0.09658889416,0.1850741674,0.1531944909
1,104,0.3531551789,0.3531551789,0.2241557538
1,105,0.2692320932,0.3501453578,0.2501202989
1,106,0.2314338835,0.3538070698,0.1348906158
1,107,0.1710863787,0.2759502516,0.2429758812
1,108,0.1493100218,0.2819440679,0.2827635535
1,109,0.1406000638,0.304357941,0.1589732727
1,110,0.1379230874,0.3376505443,0.2813317547
1,111,0.07887652472,0.1415077127,0.5924472466
1,112,0.4803463,0.4803463,0.09167364972
1,113,0.2466445289,0.287687502,0.2215584596
1,114,0.2240081276,0.3390347566,0.248248792
1,115,0.1481707191,0.2178608434,0.2400384027
1,116,0.1669751084,0.3427127424,0.2432934922
1,117,0.1917945911,0.5080054544,0.2281475666
1,118,0.08910330304,0.1521159364,0.4534468404
1,119,0.27513198,0.27513198,0.1896210668
1,120,0.2091180937,0.2688284591,0.2274872784
1,121,0.2168544381,0.3634685668,0.1494855959
1,122,0.1279114519,0.1874505437,0.4495068656
1,123,0.1721627833,0.3994692093,0.2813844653
1,124,0.1676062749,0.4268709163,0.1138533363
1,125,0.09124224049,0.1658976523,0.3222713503
