Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.1506675049,0,0.1506675049
1,0.1506974368,1,0.1506974368
2,0.1507864685,2,0.1507864685
3,0.1509333594,3,0.1509333594
4,0.151136747,4,0.151136747
5,0.151395153,5,0.151395153
6,0.151706987,6,0.151706987
7,0.1520705508,7,0.1520705508
8,0.1524840415,8,0.1524840415
9,0.1529455543,9,0.1529455543
10,0.15346539,10,0.15346539
11,0.154179695,11,0.154179695
12,0.1549502338,12,0.1549502338
13,0.1557745574,13,0.1557745574
14,0.156650119,14,0.156650119
15,0.1575742722,15,0.1575742722
16,0.1585442707,16,0.1585442707
17,0.1595572675,17,0.1595572675
18,0.1606103151,18,0.1606103151
19,0.1617003656,19,0.1617003656
20,0.162824272,20,0.162824272
21,0.1639787896,21,0.1639787896
22,0.165160579,22,0.165160579
23,0.1663662084,23,0.1663662084
24,0.1675921588,24,0.1675921588
25,0.1688348279,25,0.1688348279
26,0.1700905369,26,0.1700905369
27,0.1713555364,27,0.1713555364
28,0.1726260153,28,0.1726260153
29,0.1738981086,29,0.1738981086
30,0.1751679075,30,0.1751679075
31,0.1764314703,31,0.1764314703
32,0.1776848334,32,0.1776848334
33,0.1789240243,33,0.1789240243
34,0.1801450741,34,0.1801450741
35,0.181344032,35,0.181344032
36,0.1825169796,36,0.1825169796
37,0.1836600458,37,0.1836600458
38,0.1847694226,38,0.1847694226
39,0.1858413807,39,0.1858413807
40,0.1868722858,40,0.1868722858
41,0.1878586143,41,0.1878586143
42,0.1887969697,42,0.1887969697
43,0.1896840983,43,0.1896840983
44,0.1905169048,44,0.1905169048
45,0.191292467,45,0.191292467
46,0.1920080506,46,0.1920080506
47,0.1926611227,47,0.1926611227
48,0.1932493645,48,0.1932493645
49,0.1937706829,49,0.1937706829
50,0.1942232216,50,0.1942232216
51,0.1946053699,51,0.1946053699
52,0.1949157713,52,0.1949157713
53,0.1951533297,53,0.1951533297
54,0.1953172149,54,0.1953172149
55,0.1954068664,55,0.1954068664
56,0.195421995,56,0.195421995
57,0.1953625839,57,0.1953625839
58,0.1952288873,58,0.1952288873
59,0.195021428,59,0.195021428
60,0.1947409935,60,0.1947409935
61,0.19438863,61,0.19438863
62,0.1939656357,62,0.1939656357
63,0.1934735522,63,0.1934735522
64,0.1929141554,64,0.1929141554
65,0.1922894442,65,0.1922894442
66,0.1916016291,66,0.1916016291
67,0.1908531194,67,0.1908531194
68,0.1900465095,68,0.1900465095
69,0.1971488186,69,0.1971488186
70,0.21268595,70,0.21268595
71,0.2283745557,71,0.2283745557
72,0.2440911881,72,0.2440911881
73,0.2597090412,73,0.2597090412
74,0.2751005764,74,0.2751005764
75,0.2901401861,75,0.2901401861
76,0.304706804,76,0.304706804
77,0.318686372,77,0.318686372
78,0.3319740831,78,0.3319740831
79,0.3444763331,79,0.3444763331
80,0.3561123241,80,0.3561123241
81,0.3668152848,81,0.3668152848
82,0.3765332852,82,0.3765332852
83,0.3852296438,83,0.3852296438
84,0.392882939,84,0.392882939
85,0.3994866531,85,0.3994866531
86,0.4050484857,86,0.4050484857
87,0.4095893864,87,0.4095893864
88,0.4131423579,88,0.4131423579
89,0.415751088,89,0.415751088
90,0.4174684659,90,0.4174684659
91,0.4183550378,91,0.4183550378
92,0.4184774511,92,0.4184774511
93,0.4179069328,93,0.4179069328
94,0.4181896085,94,0.4181896085
95,0.4202957107,95,0.4202957107
96,0.421623456,96,0.421623456
97,0.4222514018,97,0.4222514018
98,0.4222611329,98,0.4222611329
99,0.4217356783,99,0.4217356783
100,0.4207580971,100,0.4207580971
101,0.4194102462,101,0.4194102462
102,0.4177717353,102,0.4177717353
103,0.4159190625,103,0.4159190625
104,0.4139249234,104,0.4139249234
105,0.4118576756,105,0.4118576756
106,0.4097809424,106,0.4097809424
107,0.4077533329,107,0.4077533329
108,0.405828256,108,0.405828256
109,0.4040538057,109,0.4040538057
110,0.4024726936,110,0.4024726936
111,0.4011222053,111,0.4011222053
112,0.4000341598,112,0.4000341598
113,0.3992348495,113,0.3992348495
114,0.3987449417,114,0.3987449417
115,0.3985793232,115,0.3985793232
