Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,-30.00003273,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,-3.384232513e-05,5.087865181e-08,-29.99998854,-15.70006713,-9.694299484,3.160778972e-06,25.39438249,-4.862680875e-09
1,-29.98823323,-2.487033353e-06,2.796251599e-06,-1.740533889e-06,-3.382901439e-05,5.08586404e-08,-29.98818906,-15.69389203,-9.690486557,3.159535786e-06,25.38439446,-4.860768304e-09
2,-29.95319918,-2.484127852e-06,2.792984851e-06,-1.738500494e-06,-3.378949331e-05,5.079922429e-08,-29.95315506,-15.67555749,-9.679165552,3.155844627e-06,25.3547389,-4.855089663e-09
3,-29.89547728,-2.479340765e-06,2.787602575e-06,-1.735150282e-06,-3.372437861e-05,5.070133066e-08,-29.89543325,-15.6453496,-9.660513127,3.149763096e-06,25.30587855,-4.845733568e-09
4,-29.81561423,-2.472717432e-06,2.780155748e-06,-1.730514986e-06,-3.3634287e-05,5.056588667e-08,-29.81557032,-15.60355447,-9.634705945,3.14134879e-06,25.2382762,-4.832788632e-09
5,-29.71415673,-2.464303192e-06,2.770695347e-06,-1.724626335e-06,-3.351983519e-05,5.039381948e-08,-29.71411296,-15.55045821,-9.601920665,3.13065931e-06,25.1523946,-4.816343467e-09
6,-29.59165146,-2.454143384e-06,2.759272348e-06,-1.717516061e-06,-3.33816399e-05,5.018605627e-08,-29.59160787,-15.48634691,-9.562333949,3.117752254e-06,25.04869653,-4.796486687e-09
7,-29.44864512,-2.442283347e-06,2.745937728e-06,-1.709215893e-06,-3.322031785e-05,4.994352422e-08,-29.44860174,-15.41150669,-9.516122457,3.102685223e-06,24.92764474,-4.773306907e-09
8,-29.28568441,-2.428768422e-06,2.730742463e-06,-1.699757562e-06,-3.303648573e-05,4.966715048e-08,-29.28564127,-15.32622365,-9.46346285,3.085515816e-06,24.789702,-4.746892738e-09
9,-29.10331602,-2.413643948e-06,2.71373753e-06,-1.689172798e-06,-3.283076028e-05,4.935786222e-08,-29.10327315,-15.23078389,-9.404531788,3.066301631e-06,24.63533108,-4.717332794e-09
10,-28.90208665,-2.396955264e-06,2.694973905e-06,-1.677493332e-06,-3.26037582e-05,4.901658662e-08,-28.90204408,-15.12547351,-9.339505933,3.045100269e-06,24.46499475,-4.684715689e-09
11,-28.68254299,-2.378747709e-06,2.674502566e-06,-1.664750895e-06,-3.235609621e-05,4.864425085e-08,-28.68250074,-15.01057863,-9.268561945,3.021969328e-06,24.27915576,-4.649130036e-09
12,-28.44523174,-2.359066623e-06,2.652374488e-06,-1.650977217e-06,-3.208839102e-05,4.824178207e-08,-28.44518984,-14.88638535,-9.191876484,2.996966408e-06,24.07827689,-4.610664449e-09
