Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,-29.67382609,-15.02704084,9.745256234,-1.741218739e-06,5.399641224,5.087865181e-08,-30.02051924,-23.43606261,-6.999628956,-6.465610994e-05,29.69089509,-0.0006042529096
1,-29.66173255,-15.02704085,9.745256237,-1.741218739e-06,5.399641217,6.207235184e-08,-30.00828629,-23.43606262,-6.999628956,-6.464920025e-05,29.69089509,-0.0006042417159
2,-29.62571992,-15.02704087,9.745256248,-1.741218739e-06,5.399641196,9.54053921e-08,-29.9718585,-23.43606263,-6.999628956,-6.462862428e-05,29.69089509,-0.0006042083828
3,-29.5661902,-15.02704091,9.745256264,-1.741218739e-06,5.399641162,1.505056828e-07,-29.91164253,-23.43606266,-6.999628956,-6.459461173e-05,29.69089509,-0.0006041532825
4,-29.4835454,-15.02704096,9.745256288,-1.741218739e-06,5.399641114,2.270011343e-07,-29.828045,-23.4360627,-6.999628956,-6.454739228e-05,29.69089509,-0.0006040767871
5,-29.37818752,-15.02704103,9.745256317,-1.741218739e-06,5.399641053,3.245196567e-07,-29.72147256,-23.43606275,-6.999628956,-6.448719562e-05,29.69089509,-0.0006039792686
6,-29.25051856,-15.02704111,9.745256353,-1.741218739e-06,5.399640979,4.426891604e-07,-29.59233183,-23.43606281,-6.999628956,-6.441425143e-05,29.69089509,-0.000603861099
7,-29.10094052,-15.0270412,9.745256396,-1.741218739e-06,5.399640893,5.811375555e-07,-29.44102945,-23.43606288,-6.999628956,-6.43287894e-05,29.69089509,-0.0006037226507
8,-28.9298554,-15.02704131,9.745256444,-1.741218739e-06,5.399640794,7.394927524e-07,-29.26797206,-23.43606296,-6.999628956,-6.423103921e-05,29.69089509,-0.0006035642955
9,-28.73766521,-15.02704143,9.745256498,-1.741218739e-06,5.399640683,9.173826612e-07,-29.0735663,-23.43606304,-6.999628956,-6.412123054e-05,29.69089509,-0.0006033864056
10,-28.52477194,-15.02704157,9.745256558,-1.741218739e-06,5.399640559,1.114435192e-06,-28.8582188,-23.43606314,-6.999628956,-6.399959309e-05,29.69089509,-0.000603189353
