round,Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
1,0,-29.67229287,-15.02702198,9.745239494,-1.741218739e-06,5.399606892,5.087865181e-08,-30.02213286,-23.43603515,-6.999594624,-6.465610994e-05,29.69089509,-0.0006042529096
1,1,-29.66019959,-15.02702198,9.745239494,-1.741218739e-06,5.399606885,6.207235184e-08,-30.00989941,-23.43603515,-6.999594624,-6.464920025e-05,29.69089509,-0.0006042417159
1,2,-29.62418777,-15.02702201,9.745239494,-1.741218739e-06,5.399606864,9.54053921e-08,-29.97347014,-23.43603517,-6.999594624,-6.462862428e-05,29.69089509,-0.0006042083828
1,3,-29.56465938,-15.02702204,9.745239494,-1.741218739e-06,5.39960683,1.505056828e-07,-29.91325173,-23.43603519,-6.999594624,-6.459461173e-05,29.69089509,-0.0006041532825
1,4,-29.48201642,-15.0270221,9.745239494,-1.741218739e-06,5.399606782,2.270011343e-07,-29.8296508,-23.43603523,-6.999594624,-6.454739228e-05,29.69089509,-0.0006040767871
1,5,-29.37666088,-15.02702216,9.745239494,-1.741218739e-06,5.399606721,3.245196567e-07,-29.72307403,-23.43603528,-6.999594624,-6.448719562e-05,29.69089509,-0.0006039792686
1,6,-29.24899477,-15.02702224,9.745239494,-1.741218739e-06,5.399606647,4.426891604e-07,-29.59392806,-23.43603534,-6.999594624,-6.441425143e-05,29.69089509,-0.000603861099
1,7,-29.09942006,-15.02702234,9.745239494,-1.741218739e-06,5.39960656,5.811375555e-07,-29.44261954,-23.43603541,-6.999594624,-6.43287894e-05,29.69089509,-0.0006037226507
1,8,-28.92833875,-15.02702245,9.745239494,-1.741218739e-06,5.399606461,7.394927524e-07,-29.26955512,-23.43603549,-6.999594624,-6.423103921e-05,29.69089509,-0.0006035642955
1,9,-28.73615283,-15.02702257,9.745239494,-1.741218739e-06,5.39960635,9.173826612e-07,-29.07514147,-23.43603558,-6.999594624,-6.412123054e-05,29.69089509,-0.0006033864056
