Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.1739299981,0,0.1739299981
1,0.1739421841,1,0.1739421841
2,0.1739784039,2,0.1739784039
3,0.1740380527,3,0.1740380527
4,0.1741204005,4,0.1741204005
5,0.174224599,5,0.174224599
6,0.1743496878,6,0.1743496878
7,0.1744946002,7,0.1744946002
8,0.1746581688,8,0.1746581688
9,0.1748391309,9,0.1748391309
10,0.175036134,10,0.175036134
11,0.1752477404,11,0.1752477404
12,0.1754724326,12,0.1754724326
13,0.1757086183,13,0.1757086183
14,0.1759995824,14,0.1759995824
15,0.1782928112,15,0.1782928112
16,0.1807126997,16,0.1807126997
17,0.1832533985,17,0.1832533985
18,0.1859085424,18,0.1859085424
19,0.1886712075,19,0.1886712075
20,0.1915338717,20,0.1915338717
21,0.1944883782,21,0.1944883782
22,0.1975259032,22,0.1975259032
23,0.2006369285,23,0.2006369285
24,0.2038112205,24,0.2038112205
25,0.2070378158,25,0.2070378158
26,0.2103050141,26,0.2103050141
27,0.2136003801,27,0.2136003801
28,0.216910755,28,0.216910755
29,0.2202826347,29,0.2202826347
30,0.2240009783,30,0.2240009783
31,0.2276939776,31,0.2276939776
32,0.2313435564,32,0.2313435564
33,0.2349309517,33,0.2349309517
34,0.2384368073,34,0.2384368073
35,0.2418412839,35,0.2418412839
36,0.2451241844,36,0.2451241844
37,0.2482650945,37,0.2482650945
38,0.2512435368,38,0.2512435368
39,0.2540391376,39,0.2540391376
40,0.2566318047,40,0.2566318047
41,0.2590019127,41,0.2590019127
42,0.2611304958,42,0.2611304958
43,0.2629994429,43,0.2629994429
44,0.2645916935,44,0.263865443
45,0.2702138567,45,0.2647949554
46,0.3108566094,46,0.2657926617
47,0.354839585,47,0.266862008
48,0.4017786418,48,0.2711044318
49,0.4511244743,49,0.2836641237
50,0.5021592333,50,0.2954726347
51,0.5540026819,51,0.3064732191
52,0.605629126,52,0.3166193515
53,0.6558956112,53,0.3258747402
54,0.7036880407,54,0.3342133212
55,0.7610542343,55,0.3416192231
56,0.812643822,56,0.3480866872
57,0.8565781271,57,0.3536199267
58,0.8911729624,58,0.3582329054
59,0.9150500169,59,0.3619490214
60,0.927232086,60,0.3648006834
61,0.9272126202,61,0.3668287729
62,0.9149924021,62,0.3680819924
63,0.8910794906,63,0.3686161042
64,0.8564524402,64,0.3684930714
65,0.8124906644,65,0.3677801195
66,0.7608791406,66,0.3665487378
67,0.7034969906,67,0.3648736455
68,0.6557627083,68,0.3628317478
69,0.6054903172,69,0.360501106
70,0.5538610781,70,0.3579599433
71,0.5020177147,71,0.3552857071
72,0.450985602,72,0.3550081179
73,0.4063960189,73,0.3548229222
74,0.3788410634,74,0.3547289664
75,0.3513830733,75,0.3547920347
76,0.3243417654,76,0.3550742168
77,0.2979959434,77,0.3572007206
78,0.272580889,78,0.3599521299
79,0.2611356835,79,0.3627397701
80,0.2590078476,80,0.3655127147
81,0.2566384575,81,0.3682215692
82,0.2540464772,82,0.3708190001
83,0.2512515305,83,0.3732602954
84,0.2482737083,84,0.3755039403
85,0.2451333835,85,0.3775121895
86,0.2418510329,86,0.3792516167
87,0.2384470704,87,0.3806936227
88,0.2349416933,88,0.3818148828
89,0.2313547412,89,0.3825977185
90,0.2277055705,90,0.3830303773
91,0.2240129453,91,0.3831072127
92,0.2202949424,92,0.3828287557
93,0.2169219936,93,0.3822016755
94,0.2136118883,94,0.381238632
95,0.210316767,95,0.379958025
96,0.2070497895,96,0.3783836501
97,0.2038233923,97,0.3765442747
98,0.2006492769,98,0.3744731494
99,0.1975384082,99,0.3722074714
100,0.194501021,100,0.3697878209
101,0.1915466349,101,0.3672339255
102,0.188684075,102,0.3645771502
103,0.1859214994,103,0.3618243593
104,0.1832664317,104,0.3589796451
105,0.180725797,105,0.3560443238
106,0.1783059618,106,0.3530169049
107,0.1760127765,107,0.3498930396
108,0.1738516195,108,0.3466654499
109,0.1718274423,109,0.3433238436
110,0.1699448152,110,0.3409415087
