Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2645916935,44,0.2645916935,11.83898652,-15.02703517,9.745227784,-1.741218739e-06,5.399582877,5.087865181e-08,11.97076672,-23.43603515,-6.999570609,-4.093803196e-05,29.69089509,-0.0006042529096,11.83898652,-15.02703517,9.745227784,-1.741218739e-06,5.399582877,5.087865181e-08,11.97076672,-23.43603515,-6.999570609,-4.093803196e-05,29.69089509,-0.0006042529096
q1,1,53,0.6558956112,76,0.3503980842,5.490394938,-15.02703315,9.745229575,-1.741218739e-06,5.39958655,5.087865181e-08,5.548517813,-23.43603515,-6.999574282,-4.456539282e-05,29.69089509,-0.0006042529096,9.095559806,-7.585186429,6.157881203,-0.02270743037,4.826514189,-0.01153490356,7.291890733,-12.1804415,-1.73795354,0.02878099368,30.04677351,-0.01213920732
peak,1,60,0.927232086,121,0.3780272123,0.3687562067,-15.02703152,9.74523102,-1.741218739e-06,5.399589513,5.087865181e-08,0.3674570484,-23.43603515,-6.999577245,-4.749171619e-05,29.69089509,-0.0006042529096,0.04807807486,4.99050552,4.515832626,-0.01516249805,4.258961354,-0.0150303443,-0.1080877173,0.4986754696,3.79518015,-0.01211995223,30.62301852,-0.01563464806
q3,1,68,0.6557627083,166,0.3514115281,-5.488565141,-15.02702966,9.745232672,-1.741218739e-06,5.399592901,5.087865181e-08,-5.557821835,-23.43603515,-6.999580633,-5.08383826e-05,29.69089509,-0.0006042529096,-9.136244163,-7.431859946,6.320364438,-0.0003557006851,4.830282202,-0.01153490356,-7.603020342,-12.29370248,-1.810747514,-0.04667891585,30.05255124,-0.01213920734
Tail,1,78,0.272580889,199,0.272580889,-12.5147512,-15.02702743,9.745234654,-1.741218739e-06,5.399596966,5.087865181e-08,-12.66552677,-23.43603515,-6.999584698,-5.4852897e-05,29.69089509,-0.0006042529096,-12.5147512,-15.02702743,9.745234654,-1.741218739e-06,5.399596966,5.087865181e-08,-12.66552677,-23.43603515,-6.999584698,-5.4852897e-05,29.69089509,-0.0006042529096
Head,2,43,0.2629994429,43,0.2629994429,12.51658099,-15.02703538,9.745227593,-1.741218739e-06,5.399582485,5.087865181e-08,12.65622275,-23.43603515,-6.999570217,-4.055087843e-05,29.69089509,-0.0006042529096,12.51658099,-15.02703538,9.745227593,-1.741218739e-06,5.399582485,5.087865181e-08,12.65622275,-23.43603515,-6.999570217,-4.055087843e-05,29.69089509,-0.0006042529096
q1,2,131,0.403506074,76,0.3550742168,-2.674339809,4.101469424,4.566118139,-0.0104690925,4.291414389,-0.01520070433,-2.095840461,-0.3050207782,3.45354715,-0.02857596087,30.58259432,-0.01580500809,5.56391712,-12.63174966,3.841443157,-0.01193328533,4.974361846,-0.01692449624,5.583200833,-13.81099543,-2.067834796,-0.01027408835,29.80695212,-0.01752880002
peak,2,148,0.4565411781,100,0.3697878209,-6.680463706,-0.5920639337,4.949373206,-0.004137377556,4.479094147,-0.0150769985,-5.179372202,-4.711174482,1.561995877,-0.04901201342,30.3687136,-0.01568130227,-3.034793391,-11.11134551,1.673913118,-0.009585637343,4.783334751,-0.02286618094,-0.8668947439,-10.67940955,-0.5640281722,-0.04819164451,29.83243566,-0.02347048471
q3,2,160,0.4012700561,115,0.3478675319,-8.590428669,-5.122137879,5.712073931,-0.001233518369,4.697960461,-0.01331489238,-6.923355717,-9.525245287,-0.5615462866,-0.05119956317,30.1601226,-0.01391919616,-7.399111344,-11.10855703,4.199053075,-0.009208904905,4.900418003,-0.01964462037,-5.37923936,-13.09808749,-1.85936216,-0.05504637733,29.86665684,-0.02024892415
Tail,2,177,0.3526384923,130,0.3526384923,-9.526030484,-11.22205814,7.767786795,0.000275211577,5.089738519,-0.006821978194,-8.594807213,-17.47954826,-4.201546518,-0.02920707073,29.87353056,-0.007426281979,-9.526030484,-11.22205814,7.767786795,0.000275211577,5.089738519,-0.006821978194,-8.594807213,-17.47954826,-4.201546518,-0.02920707073,29.87353056,-0.007426281979
