Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,43,0.272580062,43,0.272580062,-12.51462591,-15.02701402,9.745222754,-1.741218739e-06,5.39957256,5.087865181e-08,-12.66686913,-23.43601562,-6.999560291,-5.4852897e-05,29.69089509,-0.0006433033566,-12.51462591,-15.02701402,9.745222754,-1.741218739e-06,5.39957256,5.087865181e-08,-12.66686913,-23.43601562,-6.999560291,-5.4852897e-05,29.69089509,-0.0006433033566
q1,1,53,0.6557411693,63,0.3511255038,-5.488460723,-15.02701849,9.745222754,-1.741218739e-06,5.39957256,5.087865181e-08,-5.558940636,-23.43601887,-6.999560291,-5.08383826e-05,29.69089509,-0.0006367998479,-9.149035233,-13.99844852,5.900523188,0.01378746564,5.377548693,-0.01153490353,-6.466070407,-18.48167337,-4.925178849,-0.01313653448,29.48652591,-0.01217242452
peak,1,61,0.9272341293,102,0.3554904585,0.3688432307,-15.02702221,9.745222754,-1.741218739e-06,5.39957256,5.087865181e-08,0.3665246147,-23.43602158,-6.999560291,-4.749171619e-05,29.69089509,-0.0006313782522,7.449310289,-14.80800053,4.332953222,-0.02547318326,5.562730641,-0.01503034426,2.996032696,-15.68066149,-3.397189063,0.0633056181,29.34986937,-0.0156622331
q3,1,68,0.6559098704,117,0.3493926339,5.490466753,-15.02702546,9.745222754,-1.741218739e-06,5.39957256,5.087865181e-08,5.547748339,-23.43602395,-6.999560291,-4.456539282e-05,29.69089509,-0.0006266376118,9.526607122,-15.06018787,7.245130152,-0.01625421406,5.466546019,-0.01153490353,7.433586294,-19.92904569,-5.372962271,0.02774408804,29.53131699,-0.01216129812
Tail,1,77,0.2645915702,131,0.2645915702,11.83903948,-15.0270295,9.745222754,-1.741218739e-06,5.39957256,5.087865181e-08,11.97019924,-23.43602689,-6.999560291,-4.093803196e-05,29.69089509,-0.0006207612914,11.83903948,-15.0270295,9.745222754,-1.741218739e-06,5.39957256,5.087865181e-08,11.97019924,-23.43602689,-6.999560291,-4.093803196e-05,29.69089509,-0.0006207612914
Head,2,59,0.3382725717,59,0.3382725717,-9.862589904,-14.22482357,6.900845204,0.0117208659,5.375709001,-0.008742394309,-7.601913104,-19.802639,-5.491776955,-0.01284745697,29.54162338,-0.009380884223,-9.862589904,-14.22482357,6.900845204,0.0117208659,5.375709001,-0.008742394309,-7.601913104,-19.802639,-5.491776955,-0.01284745697,29.54162338,-0.009380884223
q1,2,71,0.4049620728,73,0.3499556401,-6.530336569,-13.80203433,4.330648906,0.01117539132,5.409323351,-0.01515681482,-4.367233095,-16.28705559,-3.933458859,-0.00168737656,29.39268015,-0.01579295474,-7.723783253,-12.59217787,3.099844811,0.006952685239,5.149474265,-0.02315825777,-4.754465372,-16.26366128,-4.108608367,-0.01281381252,29.4076036,-0.02379470442
peak,2,83,0.4660921263,87,0.3583652661,-0.7797477062,-14.0279719,3.245057259,-0.003920718728,5.493922021,-0.01643348493,-1.575382464,-14.50983048,-3.02615419,0.03222561456,29.31138685,-0.01706839555,-4.0075883,-11.15865551,-0.4002843778,0.001002138813,4.917485343,-0.02847455412,-1.69165691,-13.33495194,-2.935620612,0.00256418477,29.30614751,-0.02910904952
q3,2,94,0.4118295109,107,0.3518814612,4.58662328,-14.49183073,3.482696651,-0.01937367982,5.557217431,-0.01553579201,0.9582959834,-14.56876777,-2.937106556,0.05921056408,29.30681502,-0.01616939074,5.022125277,-12.348843,1.306682097,-0.03230863687,5.190494892,-0.02590317123,1.890645316,-13.84591216,-2.936580842,0.03595383989,29.30368572,-0.0265355908
Tail,2,108,0.346096281,122,0.346096281,8.637769271,-14.96297536,5.301554322,-0.02490184704,5.534798648,-0.01494200209,4.68456946,-17.08745922,-4.042001565,0.05368609366,29.40805013,-0.01557199211,8.637769271,-14.96297536,5.301554322,-0.02490184704,5.534798648,-0.01494200209,4.68456946,-17.08745922,-4.042001565,0.05368609366,29.40805013,-0.01557199211
