Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.1739296487,0,0.1739296487
1,0.1739418349,1,0.1739418349
2,0.1739780554,2,0.1739780554
3,0.1740377052,3,0.1740377052
4,0.1741200545,4,0.1741200545
5,0.174224255,5,0.174224255
6,0.1743493461,6,0.1743493461
7,0.1744942613,7,0.1744942613
8,0.174657833,8,0.174657833
9,0.1748387987,9,0.1748387987
10,0.1750358057,10,0.1750358057
11,0.1752474164,11,0.1752474164
12,0.1754721133,12,0.1754721133
13,0.1757083039,13,0.1757083039
14,0.1759978662,14,0.1759978662
15,0.178291106,15,0.178291106
16,0.1807110069,16,0.1807110069
17,0.1832517198,17,0.1832517198
18,0.1859068795,18,0.1859068795
19,0.1886695623,19,0.1886695623
20,0.1915322463,20,0.1915322463
21,0.1944867746,21,0.1944867746
22,0.1975243237,22,0.1975243237
23,0.2006353755,23,0.2006353755
24,0.2038096966,24,0.2038096966
25,0.2070363235,25,0.2070363235
26,0.2103035561,26,0.2103035561
27,0.2135989592,27,0.2135989592
28,0.2169093741,28,0.2169093741
29,0.2202812801,29,0.2202812801
30,0.223999675,30,0.223999675
31,0.227692729,31,0.227692729
32,0.2313423661,32,0.2313423661
33,0.2349298231,33,0.2349298231
34,0.2384357439,34,0.2384357439
35,0.2418402891,35,0.2418402891
36,0.2451232614,36,0.2451232614
37,0.2482642463,37,0.2482642463
38,0.2512427662,38,0.2512427662
39,0.2540384473,39,0.2540384473
40,0.2566311969,40,0.2566311969
41,0.2590013896,41,0.2590013896
42,0.2611300591,42,0.2611300591
43,0.262999094,43,0.262999094
44,0.2645914333,44,0.2645914333
45,0.270210933,45,0.2655487801
46,0.3108544762,46,0.2669998344
47,0.354838406,47,0.279659698
48,0.4017785547,48,0.2927517948
49,0.4511255761,49,0.3044751976
50,0.5021615644,50,0.3147711359
51,0.5540062116,51,0.3236103062
52,0.6056337407,52,0.3309958573
53,0.6559011066,53,0.3369657373
54,0.7036987556,54,0.3415940062
55,0.7610653113,55,0.3449908639
56,0.8126545182,56,0.347301309
57,0.8565875865,57,0.3487025222
58,0.8911802653,58,0.3494002308
59,0.9150542392,59,0.3496010178
60,0.9272323665,60,0.3494280971
61,0.9272082262,61,0.3489863496
62,0.9149827887,62,0.3483777504
63,0.8910643472,63,0.347700488
64,0.856431718,64,0.3470483059
65,0.8124645832,65,0.3465100342
66,0.7608481744,66,0.3461692685
67,0.7034618329,67,0.3461041509
68,0.6557356406,68,0.3460668348
69,0.6054609235,69,0.3462371609
70,0.5538299166,70,0.3465761026
71,0.5019853777,71,0.3470363762
72,0.4509526864,72,0.3478453285
73,0.406394125,73,0.3487138024
74,0.3788389249,74,0.3494637669
75,0.3513807092,75,0.3500913569
76,0.3243392011,76,0.3505919776
