round,inner_step,G_norm,d_norm,alpha
1,1,15.91571267,15.91571267,0.6090797556
1,2,14.85855217,14.85855217,0.3122295713
1,3,8.208347965,8.208347965,0.4122974613
1,4,7.795791639,7.795791639,0.2352383545
1,5,5.065864999,5.065864999,0.3429470071
1,6,5.276180922,5.276180922,0.2437405678
1,7,4.068718357,4.068718357,0.3750939252
1,8,4.955328428,4.955328428,0.2526408482
1,9,4.204895968,4.204895968,0.4009159564
1,10,5.699500053,5.699500053,0.2507496374
1,11,4.853400066,4.853400066,0.4042222986
1,12,6.577478282,6.577478282,0.241440391
1,13,5.260617614,5.260617614,0.3970748925
1,14,6.792930183,6.792930183,0.2333223423
1,15,5.105538759,5.105538759,0.3944168969
1,16,6.413519742,6.413519742,0.2303410008
1,17,4.722153556,4.722153556,0.4023662099
1,18,6.062825642,6.062825642,0.2313322831
1,19,4.533649149,4.533649149,0.4172347819
1,20,6.122346324,6.122346324,0.23287245
1,21,4.665851774,4.665851774,0.4299867946
1,22,6.551419817,6.551419817,0.2326784061
1,23,4.992860601,4.992860601,0.4342564701
1,24,7.05103501,7.05103501,0.2308976126
1,25,5.2738028,5.2738028,0.4296980646
1,26,7.266520356,7.266520356,0.2286384
1,27,5.290202136,5.290202136,0.4206612362
1,28,7.01535346,7.01535346,0.2267351086
1,29,4.981383361,4.981383361,0.4121285063
1,30,6.380139897,6.380139897,0.2254640131
1,31,4.450742157,4.450742157,0.406670631
1,32,5.573497864,5.573497864,0.2247604236
1,33,3.849700166,3.849700166,0.4046645461
1,34,4.776027969,4.776027969,0.224416085
1,35,3.285378348,3.285378348,0.4054723589
1,36,4.079634432,4.079634432,0.2241933468
1,37,2.803256463,2.803256463,0.4082493703
1,38,3.506645088,3.506645088,0.2238924859
1,39,2.408158301,2.408158301,0.4123181621
1,40,3.044847369,3.044847369,0.2233833234
1,41,2.087482862,2.087482862,0.4172888408
1,42,2.67189442,2.67189442,0.2226069964
1,43,1.825185932,1.825185932,0.4230353383
1,44,2.366873518,2.366873518,0.2215545873
1,45,1.607559045,1.607559045,0.4296037404
1,46,2.113721762,2.113721762,0.2202399601
1,47,1.424416556,1.424416556,0.4371224288
1,48,1.900956156,1.900956156,0.2186811409
1,49,1.268490866,1.268490866,0.445748929
1,50,1.72039151,1.72039151,0.2168927959
1,51,1.134509032,1.134509032,0.4556523586
1,52,1.565979046,1.565979046,0.2148856402
1,53,1.018477241,1.018477241,0.4670173447
1,54,1.433035672,1.433035672,0.2126683447
1,55,0.9172400512,0.9172400512,0.4800578166
1,56,1.595968085,1.595968085,0.2740883014
