round,Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
1,0,29.66511718,-15.02685221,9.74503861,-1.741218739e-06,5.399194905,0.0001099141608,30.00658037,-23.43570556,-6.999182637,-6.465610994e-05,29.69089509,-0.001153569316
1,1,29.65302605,-15.0268522,9.745038614,-1.741218739e-06,5.399194919,0.0001099029671,29.99434611,-23.43570556,-6.999182644,-6.465610994e-05,29.69089509,-0.001153558122
1,2,29.61702062,-15.02685218,9.745038624,-1.741218739e-06,5.39919496,0.000109869634,29.95791445,-23.43570558,-6.999182664,-6.465610994e-05,29.69089509,-0.001153524789
1,3,29.5575028,-15.02685214,9.745038641,-1.741218739e-06,5.399195029,0.0001098145337,29.89769207,-23.43570561,-6.999182699,-6.465610994e-05,29.69089509,-0.001153469689
1,4,29.47487452,-15.02685209,9.745038664,-1.741218739e-06,5.399195125,0.0001097380383,29.81408565,-23.43570564,-6.999182747,-6.465610994e-05,29.69089509,-0.001153393193
1,5,29.36953769,-15.02685202,9.745038694,-1.741218739e-06,5.399195247,0.0001096405198,29.70750187,-23.43570569,-6.999182808,-6.465610994e-05,29.69089509,-0.001153295675
1,6,29.24189424,-15.02685194,9.74503873,-1.741218739e-06,5.399195394,0.0001095223503,29.5783474,-23.43570575,-6.999182881,-6.465610994e-05,29.69089509,-0.001153177505
1,7,29.09234609,-15.02685185,9.745038772,-1.741218739e-06,5.399195568,0.0001093839019,29.42702893,-23.43570582,-6.999182968,-6.465610994e-05,29.69089509,-0.001153039057
1,8,28.92129517,-15.02685174,9.74503882,-1.741218739e-06,5.399195765,0.0001092255467,29.25395313,-23.4357059,-6.999183067,-6.465610994e-05,29.69089509,-0.001152880702
1,9,28.72914338,-15.02685162,9.745038874,-1.741218739e-06,5.399195988,0.0001090476568,29.05952669,-23.43570599,-6.999183178,-6.465610994e-05,29.69089509,-0.001152702812
1,10,28.51629266,-15.02685148,9.745038935,-1.741218739e-06,5.399196234,0.0001088506042,28.84415628,-23.43570609,-6.999183301,-6.465610994e-05,29.69089509,-0.001152505759
1,11,28.28314492,-15.02685133,9.745039,-1.741218739e-06,5.399196504,0.0001086347612,28.60824858,-23.43570619,-6.999183436,-6.465610994e-05,29.69089509,-0.001152289916
1,12,28.03010208,-15.02685117,9.745039072,-1.741218739e-06,5.399196797,0.0001084004997,28.35221028,-23.43570631,-6.999183583,-6.465610994e-05,29.69089509,-0.001152055655
1,13,27.75756607,-15.026851,9.745039149,-1.741218739e-06,5.399197112,0.0001081481918,28.07644804,-23.43570644,-6.99918374,-6.465610994e-05,29.69089509,-0.001151803347
1,14,27.46593881,-15.02685081,9.745039231,-1.741218739e-06,5.39919745,0.0001078782097,27.78136855,-23.43570657,-6.999183909,-6.465610994e-05,29.69089509,-0.001151533365
1,15,27.15562221,-15.02685062,9.745039318,-1.741218739e-06,5.399197809,0.0001075909254,27.46737849,-23.43570672,-6.999184089,-6.465610994e-05,29.69089509,-0.00115124608
1,16,26.82701821,-15.02685041,9.745039411,-1.741218739e-06,5.399198189,0.000107286711,27.13488453,-23.43570687,-6.999184279,-6.465610994e-05,29.69089509,-0.001150941866
1,17,26.48052872,-15.02685019,9.745039509,-1.741218739e-06,5.39919859,0.0001069659386,26.78429336,-23.43570703,-6.999184479,-6.465610994e-05,29.69089509,-0.001150621094
1,18,26.11655565,-15.02684996,9.745039612,-1.741218739e-06,5.399199011,0.0001066289804,26.41601166,-23.4357072,-6.99918469,-6.465610994e-05,29.69089509,-0.001150284135
