round,step,MaxD_in,MaxD_out
1,0,0.1739390985,0.1739390985
1,1,0.1739512704,0.1739512704
1,2,0.1739874485,0.1739874485
1,3,0.1740470282,0.1740470282
1,4,0.1741292803,0.1741292803
1,5,0.1742333573,0.1742333573
1,6,0.1743582992,0.1743582992
1,7,0.1745030403,0.1745030403
1,8,0.1746664138,0.1746664138
1,9,0.1748471579,0.1748471579
1,10,0.1750439211,0.1750439211
1,11,0.1752552664,0.1752552664
1,12,0.1754796776,0.1754796776
1,13,0.1757155631,0.1757155631
1,14,0.1760713943,0.1760713943
1,15,0.1783636628,0.1783636628
1,16,0.1807825012,0.1807825012
1,17,0.183322057,0.183322057
1,18,0.1859759617,0.1859759617
1,19,0.1887372887,0.1887372887
1,20,0.1915985135,0.1915985135
1,21,0.1945514772,0.1945514772
1,22,0.1975873547,0.1975873547
1,23,0.2006966273,0.2006966273
1,24,0.2038690614,0.2038690614
1,25,0.2070936944,0.2070936944
1,26,0.2103588278,0.2103588278
1,27,0.2136520292,0.2136520292
1,28,0.2169601436,0.2169601436
1,29,0.220336913,0.220336913
1,30,0.2240526291,0.2240526291
1,31,0.2277429005,0.2277429005
1,32,0.2313896601,0.2313896601
1,33,0.2349741553,0.2349741553
1,34,0.2384770416,0.2384770416
1,35,0.2418784933,0.2418784933
1,36,0.2451583277,0.2451583277
1,37,0.2482961466,0.2482961466
1,38,0.2512714895,0.2512714895
1,39,0.254064001,0.254064001
1,40,0.2566536075,0.2566536075
1,41,0.2590207033,0.2590207033
1,42,0.2611463424,0.2611463424
1,43,0.2630124337,0.2630124337
1,44,0.2646019364,0.2646019364
1,45,0.2705198153,0.265246054
1,46,0.3111791671,0.2660048989
1,47,0.3551750061,0.2810872122
1,48,0.4021222962,0.2952158227
1,49,0.4514709177,0.3083019279
1,50,0.5025023473,0.320274616
1,51,0.5543358739,0.3310800096
1,52,0.6059455813,0.3406803718
1,53,0.656188586,0.3490532224
1,54,0.7040469344,0.356190488
1,55,0.761372495,0.3620976858
1,56,0.812912266,0.3667931291
1,57,0.8567893329,0.3703071337
1,58,0.8913217698,0.3726812006
1,59,0.9151338754,0.3739671516
1,60,0.9272512159,0.3742262012
1,61,0.9271699681,0.3735279512
1,62,0.914893396,0.3719493077
1,63,0.8909316208,0.3695733234
1,64,0.8562647087,0.3664879833
1,65,0.8122729601,0.3627849519
1,66,0.7606415999,0.3585583108
1,67,0.7032804549,0.3571176557
1,68,0.6555833182,0.3558695956
1,69,0.605313384,0.3544498063
1,70,0.5536909098,0.3529422799
1,71,0.5018577303,0.3514299961
1,72,0.4508383105,0.3499944529
1,73,0.4064139188,0.34950313
1,74,0.3788670301,0.3501415468
1,75,0.3514167583,0.3507857172
1,76,0.3243826035,0.3514289022
1,77,0.2980431988,0.3520647863
1,78,0.272633702,0.3526875254
