round,step,MaxD_in,MaxD_out
1,0,0.1739385662,0.1739385662
1,1,0.1739507384,0.1739507384
1,2,0.1739869175,0.1739869175
1,3,0.174046499,0.174046499
1,4,0.1741287536,0.1741287536
1,5,0.1742328336,0.1742328336
1,6,0.1743577793,0.1743577793
1,7,0.1745025247,0.1745025247
1,8,0.1746659031,0.1746659031
1,9,0.1748466529,0.1748466529
1,10,0.1750434221,0.1750434221
1,11,0.1752547741,0.1752547741
1,12,0.1754791924,0.1754791924
1,13,0.1757150856,0.1757150856
1,14,0.1760691773,0.1760691773
1,15,0.1783614704,0.1783614704
1,16,0.1807803359,0.1807803359
1,17,0.1833199212,0.1833199212
1,18,0.1859738581,0.1859738581
1,19,0.1887352198,0.1887352198
1,20,0.1915964821,0.1915964821
1,21,0.1945494861,0.1945494861
1,22,0.1975854067,0.1975854067
1,23,0.2006947253,0.2006947253
1,24,0.2038672082,0.2038672082
1,25,0.2070918929,0.2070918929
1,26,0.2103570807,0.2103570807
1,27,0.2136503394,0.2136503394
1,28,0.2169585137,0.2169585137
1,29,0.2203352897,0.2203352897
1,30,0.2240510785,0.2240510785
1,31,0.2277414255,0.2277414255
1,32,0.2313882632,0.2313882632
1,33,0.2349728387,0.2349728387
1,34,0.2384758073,0.2384758073
1,35,0.2418773426,0.2418773426
1,36,0.2451572619,0.2451572619
1,37,0.2482951663,0.2482951663
1,38,0.251270595,0.251270595
1,39,0.2540631918,0.2540631918
1,40,0.2566528829,0.2566528829
1,41,0.2590200618,0.2590200618
1,42,0.2611457821,0.2611457821
1,43,0.263011952,0.263011952
1,44,0.2646015304,0.2646015304
1,45,0.2704873514,0.2644248563
1,46,0.3111460905,0.2653856984
1,47,0.3551418647,0.2796773014
1,48,0.4020896901,0.2926655446
1,49,0.451439473,0.3042205832
1,50,0.5024726841,0.3142122746
1,51,0.5543085695,0.32251607
1,52,0.6059211323,0.3290211192
1,53,0.6561673714,0.3336396011
1,54,0.7040230292,0.3391092305
1,55,0.7613532122,0.348569586
1,56,0.8128976197,0.3563756393
1,57,0.856779014,0.3624067352
1,58,0.8913151559,0.366598776
1,59,0.9151300705,0.3689526295
1,60,0.9272491173,0.3695382376
1,61,0.9271683543,0.3684940891
1,62,0.9148910262,0.3660222741
1,63,0.8909273362,0.3623798694
1,64,0.8562575242,0.3578678163
