Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,5.135856166e-05,5.409970634e-05,0.0001199793104,3.216722572e-05,-3.384232513e-05,5.498251971e-05,0.001167309876,0.0004943959228,0.0006161340038,0.0001387945568,-0.0009269584386,-4.862680875e-09
1,5.137273403e-05,0.02070965928,-0.01769013332,3.056099525e-05,-0.002879462108,5.648019789e-05,0.001165976617,0.02332691936,-0.01852356509,0.0001368979717,-0.004620009029,1.718438088e-06
2,5.141446922e-05,0.08153672094,-0.07013784432,2.583092347e-05,-0.01125932174,6.089060191e-05,0.001162050396,0.09056476423,-0.07488667897,0.0001313128557,-0.01549540628,6.793261731e-06
3,5.148259434e-05,0.180825859,-0.1557492133,1.810993978e-05,-0.02493792167,6.808978599e-05,0.001155641555,0.2003183424,-0.1668892325,0.0001221961675,-0.03324751843,1.507699025e-05
4,5.157593651e-05,0.316867648,-0.2730503,7.530973607e-06,-0.0436797623,7.795380435e-05,0.00114686043,0.3506980657,-0.2929472507,0.0001097048658,-0.0575707137,2.642700566e-05
5,5.169332284e-05,0.4879526621,-0.4205671639,-5.773045632e-06,-0.06724934409,9.03587112e-05,0.001135817361,0.539814346,-0.4514767583,9.399590948e-05,-0.08815936032,4.070068996e-05
6,5.183358045e-05,0.6923714759,-0.5968258648,-2.166918852e-05,-0.09541116746,0.0001051805608,0.001122622687,0.7657775951,-0.6408937804,7.522625725e-05,-0.1247078265,5.775542515e-05
7,5.199553645e-05,0.9284146636,-0.8003524623,-4.002452563e-05,-0.1279297328,0.0001222954073,0.001107386746,1.026698225,-0.8596143417,5.355286788e-05,-0.1669104805,7.744859324e-05
8,5.217801795e-05,1.1943728,-1.029673016,-6.070612756e-05,-0.1645695407,0.000141579305,0.001090219877,1.320686647,-1.106054467,2.913270013e-05,-0.2144616905,9.963757624e-05
9,5.237985206e-05,1.488536459,-1.283313586,-8.358106489e-05,-0.2050950914,0.000162908308,0.001071232419,1.645853274,-1.378630182,2.122712772e-06,-0.2670558248,0.0001241797562
10,5.259986591e-05,1.809196214,-1.559800231,-0.0001085164082,-0.2492708854,0.0001861584706,0.00105053471,2.000308517,-1.675757511,-2.732013543e-05,-0.3243872515,0.000150932515
11,5.283688661e-05,2.154642642,-1.857659011,-0.0001353792281,-0.2968614231,0.0002112058471,0.00102823709,2.382162789,-1.995852478,-5.903888572e-05,-0.386150339,0.0001797532347
12,5.308974126e-05,2.523166315,-2.175415986,-0.0001640365951,-0.347631205,0.0002379264916,0.001004449896,2.7895265,-2.33733111,-9.287657933e-05,-0.4520394554,0.0002104992974
13,5.335725699e-05,2.913057809,-2.511597216,-0.0001943555798,-0.4013447316,0.0002661964583,0.0009792834688,3.220510063,-2.69860943,-0.0001286762575,-0.5217489689,0.000243028085
14,5.363826091e-05,3.322607697,-2.864728759,-0.0002262032528,-0.4577665031,0.0002958918016,0.0009528481457,3.673223889,-3.078103463,-0.0001662809614,-0.5949732479,0.0002771969796
15,5.393158013e-05,3.750106554,-3.233336677,-0.0002594466847,-0.5166610201,0.0003268885755,0.0009252542659,4.145778392,-3.474229236,-0.0002055337324,-0.6714066605,0.0003128633631
16,5.423604176e-05,4.193844955,-3.615947027,-0.0002939529461,-0.5777927831,0.0003590628343,0.000896612168,4.636283981,-3.885402771,-0.0002462776117,-0.7507435749,0.0003498846175
17,5.455047293e-05,4.652113473,-4.011085871,-0.0003295891076,-0.6409262923,0.0003922906323,0.0008670321908,5.14285107,-4.310040095,-0.0002883556404,-0.8326783593,0.0003881181249
18,5.487370073e-05,5.123202683,-4.417279267,-0.0003662222396,-0.7058260483,0.0004264480236,0.0008366246731,5.66359007,-4.746557233,-0.0003316108599,-0.9169053821,0.0004274212673
19,5.52045523e-05,5.605403161,-4.833053276,-0.0004037194129,-0.7722565515,0.0004614110625,0.0008054999536,6.196611393,-5.193370208,-0.0003758863113,-1.003119011,0.0004676514266
20,5.554185474e-05,6.097005478,-5.256933957,-0.000441947698,-0.8399823023,0.0004970558031,0.000773768371,6.740025451,-5.648895046,-0.0004210250359,-1.091013615,0.0005086659849
21,5.588443517e-05,6.596300212,-5.687447369,-0.0004807741655,-0.9087678012,0.0005332582998,0.0007415402641,7.291942655,-6.111547773,-0.000466870075,-1.180283562,0.0005503223242
22,5.62311207e-05,7.101577935,-6.123119573,-0.0005200658859,-0.9783775486,0.0005698946068,0.0007089259715,7.850473418,-6.579744412,-0.0005132644698,-1.270623221,0.0005924778264
23,5.658073844e-05,7.611129222,-6.562476627,-0.0005596899299,-1.048576045,0.0006068407781,0.0006760358322,8.413728151,-7.051900989,-0.0005600512614,-1.361726958,0.0006349898736
