Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.1003881345,0,0.1003881345
1,0.1004325972,1,0.1004325972
2,0.1005636901,2,0.1005636901
3,0.1007781822,3,0.1007781822
4,0.1010730925,4,0.1010730925
5,0.1014456512,5,0.1014456512
6,0.1018932628,6,0.1018932628
7,0.1024134719,7,0.1024134719
8,0.1030039297,8,0.1030039297
9,0.1036623633,9,0.1036623633
10,0.1043865454,10,0.1043865454
11,0.1051742659,11,0.1051742659
12,0.1060233045,12,0.1060233045
13,0.106931405,13,0.106931405
14,0.1078962496,14,0.1078962496
15,0.108915436,15,0.108915436
16,0.1099864539,16,0.1099864539
17,0.1111066639,17,0.1111066639
18,0.1122732775,18,0.1122732775
19,0.1134833377,19,0.1134833377
20,0.1147337018,20,0.1147337018
21,0.1160210256,21,0.1160210256
22,0.1226412302,22,0.1226412302
23,0.1352332522,23,0.1352332522
24,0.1486120968,24,0.1486120968
25,0.162699024,25,0.162699024
26,0.1773925869,26,0.1773925869
27,0.1925700867,27,0.1925700867
28,0.208090236,28,0.208090236
29,0.2237969662,29,0.2237969662
30,0.2395242163,30,0.2395242163
31,0.2551014462,31,0.2551014462
32,0.2703595464,32,0.2703595464
33,0.2851367726,33,0.2851367726
34,0.2992843186,34,0.2992843186
35,0.3126711716,35,0.3126711716
36,0.3251879436,36,0.3251879436
37,0.3367494593,37,0.3367494593
38,0.3472959731,38,0.3472959731
39,0.356792987,39,0.356792987
40,0.3652297343,40,0.3652297343
41,0.3726164671,41,0.3726164671
42,0.3789807382,42,0.3789807382
43,0.3843629006,43,0.3843629006
44,0.3888110488,44,0.3888110488
45,0.3923756197,45,0.3923756197
46,0.3951038404,46,0.3951038404
47,0.3970341879,47,0.3970341879
48,0.3981909942,48,0.3981909942
49,0.3985793232,49,0.3985793232
