Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2750959696,44,0.2750959696,-12.51799509,-15.02726746,10.23636627,0,5.399993896,0,-12.03847013,-22.67272949,-6.56363678,0,29.69091034,0,-12.51799509,-15.02726746,10.23636627,0,5.399993896,0,-12.03847013,-22.67272949,-6.56363678,0,29.69091034,0
q1,1,53,0.6163964773,58,0.3457429721,-6.173337519,-15.02726746,10.23636627,0,5.399993896,0,-5.626479497,-22.67272949,-6.56363678,0,29.69091034,0,-10.16721445,-14.88656833,7.736804546,0.004264807653,5.329143436,-0.0115349544,-6.769194259,-19.92735848,-5.43191093,-0.03286273596,29.57451312,-0.01153495441
peak,1,61,0.9185879947,73,0.3525660288,-0.3090896606,-15.02726746,10.23636627,0,5.399993896,0,0.3000030518,-22.67272949,-6.56363678,0,29.69091034,0,-8.997635029,-14.69314024,4.483439665,0.02141898631,5.245769681,-0.01503039513,-1.82031353,-16.3519533,-3.951027036,-0.0637908898,29.43488398,-0.01503039514
q3,1,69,0.6303405383,112,0.3509263484,5.555158198,-15.02726746,10.23636627,0,5.399993896,0,6.226485601,-22.67272949,-6.56363678,0,29.69091034,0,7.907587446,-15.38700168,5.446444225,-0.02125835623,5.221075803,-0.0115349544,6.988496694,-18.03036032,-4.605787752,0.007136722897,29.50097285,-0.01153495441
Tail,1,77,0.2631434465,131,0.2631434465,11.2165165,-15.02726746,10.23636627,0,5.399993896,0,11.94792542,-22.67272949,-6.56363678,0,29.69091034,0,11.2165165,-15.02726746,10.23636627,0,5.399993896,0,11.94792542,-22.67272949,-6.56363678,0,29.69091034,0
Head,2,68,0.3463529084,68,0.3463529084,-9.710397014,-14.72288371,5.445013699,0.01719600639,5.271973594,-0.01491558958,-3.337395511,-17.38143864,-4.379703949,-0.05821372152,29.47422411,-0.01491558959,-9.710397014,-14.72288371,5.445013699,0.01719600639,5.271973594,-0.01491558958,-3.337395511,-17.38143864,-4.379703949,-0.05821372152,29.47422411,-0.01491558959
q1,2,81,0.4066198963,83,0.3530753617,-6.390388646,-14.78659697,3.274671073,0.01803817421,5.201978178,-0.01567941521,0.3544312147,-15.18457125,-3.457011384,-0.0592281222,29.3894465,-0.01567941521,-6.602109532,-12.33362007,1.531276491,0.008426364694,4.962428328,-0.02490913728,-0.001897439474,-14.09797993,-3.188505887,-0.06317627128,29.36284555,-0.02490913729
peak,2,93,0.4670006099,107,0.3579361492,-0.4147798886,-15.11191175,2.609895295,-0.001669797192,5.155428423,-0.01673343425,3.076733626,-14.80815721,-3.279102589,-0.03209067896,29.37324636,-0.01673343426,4.03007042,-12.03965924,0.6865247796,-0.03471104889,4.815810361,-0.0261716017,4.309557342,-14.16874961,-3.232550384,-0.0313802149,29.37280789,-0.02617160171
q3,2,104,0.4063838088,123,0.350004548,5.120445417,-15.36820876,3.576702746,-0.01893451501,5.16447483,-0.01537230278,5.319371528,-16.06401354,-3.786935029,-0.004103505789,29.42199866,-0.01537230279,7.559095994,-14.06940992,4.687917138,-0.02347649305,5.105899746,-0.01876551651,7.572712844,-17.61726185,-4.514793867,-0.009259278775,29.48927526,-0.01876551651
Tail,2,127,0.3124051053,140,0.3124051053,10.17414103,-15.06116819,9.88596672,-0.002062937852,5.38627338,-0.0008773955276,10.69162477,-22.34046879,-6.423015494,0.001188182957,29.67724396,-0.0008773955282,10.17414103,-15.06116819,9.88596672,-0.002062937852,5.38627338,-0.0008773955276,10.69162477,-22.34046879,-6.423015494,0.001188182957,29.67724396,-0.0008773955282
