round,inner_step,G_norm,d_norm,alpha
1,1,15.14089718,15.14089718,0.4994254428
1,2,7.654854635,8.572351576,0.9380434282
1,3,8.297622906,13.03210138,0.3663887741
1,4,6.713280141,10.83926518,0.23155714
1,5,4.58793018,6.826613381,0.3004888189
1,6,4.457652724,7.845889442,0.2953351617
1,7,3.539360175,6.099539208,0.2226614281
1,8,2.403766537,3.716793873,0.2453344877
1,9,1.675424862,2.474372573,0.2145185982
1,10,1.106822965,1.551149581,0.3051018786
1,11,1.144069004,2.011813971,0.35363201
1,12,1.01399145,1.870894647,0.207565671
1,13,0.5690512364,0.8096945398,0.2483385386
1,14,0.9845810691,0.9845810691,0.5332427023
1,15,0.3799603052,0.4171895413,0.6091697257
1,16,5.560838738,5.560838738,0.4167112485
1,17,2.757952889,3.088090524,0.5135716355
1,18,1.298478619,1.477711828,0.2325150401
1,19,0.3188524927,0.3344875486,0.6602782824
1,20,0.1954953841,0.2430597155,0.3811663237
1,21,23.53188667,23.53188667,0.06440771514
1,22,4.164339964,4.226886078,0.09983121625
1,23,1.296848885,1.357685517,0.5510171735
1,24,1.250985077,1.770900265,0.09193509496
1,25,0.2823281966,0.2937229031,0.1641402598
1,26,0.2065280367,0.2631451928,0.2656410625
1,27,0.1029211937,0.1181491057,0.2232617634
1,28,5.550563538,5.550563538,0.09860459797
1,29,1.558207714,1.614228787,0.1301244537
1,30,0.4580074766,0.4757923993,0.5049512595
1,31,0.4346763862,0.5956477057,0.1276504937
1,32,0.1824795525,0.206799104,0.2117075986
1,33,0.1122250225,0.1321336294,0.3445017349
1,34,0.0484337546,0.04554248949,0.3036780045
1,35,26.34482785,26.34482785,0.04188815604
1,36,6.138882645,6.300218353,0.05775151213
1,37,1.380791431,1.41671124,0.2154184693
1,38,1.925259204,3.353336368,0.04514463572
1,39,0.60446422,0.6797561754,0.2222895905
1,40,0.7957070218,1.395344561,0.1962483824
1,41,0.9305318584,2.099096923,0.0378043121
1,42,0.1312486477,0.1323464613,0.2169374296
1,43,0.139227478,0.2095997069,0.1565484289
1,44,0.09946828183,0.1569401386,0.04865339952
1,45,6.118789317,6.118789317,0.06681731435
1,46,1.100957424,1.116273086,0.05936468412
1,47,0.3452326988,0.3640583751,0.3726704005
1,48,0.5292525563,0.9976711379,0.1577193841
1,49,0.1977994273,0.2302347059,0.3164283986
1,50,0.2086359422,0.3204485304,0.07502802026
1,51,0.08561388135,0.0911757766,0.2676231373
