Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,0.0001042283568,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,3.434478846e-05,1.115716537e-08,-1.846700269e-06,3.160778972e-06,1.299696498e-08,-5.493650331e-05
1,0.0001041826795,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,3.428337086e-05,-0.003461028902,-0.01045976293,3.074616502e-06,0.01391896928,-5.483738038e-05
2,0.0001040471271,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,3.410110729e-05,-0.01373205061,-0.04149479367,2.81891978e-06,0.05522502174,-5.454322205e-05
3,0.0001038239186,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,3.38009816e-05,-0.03064490629,-0.09259886204,2.397874836e-06,0.1232419458,-5.405884401e-05
4,0.0001035152733,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,3.338597765e-05,-0.05403144822,-0.1632638911,1.815667701e-06,0.2172935168,-5.338906195e-05
5,0.0001031234103,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,3.285907928e-05,-0.08372352873,-0.252981804,1.076484406e-06,0.3367035102,-5.253869156e-05
6,0.0001026505487,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,3.222327034e-05,-0.1195530001,-0.3612445238,1.845109826e-07,0.4807957014,-5.151254852e-05
7,0.0001020989076,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,3.14815347e-05,-0.1613517147,-0.4875439736,-8.560665388e-07,0.6488938658,-5.031544853e-05
8,0.0001014707062,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,3.063685619e-05,-0.2089515247,-0.6313720766,-2.041062127e-06,0.8403217787,-4.895220727e-05
9,0.0001007681636,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,2.969221866e-05,-0.2621842825,-0.7922207557,-3.366289752e-06,1.054403216,-4.742764043e-05
10,9.999349903e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,2.865060598e-05,-0.3208818404,-0.9695819341,-4.827563381e-06,1.290461952,-4.574656371e-05
11,9.914893154e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,2.751500199e-05,-0.3848760508,-1.162947535,-6.420696985e-06,1.547821763,-4.391379279e-05
12,9.82366803e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,2.628839054e-05,-0.4539987658,-1.371809481,-8.141504532e-06,1.825806425,-4.193414335e-05
13,9.725896445e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,2.497375549e-05,-0.5280818378,-1.595659696,-9.985799992e-06,2.123739712,-3.98124311e-05
14,9.621800313e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,2.357408068e-05,-0.6069571192,-1.833990103,-1.194939733e-05,2.4409454,-3.755347171e-05
15,9.511601547e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,2.209234996e-05,-0.6904564621,-2.086292624,-1.402811052e-05,2.776747264,-3.516208088e-05
16,9.395522061e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,2.053154719e-05,-0.778411719,-2.352059184,-1.621775354e-05,3.13046908,-3.264307429e-05
17,9.27378377e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,1.889465622e-05,-0.8706547421,-2.630781704,-1.851414033e-05,3.501434624,-3.000126764e-05
18,9.146608587e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,1.71846609e-05,-0.9670173837,-2.921952108,-2.091308489e-05,3.88896767,-2.724147661e-05
19,9.014218427e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,1.540454507e-05,-1.067331496,-3.22506232,-2.341040118e-05,4.292391994,-2.436851689e-05
20,8.876835202e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,1.35572926e-05,-1.171428932,-3.539604262,-2.600190316e-05,4.711031371,-2.138720417e-05
21,8.734680828e-05,-2.488011929e-06,2.797351843e-06,-1.741218739e-06,4.899362105e-07,5.087865181e-08,1.164588733e-05,-1.279141543,-3.865069857,-2.86834048e-05,5.144209578,-1.830235414e-05
