round,Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
1,0,-29.67308592,-21.82905434,18.26493705,-0.0006799101079,3.564032539,0.0006592305714,-30.00448607,-38.96394652,-6.948920206,-0.0002341983322,45.91296388,5.492677794e-05
1,1,-29.66099262,-21.82905436,18.26493707,-0.0006799101079,3.564032553,0.0006592417651,-29.99225783,-38.96394665,-6.948920248,-0.0002341983322,45.91296397,5.493797164e-05
1,2,-29.62498071,-21.82905443,18.26493714,-0.0006799101079,3.564032595,0.0006592750981,-29.95584409,-38.96394701,-6.948920373,-0.0002341983322,45.91296424,5.497130468e-05
1,3,-29.5654522,-21.82905454,18.26493726,-0.0006799101079,3.564032664,0.0006593301984,-29.89565132,-38.96394762,-6.94892058,-0.0002341983322,45.91296469,5.502640498e-05
1,4,-29.48280907,-21.8290547,18.26493742,-0.0006799101079,3.56403276,0.0006594066938,-29.81208602,-38.96394846,-6.948920866,-0.0002341983322,45.91296531,5.510290043e-05
1,5,-29.37745332,-21.8290549,18.26493763,-0.0006799101079,3.564032881,0.0006595042124,-29.70555465,-38.96394953,-6.948921232,-0.0002341983322,45.9129661,5.520041895e-05
1,6,-29.24978693,-21.82905514,18.26493788,-0.0006799101079,3.564033029,0.0006596223819,-29.5764637,-38.96395083,-6.948921675,-0.0002341983322,45.91296706,5.531858845e-05
1,7,-29.10021191,-21.82905543,18.26493818,-0.0006799101079,3.564033202,0.0006597608303,-29.42521965,-38.96395235,-6.948922194,-0.0002341983322,45.91296819,5.545703684e-05
1,8,-28.92913025,-21.82905576,18.26493852,-0.0006799101079,3.5640334,0.0006599191855,-29.25222897,-38.9639541,-6.948922788,-0.0002341983322,45.91296948,5.561539204e-05
1,9,-28.73694393,-21.82905612,18.2649389,-0.0006799101079,3.564033623,0.0006600970754,-29.05789814,-38.96395605,-6.948923455,-0.0002341983322,45.91297092,5.579328195e-05
1,10,-28.52405496,-21.82905653,18.26493932,-0.0006799101079,3.564033869,0.0006602941279,-28.84263365,-38.96395822,-6.948924194,-0.0002341983322,45.91297252,5.599033448e-05
1,11,-28.29086533,-21.82905697,18.26493978,-0.0006799101079,3.564034139,0.000660509971,-28.60684197,-38.9639606,-6.948925004,-0.0002341983322,45.91297428,5.620617754e-05
1,12,-28.03777702,-21.82905746,18.26494028,-0.0006799101079,3.564034431,0.0006607442325,-28.35092958,-38.96396317,-6.948925882,-0.0002341983322,45.91297618,5.644043904e-05
1,13,-27.76519204,-21.82905798,18.26494081,-0.0006799101079,3.564034747,0.0006609965403,-28.07530295,-38.96396595,-6.948926828,-0.0002341983322,45.91297823,5.66927469e-05
1,14,-27.47351238,-21.82905853,18.26494139,-0.0006799101079,3.564035084,0.0006612665224,-27.78036858,-38.96396892,-6.948927841,-0.0002341983322,45.91298042,5.696272902e-05
