round,step,MaxD_in,MaxD_out
1,0,0.3740103472,0.3740103472
1,1,0.3741326681,0.3740648669
1,2,0.3744978741,0.3742265802
1,3,0.3751034195,0.374492407
1,4,0.3759468722,0.374858876
1,5,0.3770259049,0.3753221504
1,6,0.3783382842,0.3758780532
1,7,0.3798818597,0.3765220883
1,8,0.3816545507,0.3772494621
1,9,0.3836543325,0.3780551026
1,10,0.3858792206,0.3789336779
1,11,0.3883272554,0.3798796142
1,12,0.3909964844,0.3808871136
1,13,0.3938849449,0.3819501718
1,14,0.396990645,0.383062596
1,15,0.400311544,0.3842180228
1,16,0.4038455329,0.3854099377
1,17,0.4075904136,0.3866316944
1,18,0.4115438779,0.3878765349
1,19,0.415703486,0.389137612
1,20,0.4200666451,0.3904080105
1,21,0.4246305876,0.3916807718
1,22,0.4293923491,0.3929489178
1,23,0.4343487465,0.394205477
1,24,0.4394963566,0.3954435105
1,25,0.4448314948,0.3966561402
1,26,0.4503501939,0.3978365768
1,27,0.4560481844,0.3989781487
1,28,0.4619208744,0.4000743315
1,29,0.4679633314,0.4011187782
1,30,0.4741702645,0.402105349
1,31,0.4805360086,0.4030281409
1,32,0.4870545089,0.4038815182
1,33,0.4937193081,0.4046601409
1,34,0.5005235346,0.4053589937
1,35,0.5074598933,0.4059734132
1,36,0.5145206576,0.4064991146
1,37,0.5216976648,0.4069322158
1,38,0.528982313,0.4072692616
1,39,0.5363655608,0.4075072439
1,40,0.5438379301,0.4076436222
1,41,0.5513895113,0.4076763393
1,42,0.5590099717,0.4076038369
1,43,0.5666885663,0.4074250671
1,44,0.5744141527,0.4071395016
1,45,0.5821752082,0.4067471386
1,46,0.5899598505,0.4062485063
1,47,0.5977558613,0.4056446637
1,48,0.6055507129,0.4049371984
1,49,0.6133315981,0.4041282221
1,50,0.6210854625,0.4032203622
1,51,0.6287990402,0.4022167518
1,52,0.6364588915,0.401121016
1,53,0.6440514431,0.3999372566
1,54,0.6515630308,0.3986700338
1,55,0.658979944,0.3973150093
1,56,0.6662884714,0.3958893368
1,57,0.6734749488,0.3944018936
1,58,0.6805258074,0.3928614318
1,59,0.687427623,0.3912765684
1,60,0.6941671657,0.3896557764
1,61,0.7007314492,0.3880073776
1,62,0.7071077802,0.386339535
1,63,0.7132838068,0.3846602473
1,64,0.7192475658,0.3829773433
1,65,0.7285875095,0.3812984781
1,66,0.7421084177,0.3796311285
1,67,0.7554127176,0.377982591
1,68,0.7684708061,0.3763599787
1,69,0.781253368,0.3747702198
1,70,0.7937315245,0.3732200564
1,71,0.8058769801,0.3717160434
1,72,0.8176621676,0.3702645486
1,73,0.8290603901,0.3688717521
1,74,0.8400459573,0.3675436466
1,75,0.8505943162,0.3662860377
1,76,0.8606821744,0.3651045443
1,77,0.8702876153,0.3640045986
1,78,0.8793902029,0.3629914463
1,79,0.8879710779,0.3620701467
1,80,0.8960130409,0.3612455714
1,81,0.9035006257,0.3605224038
1,82,0.9104201589,0.3599051368
1,83,0.9167598082,0.3593980703
1,84,0.9225096173,0.3590053071
1,85,0.9276615284,0.3587307483
1,86,0.9322093918,0.3585780867
1,87,0.9361489635,0.3585507988
1,88,0.9394778904,0.3586521349
1,89,0.9421956844,0.3588851074
1,90,0.9443036851,0.3592524765
1,91,0.9458050126,0.3597567336
1,92,0.9467045108,0.3604000814
1,93,0.947008682,0.3611844118
1,94,0.9467256141,0.3621112793
1,95,0.9458649001,0.3631818717
1,96,0.9444375532,0.3643969763
1,97,0.9424559159,0.365756942
1,98,0.9399335656,0.3672616365
1,99,0.9368852176,0.3689103992
1,100,0.9333266254,0.3707019884
1,101,0.9292744808,0.3726345234
1,102,0.9247463126,0.3747054208
1,103,0.9197603873,0.3769113248
1,104,0.9143356093,0.3792480321
1,105,0.9084914246,0.3817104101
1,106,0.902247726,0.3842923094
1,107,0.8956247622,0.3894128124
1,108,0.8886430493,0.3956847215
1,109,0.8813232873,0.4021513752
1,110,0.8736862801,0.4088135989
1,111,0.8657528607,0.415631328
1,112,0.8575438201,0.4225748428
1,113,0.8490798417,0.4296128904
1,114,0.8403814409,0.4367127632
1,115,0.8314689081,0.4438404087
1,116,0.8223622589,0.4509605732
1,117,0.8130811867,0.458036979
1,118,0.8036450218,0.4650325335
1,119,0.7940726942,0.4719095705
1,120,0.7843827011,0.47863012
1,121,0.7745930785,0.4851562046
1,122,0.7647213771,0.4914501587
1,123,0.7547846419,0.4974749655
1,124,0.7447993952,0.5031946078
1,125,0.7347816231,0.508574426
1,126,0.7247467657,0.5135814778
1,127,0.7147097092,0.518184893
1,128,0.7046847817,0.5223562171
1,129,0.6946857506,0.5260697367
1,130,0.6847258234,0.5293027806
1,131,0.6748176491,0.5320359906
1,132,0.6649733231,0.5342535558
1,133,0.6552043923,0.5359434068
1,134,0.6455218629,0.5370973648
1,135,0.6359362089,0.5377112421
1,136,0.6264573821,0.5377848936
1,137,0.6170948232,0.5373222162
1,138,0.6078574736,0.5363310988
1,139,0.5987537886,0.534823321
1,140,0.5897917506,0.5328144061
1,141,0.5809788838,0.5303234298
1,142,0.5723222691,0.5273727888
1,143,0.5638285593,0.5239879356
1,144,0.555503995,0.5201970841
1,145,0.5473544211,0.516030892
1,146,0.539385303,0.511522127
1,147,0.5316017441,0.5067053229
1,148,0.5240085025,0.5016164316
1,149,0.5166100084,0.4962924782
1,150,0.5094103819,0.4907712231
1,151,0.5024134506,0.4850908392
1,152,0.4956227674,0.4792896052
1,153,0.4890416284,0.4734056232
1,154,0.482673091,0.4674765597
1,155,0.4765199917,0.4615394161
1,156,0.4705849645,0.4556303281
1,157,0.4648704583,0.4497843962
1,158,0.4593787555,0.4440355467
1,159,0.4541119897,0.4384164245
1,160,0.4490721633,0.4329583142
1,161,0.4442611655,0.4276910906
1,162,0.4396807897,0.4226431945
1,163,0.4353327508,0.4178416326
1,164,0.4312187026,0.4133119983
1,165,0.4273402547,0.40907851
1,166,0.423698989,0.4051640636
1,167,0.4202964764,0.4015902968
1,168,0.4171342928,0.398383071
1,169,0.4142140347,0.3955199616
1,170,0.4115373346,0.3929859877
1,171,0.4091058761,0.3907657312
1,172,0.4069214083,0.3888434399
1,173,0.4049857596,0.3872031141
1,174,0.4033008512,0.3858285803
1,175,0.4018687101,0.3847035542
1,176,0.400691481,0.3838116977
1,177,0.3997714378,0.3831366701
1,178,0.3991109947,0.3826621775
1,179,0.3987127155,0.3823720203
1,180,0.3985793232,0.3822501415
1,181,nan,0.3822806765
1,182,nan,0.3824480042
1,183,nan,0.3827368007
1,184,nan,0.383132096
1,185,nan,0.3836193324
1,186,nan,0.3841844252
1,187,nan,0.3848138244
1,188,nan,0.3854945775
1,189,nan,0.3862143917
1,190,nan,0.3869616937
1,191,nan,0.3877256877
1,192,nan,0.3884964087
1,193,nan,0.3892647704
1,194,nan,0.3900226058
1,195,nan,0.3907627001
1,196,nan,0.3914788131
1,197,nan,0.392165692
1,198,nan,0.3928190711
1,199,nan,0.3934356597
1,200,nan,0.3940131154
1,201,nan,0.3945500046
1,202,nan,0.3950457468
1,203,nan,0.3955005456
1,204,nan,0.3959153034
1,205,nan,0.396291523
1,206,nan,0.3966311926
1,207,nan,0.3969366584
1,208,nan,0.3972104823
1,209,nan,0.3974552865
1,210,nan,0.3976735857
1,211,nan,0.3978676067
1,212,nan,0.3980390969
1,213,nan,0.398189122
1,214,nan,0.3983178532
1,215,nan,0.3984243454
1,216,nan,0.3985063079
1,217,nan,0.3985598668
1,218,nan,0.3985793232
2,0,0.3740103472,0.3740103472
2,1,0.3740648669,0.3740648669
2,2,0.3742265802,0.3742265802
2,3,0.374492407,0.374492407
2,4,0.374858876,0.374858876
2,5,0.3753221504,0.3753221504
2,6,0.3758780532,0.3758780532
2,7,0.3765220883,0.3765220883
2,8,0.3772494621,0.3772494621
2,9,0.3780551026,0.3780551026
2,10,0.3789336779,0.3789336779
2,11,0.3798796142,0.3798796142
