round,Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
1,0,-29.67298018,-15.47283888,10.236483,-1.741218739e-06,4.909204871,5.087865181e-08,-30.00321578,-22.67336425,-6.563986892,-3.074766548e-05,30.10978319,-5.493650331e-05
1,1,-29.66076101,-15.47283886,10.23648298,-1.741218739e-06,4.909204843,5.087865181e-08,-29.99098832,-22.67336411,-6.563986815,-3.074075579e-05,30.10978304,-5.493650331e-05
1,2,-29.62437428,-15.47283878,10.2364829,-1.741218739e-06,4.90920476,5.087865181e-08,-29.95457691,-22.67336371,-6.563986586,-3.072017982e-05,30.1097826,-5.493650331e-05
1,3,-29.56422617,-15.47283864,10.23648276,-1.741218739e-06,4.909204622,5.087865181e-08,-29.894388,-22.67336305,-6.563986207,-3.068616727e-05,30.10978188,-5.493650331e-05
1,4,-29.48072287,-15.47283846,10.23648257,-1.741218739e-06,4.909204431,5.087865181e-08,-29.81082805,-22.67336213,-6.563985681,-3.063894783e-05,30.10978087,-5.493650331e-05
1,5,-29.37427054,-15.47283822,10.23648234,-1.741218739e-06,4.909204187,5.087865181e-08,-29.70430351,-22.67336096,-6.563985011,-3.057875116e-05,30.10977959,-5.493650331e-05
1,6,-29.24527536,-15.47283794,10.23648205,-1.741218739e-06,4.909203891,5.087865181e-08,-29.57522084,-22.67335954,-6.563984198,-3.050580697e-05,30.10977804,-5.493650331e-05
1,7,-29.09414352,-15.47283761,10.23648171,-1.741218739e-06,4.909203545,5.087865181e-08,-29.42398647,-22.67335788,-6.563983246,-3.042034494e-05,30.10977623,-5.493650331e-05
1,8,-28.92128118,-15.47283723,10.23648133,-1.741218739e-06,4.909203149,5.087865181e-08,-29.25100688,-22.67335598,-6.563982158,-3.032259475e-05,30.10977415,-5.493650331e-05
1,9,-28.72709453,-15.4728368,10.23648089,-1.741218739e-06,4.909202705,5.087865181e-08,-29.05668851,-22.67335385,-6.563980935,-3.021278609e-05,30.10977181,-5.493650331e-05
1,10,-28.51198974,-15.47283633,10.23648041,-1.741218739e-06,4.909202212,5.087865181e-08,-28.84143781,-22.67335148,-6.56397958,-3.009114864e-05,30.10976923,-5.493650331e-05
1,11,-28.27637299,-15.47283581,10.23647989,-1.741218739e-06,4.909201672,5.087865181e-08,-28.60566123,-22.67334889,-6.563978096,-2.995791208e-05,30.10976639,-5.493650331e-05
1,12,-28.02065046,-15.47283524,10.23647931,-1.741218739e-06,4.909201087,5.087865181e-08,-28.34976524,-22.67334608,-6.563976485,-2.981330611e-05,30.10976332,-5.493650331e-05
