Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,30.2911308,-15.47268798,10.23633234,-1.741218739e-06,4.90903321,5.087865181e-08,30.00300981,-22.6726776,-6.563609237,3.706922343e-05,30.10906221,-0.0001098681439
1,30.27891161,-15.47268801,10.23633237,-1.741218739e-06,4.909033245,5.087865181e-08,29.99078203,-22.67267774,-6.563609314,3.705540404e-05,30.10906235,-0.0001098569502
2,30.24252482,-15.4726881,10.23633246,-1.741218739e-06,4.909033349,5.087865181e-08,29.95436969,-22.67267816,-6.563609543,3.701425211e-05,30.10906279,-0.0001098236172
3,30.1823766,-15.47268826,10.23633261,-1.741218739e-06,4.909033521,5.087865181e-08,29.89417923,-22.67267885,-6.563609922,3.694622701e-05,30.10906352,-0.0001097685169
4,30.09887315,-15.47268847,10.23633282,-1.741218739e-06,4.90903376,5.087865181e-08,29.81061713,-22.6726798,-6.563610448,3.685178811e-05,30.10906452,-0.0001096920214
5,29.99242063,-15.47268873,10.23633309,-1.741218739e-06,4.909034065,5.087865181e-08,29.70408985,-22.67268102,-6.563611118,3.673139479e-05,30.1090658,-0.0001095945029
6,29.86342523,-15.47268906,10.23633342,-1.741218739e-06,4.909034434,5.087865181e-08,29.57500385,-22.6726825,-6.563611931,3.658550641e-05,30.10906735,-0.0001094763334
7,29.71229312,-15.47268944,10.2363338,-1.741218739e-06,4.909034867,5.087865181e-08,29.42376559,-22.67268423,-6.563612883,3.641458234e-05,30.10906917,-0.000109337885
8,29.53943048,-15.47268987,10.23633423,-1.741218739e-06,4.909035362,5.087865181e-08,29.25078154,-22.67268621,-6.563613971,3.621908196e-05,30.10907125,-0.0001091795298
9,29.34524348,-15.47269036,10.23633472,-1.741218739e-06,4.909035917,5.087865181e-08,29.05645817,-22.67268843,-6.563615194,3.599946463e-05,30.10907358,-0.0001090016399
10,29.13013831,-15.4726909,10.23633526,-1.741218739e-06,4.909036533,5.087865181e-08,28.84120192,-22.6726909,-6.563616549,3.575618973e-05,30.10907617,-0.0001088045874
