round,step,MaxD_in,MaxD_out
1,0,0.1603893496,0.1603893496
1,1,0.1604814294,0.1604814294
1,2,0.1607556373,0.1607556373
1,3,0.1612089351,0.1612089351
1,4,0.161838287,0.161838287
1,5,0.1626406424,0.1626406424
1,6,0.1636129128,0.1636129128
1,7,0.1647519445,0.1647519445
1,8,0.166054487,0.166054487
1,9,0.1675171569,0.1675171569
1,10,0.1691363996,0.1691363996
1,11,0.1709084477,0.1709084477
1,12,0.1728292766,0.1728292766
1,13,0.1748945593,0.1748945593
1,14,0.1770996191,0.1770996191
1,15,0.1794393817,0.1794393817
1,16,0.1819083273,0.1819083273
1,17,0.184500443,0.184500443
1,18,0.1872091764,0.1872091764
1,19,0.1900273913,0.1900273913
1,20,0.1929473257,0.1929473257
1,21,0.1959605536,0.1959605536
1,22,0.1990579512,0.1990579512
1,23,0.2022296682,0.2022296682
1,24,0.205465106,0.205465106
1,25,0.2087529023,0.2087529023
1,26,0.2120809244,0.2120809244
1,27,0.215436272,0.215436272
1,28,0.2188052887,0.2188052887
1,29,0.2223486006,0.2223486006
1,30,0.2261285293,0.2261285293
1,31,0.2298798552,0.2298798552
1,32,0.2335837986,0.2335837986
1,33,0.2372208703,0.2372208703
1,34,0.2407709719,0.2407709719
1,35,0.2442135137,0.2442135137
1,36,0.247527548,0.247527548
1,37,0.250691919,0.250691919
1,38,0.2536854267,0.2536854267
1,39,0.2564870047,0.2564870047
1,40,0.2590759076,0.2590759076
1,41,0.2614319091,0.2614319091
1,42,0.2635355043,0.2635355043
1,43,0.2781436449,0.2781436449
1,44,0.3039854701,0.290197178
1,45,0.3307235876,0.3013763703
1,46,0.3581069177,0.3116325191
1,47,0.3858398171,0.3208678794
1,48,0.4135852153,0.3289442609
1,49,0.4557125149,0.3356959104
1,50,0.5067533942,0.340945718
1,51,0.5584154715,0.3445235697
1,52,0.6096373117,0.346285388
1,53,0.6592450438,0.3461311523
1,54,0.7059943249,0.3440200963
1,55,0.7509139711,0.3399814173
1,56,0.7998464997,0.3436839356
1,57,0.8408449929,0.3494314194
1,58,0.8722971331,0.3531434
1,59,0.8929191062,0.354944818
1,60,0.9018464024,0.3550650206
1,61,0.898696747,0.3538258587
1,62,0.8835985199,0.358839368
1,63,0.8571815946,0.3628786373
1,64,0.8205315536,0.366044316
1,65,0.7751121199,0.3684538268
1,66,0.7255983997,0.3702194855
1,67,0.6804426767,0.371446658
1,68,0.6318368535,0.372232519
1,69,0.5810459449,0.372665304
1,70,0.5292879881,0.3728239509
1,71,0.4776869807,0.3727780395
1,72,0.427236133,0.3725879505
1,73,0.3787726237,0.3723051767
1,74,0.3329639848,0.3719727346
1,75,0.2903053268,0.3716256347
1,76,0.2670590217,0.3712913785
1,77,0.2655319813,0.3709904593
1,78,0.2637083642,0.3707368535
1,79,0.2616052828,0.3705384913
1,80,0.2592410743,0.3703977033
1,81,0.2566350927,0.3703116429
1,82,0.2538075001,0.3702726873
1,83,0.2507790595,0.3702688211
1,84,0.2475709318,0.3702840095
1,85,0.2442044813,0.3702985688
1,86,0.2407010913,0.3702895413
1,87,0.2370819917,0.3702310828
1,88,0.2333681011,0.3700948705
1,89,0.2295798842,0.3698505364
1,90,0.225737226,0.3694661325
1,91,0.2218593225,0.3689086306
1,92,0.2182770262,0.3681444585
1,93,0.2148089384,0.3671565333
1,94,0.2113493321,0.3659566786
1,95,0.2079122077,0.3645737639
1,96,0.2045108018,0.3630398368
1,97,0.2011575694,0.361389408
1,98,0.1978641784,0.3596587404
1,99,0.1946415122,0.3578851566
1,100,0.1914996819,0.3561063767
1,101,0.1884480463,0.3543598934
1,102,0.1854952387,0.3526823886
1,103,0.1826491988,0.3511091892
1,104,0.179917211,0.3496737597
1,105,0.1787353285,0.3484072209
1,106,0.178444847,0.3473378841
1,107,0.1781620551,0.3464907838
1,108,0.1778888347,0.3458871922
1,109,0.177627004,0.3455440935
1,110,0.1773783127,0.3454735945
1,111,0.1771444366,0.3456822478
1,112,0.1769269729,0.3461702626
1,113,0.1767274354,0.3469305759
1,114,0.1765472492,0.347947763
1,115,0.1763877458,0.3491967669
1,116,0.1762501576,0.3506414329
1,117,0.1761356128,0.3522328495
1,118,0.1760451296,0.3539075085
1,119,0.1759796103,0.3555853248
1,120,0.1759398348,0.3571675886
1,121,0.175926454,0.3585349673
1,122,nan,0.3595457316
1,123,nan,0.3599680451
1,124,nan,0.3639390472
1,125,nan,0.3698285559
1,126,nan,0.3741915829
1,127,nan,0.3765860556
1,128,nan,0.3766723917
1,129,nan,0.3742348838
1,130,nan,0.3691932453
1,131,nan,0.361602009
1,132,nan,0.3516374365
1,133,nan,0.3486970453
1,134,nan,0.3436312659
1,135,nan,0.3361295262
1,136,nan,0.3263743809
1,137,nan,0.3145788824
1,138,nan,0.3009629867
1,139,nan,0.2857337208
1,140,nan,0.2690716876
1,141,nan,0.2670590217
1,142,nan,0.2655319813
1,143,nan,0.2637083642
1,144,nan,0.2616052828
1,145,nan,0.2592410743
1,146,nan,0.2566350927
1,147,nan,0.2538075001
1,148,nan,0.2507790595
1,149,nan,0.2475709318
1,150,nan,0.2442044813
1,151,nan,0.2407010913
1,152,nan,0.2370819917
1,153,nan,0.2333681011
1,154,nan,0.2295798842
1,155,nan,0.225737226
1,156,nan,0.2218593225
1,157,nan,0.2182770262
1,158,nan,0.2148089384
1,159,nan,0.2113493321
1,160,nan,0.2079122077
1,161,nan,0.2045108018
1,162,nan,0.2011575694
1,163,nan,0.1978641784
1,164,nan,0.1946415122
1,165,nan,0.1914996819
1,166,nan,0.1884480463
1,167,nan,0.1854952387
1,168,nan,0.1826491988
1,169,nan,0.179917211
1,170,nan,0.1787353285
1,171,nan,0.178444847
1,172,nan,0.1781620551
1,173,nan,0.1778888347
1,174,nan,0.177627004
1,175,nan,0.1773783127
1,176,nan,0.1771444366
1,177,nan,0.1769269729
1,178,nan,0.1767274354
1,179,nan,0.1765472492
1,180,nan,0.1763877458
1,181,nan,0.1762501576
1,182,nan,0.1761356128
1,183,nan,0.1760451296
1,184,nan,0.1759796103
1,185,nan,0.1759398348
1,186,nan,0.175926454
