round,inner_step,G_norm,d_norm,alpha
1,1,14.70015522,10.82163858,1
1,2,4.54003233,3.873819383,1
1,3,0.8411679609,2.486929454,1
1,4,1.284568284,2.444587431,1
1,5,0.4067203316,0.4923873115,1
1,6,2.483838772,3.524785555,1
1,7,0.7271311047,0.7662557206,1
1,8,0.03823593517,0.08425920157,1
1,9,3.492176228,3.284526493,1
1,10,0.3235130923,0.3277573846,1
1,11,0.007363771466,0.01184578751,1
1,12,1.747629076,0.5429122638,1
1,13,0.008518443592,0.004976600164,1
1,14,2.548294803,2.858230396,1
1,15,1.040206185,1.564964501,1
1,16,0.2832998742,0.7279903438,1
1,17,0.05367820916,0.09583048021,1
1,18,2.503788806,1.070987212,1
1,19,0.1456929128,3.277115323,1
1,20,1.084163717,0.919156941,1
1,21,0.09800317018,1.153631991,1
1,22,1.623184927,0.9087780901,1
1,23,0.01004030364,0.02473654006,1
1,24,1.323686959,0.9754782064,1
1,25,0.02505587845,0.0559388879,1
1,26,1.081664111,0.9052578995,1
1,27,0.01501573012,0.02787811341,1
1,28,0.9947561958,0.7264312759,1
1,29,0.0120795372,0.2103701901,1
1,30,0.7769223407,1.386652019,1
1,31,0.2179617664,2.230920996,1
1,32,0.4726606683,2.043510138,1
1,33,0.2676620068,1.993326658,1
1,34,0.4163972787,2.003104422,1
1,35,0.2656939914,1.987911941,1
1,36,0.4133007446,1.99741319,1
1,37,0.2655548931,1.979967892,1
1,38,0.4096700713,1.990835498,1
1,39,0.2654119201,1.971126706,1
1,40,0.4056005159,1.983511442,1
1,41,0.2652923286,1.961329759,1
1,42,0.4010603926,1.975405781,1
1,43,0.26521137,1.950545869,1
1,44,0.3960226995,1.966498006,1
1,45,0.2651889993,1.938762838,1
1,46,0.3904657817,1.956785633,1
1,47,0.2652505924,1.926218037,1
1,48,0.3844630462,1.946382878,1
1,49,0.2654324908,1.972604855,1
1,50,0.3961217688,1.960427975,1
1,51,0.2659816861,1.929781082,1
1,52,0.3848133136,1.945682567,1
1,53,0.2656174229,1.998204601,1
1,54,0.4034125598,1.970422792,1
1,55,0.2661726174,1.927541766,1
1,56,0.3854023921,1.948073008,1
1,57,0.2653814808,1.95451925,1
1,58,0.39115123,1.953692766,1
1,59,0.265854569,1.952447455,1
1,60,0.3906693154,1.953068837,1
1,61,0.2658364388,1.955005565,1
1,62,0.3913525628,1.953981802,1
1,63,0.2658556371,1.950828623,1
1,64,0.390237176,1.952492772,1
1,65,0.2658239668,1.957815198,1
1,66,0.3921090877,1.95499721,1
1,67,0.2658760987,1.94653543,1
1,68,0.3891022897,1.950991521,1
1,69,0.2657894544,1.965753819,1
1,70,0.3942720655,1.957920745,1
1,71,0.2659323385,1.93621543,1
1,72,0.3864278094,1.947572544,1
1,73,0.2656953331,1.986650047,1
1,74,0.4001104579,1.96589151,1
1,75,0.2660825469,1.924629835,1
1,76,0.3839049546,1.945347181,1
1,77,0.26546344,1.985723662,1
