Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,45,0.2670585996,45,0.2670585996,11.57911461,-15.47266912,10.2363156,-1.741218739e-06,4.909022496,5.087865181e-08,11.27875256,-22.67265871,-6.563585618,4.765053325e-05,30.10905149,-0.0001647997846,11.57911461,-15.47266912,10.2363156,-1.741218739e-06,4.909022496,5.087865181e-08,11.27875256,-22.67265871,-6.563585618,4.765053325e-05,30.10905149,-0.0001647997846
q1,1,53,0.6317776299,77,0.3524727005,5.855814556,-15.47266912,10.2363156,-1.741218739e-06,4.909019219,5.087865181e-08,5.551719212,-22.67266133,-6.563588895,5.088695077e-05,30.10904822,-0.0001647997846,9.079384991,-8.163379374,6.78742222,-0.02215741934,4.36044149,-0.01153490354,6.76162351,-11.55609516,-1.334987719,0.02805155171,30.44108023,-0.0116997542
peak,1,61,0.9018415814,121,0.3810955355,-0.06245030008,-15.47266912,10.2363156,-1.741218739e-06,4.909015831,5.087865181e-08,-0.3704061104,-22.67266404,-6.563592284,5.423361718e-05,30.10904483,-0.0001647997846,0.341998359,4.460381573,5.476388279,-0.01853955346,3.821725534,-0.01503034427,-0.5203454546,0.8550707235,4.077377218,-0.01231658566,30.99118678,-0.01519519493
q3,1,69,0.6097099105,165,0.350436318,-5.967717503,-15.47266912,10.2363156,-1.741218739e-06,4.90901245,5.087865181e-08,-6.279525301,-22.67266674,-6.563595665,5.757293367e-05,30.10904145,-0.0001647997846,-8.890750919,-7.929112328,7.001880317,-0.004018415209,4.366861607,-0.01153490353,-7.816109689,-11.70012773,-1.427834475,-0.04582885887,30.44840411,-0.0116997542
Tail,1,78,0.2781619141,197,0.2781619141,-12.33666922,-15.47266912,10.2363156,-1.741218739e-06,4.909008803,5.087865181e-08,-12.65263147,-22.67266966,-6.563599311,6.117445494e-05,30.1090378,-0.0001647997846,-12.33666922,-15.47266912,10.2363156,-1.741218739e-06,4.909008803,5.087865181e-08,-12.65263147,-22.67266966,-6.563599311,6.117445494e-05,30.1090378,-0.0001647997846
Head,2,41,0.2592404757,41,0.2592404757,14.30266457,-15.47266912,10.2363156,-1.741218739e-06,4.909024055,5.087865181e-08,14.00407908,-22.67265746,-6.563584059,4.611041746e-05,30.10905305,-0.0001647997846,14.30266457,-15.47266912,10.2363156,-1.741218739e-06,4.909024055,5.087865181e-08,14.00407908,-22.67265746,-6.563584059,4.611041746e-05,30.10905305,-0.0001647997846
q1,2,110,0.4070596002,73,0.3557925127,3.35841421,3.22757116,5.411802906,-0.02299431498,3.858069901,-0.01525428557,1.686483487,-0.07174303328,3.699913316,0.005491683607,30.93868206,-0.01541913624,6.087642574,-13.02226376,5.039086294,-0.008796808182,4.524628318,-0.01624380596,6.416947647,-14.11720657,-2.144587321,-0.008970237624,30.20839188,-0.01640865661
peak,2,147,0.4639666672,101,0.3742188493,-6.306901041,-0.9454009123,5.776807714,-0.008961787592,4.025566436,-0.01511645074,-5.432457854,-4.09983803,1.956741781,-0.0481118361,30.75550495,-0.01528130142,-4.545287248,-11.81429919,2.648871054,-0.001567901262,4.352948957,-0.0212845189,-1.144154357,-11.3567307,-0.7901681065,-0.0488750972,30.19190201,-0.02144936955
q3,2,159,0.4045521777,118,0.3463295844,-8.310512113,-5.567152578,6.436567385,-0.005493982444,4.237699708,-0.01335635125,-7.158851982,-8.911506493,-0.1662704696,-0.05042683172,30.55286287,-0.01352120192,-8.151206387,-12.66212547,5.893704831,-0.005948531113,4.54539994,-0.01667565227,-6.17803326,-15.21078297,-2.804504398,-0.04234330519,30.20170458,-0.01684050293
Tail,2,188,0.3470038277,137,0.3470038277,-10.24127118,-14.7131454,9.810338124,-0.0003608346697,4.845323838,-0.001562575964,-10.33648898,-21.42282798,-5.968812959,-0.006735695042,30.14361184,-0.001727426628,-10.24127118,-14.7131454,9.810338124,-0.0003608346697,4.845323838,-0.001562575964,-10.33648898,-21.42282798,-5.968812959,-0.006735695042,30.14361184,-0.001727426628
