round,inner_step,G_norm,d_norm,alpha
1,1,14.71807862,14.71807862,0.4593760149
1,2,4.227255816,4.227255816,0.6405225219
1,3,3.117517846,3.117517846,0.355039008
1,4,1.386864206,1.386864206,0.5734391866
1,5,1.08791771,1.08791771,0.3619771358
1,6,0.5554295121,0.5554295121,0.5955414249
1,7,1.575840855,1.575840855,1.113895874
1,8,1.655777684,1.655777684,0.3395167956
1,9,0.5988731972,0.5988731972,0.7582878871
1,10,0.5412039521,0.5412039521,0.3486127383
1,11,0.2468556133,0.2468556133,0.7301118818
1,12,8.283251163,8.283251163,0.4028573128
1,13,5.700729378,5.700729378,0.2598751491
1,14,2.660578161,2.660578161,0.4121495231
1,15,2.007948127,2.007948127,0.2662171884
1,16,1.032988508,1.032988508,0.4270604965
1,17,0.8561179347,0.8561179347,0.2720091601
1,18,0.4697228707,0.4697228707,0.4335914544
1,19,0.4085417214,0.4085417214,0.2779096952
1,20,0.2368450356,0.2368450356,0.4418450304
1,21,11.73588684,11.73588684,0.1207003802
1,22,2.79285587,2.79285587,0.2571133104
1,23,2.178608991,2.178608991,0.179017375
1,24,1.401660041,1.401660041,0.2416750477
1,25,1.261977122,1.261977122,0.1804775617
1,26,0.854804493,0.854804493,0.2456149328
1,27,0.7939882599,0.7939882599,0.1825094665
1,28,0.5517268773,0.5517268773,0.2515064264
1,29,0.5353957366,0.5353957366,0.1856698506
1,30,0.387413828,0.387413828,0.2600124493
1,31,0.4001971893,0.4001971893,0.1895245351
1,32,0.304061684,0.304061684,0.2687169565
1,33,0.3340359597,0.3340359597,0.1923778951
1,34,0.2630706555,0.2630706555,0.2745689476
1,35,0.300540348,0.300540348,0.1936153152
1,36,0.2406058401,0.2406058401,0.2775098747
1,37,0.2799007695,0.2799007695,0.1932375731
1,38,0.2243950977,0.2243950977,0.2784865292
1,39,0.2627210201,0.2627210201,0.1929603206
1,40,0.2105145113,0.2105145113,0.2776608108
1,41,0.2460008565,0.2460008565,0.1936340636
1,42,0.1978775342,0.1978775342,0.2754879071
1,43,0.2296251363,0.2296251363,0.1947138054
1,44,0.185848198,0.185848198,0.2726123273
1,45,0.2136161174,0.2136161174,0.1960852492
1,46,0.1742560384,0.1742560384,0.2692853801
1,47,0.1980510431,0.1980510431,0.1977256646
1,48,0.1630832954,0.1630832954,0.2656005821
1,49,0.1830148145,0.1830148145,0.1996462421
1,50,0.1523582875,0.1523582875,0.2618905463
1,51,0.168681829,0.168681829,0.2020629537
1,52,0.1421619962,0.1421619962,0.2586374574
1,53,0.1552182949,0.1552182949,0.2057298429
1,54,0.1329396841,0.1329396841,0.2525570671
1,55,0.1417167682,0.1417167682,0.2112137606
1,56,0.1251286527,0.1251286527,0.2432833033
1,57,0.1286105594,0.1286105594,0.2185038809
1,58,0.1179758311,0.1179758311,0.2334048093
1,59,51.50571471,51.50571471,0.04605438352
1,60,22.73008576,22.73008576,0.09685073467
1,61,18.85499525,18.85499525,0.06828901015
1,62,12.08121356,12.08121356,0.1171395127
1,63,12.09263756,12.09263756,0.05760950658
1,64,7.908089693,7.908089693,0.1045230057
1,65,8.972394177,8.972394177,0.04544278266
1,66,5.652087511,5.652087511,0.09001976438
1,67,6.952275234,6.952275234,0.04452545389
1,68,4.236435818,4.236435818,0.09578273325
1,69,5.505103385,5.505103385,0.04392543856
1,70,3.275563218,3.275563218,0.09977535053
1,71,4.409758595,4.409758595,0.04353199271
1,72,2.583215283,2.583215283,0.1028161088
1,73,3.574445158,3.574445158,0.0432972352
1,74,2.076238118,2.076238118,0.1051208315
1,75,2.937989608,2.937989608,0.04317872528
1,76,1.701195938,1.701195938,0.1067739198
1,77,2.450797588,2.450797588,0.04314781005
1,78,1.420204497,1.420204497,0.1078078863
1,79,2.073534944,2.073534944,0.04318737748
1,80,1.20615614,1.20615614,0.1082445092
1,81,1.776481584,1.776481584,0.04328873001
1,82,1.039890485,1.039890485,0.1081098507
