Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,44,0.2573938909,44,0.2573938909,11.65220117,-15.02725408,10.23635425,2.25001406e-05,5.399987357,3.558829814e-08,11.96949342,-22.67271241,-6.563617514,2.592896094e-05,30.10907138,-3.842666009e-05,11.65220117,-15.02725408,10.23635425,2.25001406e-05,5.399987357,3.558829814e-08,11.96949342,-22.67271241,-6.563617514,2.592896094e-05,30.10907138,-3.842666009e-05
q1,1,52,0.6105882561,58,0.3496262324,5.967905009,-15.02725589,10.23635588,1.945083255e-05,5.399988243,3.076523122e-08,6.281621671,-22.67271472,-6.563620125,2.24149656e-05,30.10907427,-3.321892712e-05,9.423185613,-15.03600411,7.622727511,-0.01930712462,5.408930832,-0.01153492381,7.452534702,-19.38067193,-5.068626174,0.02256802805,29.96115749,-0.01156799485
peak,1,60,0.9174241335,73,0.3526337522,0.06264916201,-15.02725777,10.23635757,1.628299195e-05,5.399989164,2.575468227e-08,0.3726512459,-22.67271713,-6.563622838,1.87643744e-05,30.10907727,-2.780875942e-05,7.440917217,-14.80739703,4.502140431,-0.03305926947,5.432180453,-0.01503036957,2.893407056,-15.33125649,-3.232621721,0.05289420686,29.7918253,-0.01505799581
q3,1,68,0.6327797412,112,0.3505800922,-5.855604313,-15.02725966,10.23635927,1.310817884e-05,5.399990086,2.073310496e-08,-5.549324983,-22.67271954,-6.563625556,1.510574815e-05,30.10908028,-2.238668378e-05,-9.112169632,-13.93472294,6.279142887,0.009630896447,5.331992751,-0.01153493394,-6.234657235,-17.82615172,-4.569735274,-0.019198045,29.91116943,-0.0115570529
Tail,1,77,0.2836707914,131,0.2836707914,-12.27023857,-15.02726171,10.23636111,9.667085114e-06,5.399991087,1.529035366e-08,-11.96799423,-22.67272215,-6.563628502,1.114026249e-05,30.10908354,-1.650984322e-05,-12.27023857,-15.02726171,10.23636111,9.667085114e-06,5.399991087,1.529035366e-08,-11.96799423,-22.67272215,-6.563628502,1.114026249e-05,30.10908354,-1.650984322e-05
Head,2,68,0.3442261147,68,0.3442261147,8.459866391,-14.93482441,5.345157587,-0.03171284633,5.428782973,-0.01502173623,4.324988503,-16.42664991,-3.719691398,0.04690057657,29.83591653,-0.01505090045,8.459866391,-14.93482441,5.345157587,-0.03171284633,5.428782973,-0.01502173623,4.324988503,-16.42664991,-3.719691398,0.04690057657,29.83591653,-0.01505090045
q1,2,80,0.4031200136,83,0.3526647864,5.015890636,-14.52755089,3.693274325,-0.02893958426,5.419591104,-0.01545347156,1.092728032,-14.32069312,-2.819020152,0.0489493713,29.75300189,-0.01547958496,4.986417042,-12.37461023,1.354570635,-0.04072144032,5.008257798,-0.02593562882,1.656312914,-13.68834359,-2.884048292,0.025340127,29.75565678,-0.02596258345
peak,2,92,0.4643405541,103,0.3582759883,-0.7922956441,-13.97812436,3.398656042,-0.01204506067,5.370874086,-0.01652443465,-1.624621119,-14.06317879,-2.817798728,0.02041221287,29.74879629,-0.01654910632,-4.051477313,-11.1807009,-0.2581717925,-0.005289735071,4.751686431,-0.02849416858,-1.688329269,-13.14272858,-2.86791063,-0.00531475612,29.75474443,-0.028519166
q3,2,103,0.4100674205,117,0.3499768953,-6.125551748,-13.72189514,4.43345628,0.003988385331,5.332135237,-0.01553464546,-4.045565873,-15.47958124,-3.531289339,-0.008904732459,29.81241394,-0.01555824491,-7.676928134,-12.52756581,3.412493442,0.002060808213,5.057833461,-0.02314362853,-4.582972506,-15.81768669,-3.872326756,-0.0188962495,29.84226959,-0.02316676645
Tail,2,116,0.340326543,131,0.340326543,-9.795945426,-14.19009059,7.371154694,0.008549646655,5.345773816,-0.008575783398,-7.316964499,-19.1771196,-5.136933571,-0.01690504906,29.96678473,-0.008596923368,-9.795945426,-14.19009059,7.371154694,0.008549646655,5.345773816,-0.008575783398,-7.316964499,-19.1771196,-5.136933571,-0.01690504906,29.96678473,-0.008596923368
