Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.1512083502,0,0.1512083502
1,0.1512970992,1,0.1512970992
2,0.151561404,2,0.151561404
3,0.1519983834,3,0.1519983834
4,0.152605188,4,0.152605188
5,0.1533789823,5,0.1533789823
6,0.1543169221,6,0.1543169221
7,0.1554161269,7,0.1554161269
8,0.1566736484,8,0.1566736484
9,0.1580864363,9,0.1580864363
10,0.1596512992,10,0.1596512992
11,0.1613648652,11,0.1613648652
12,0.163223538,12,0.163223538
13,0.1652234523,13,0.1652234523
14,0.1673604281,14,0.1673604281
15,0.169629923,15,0.169629923
16,0.1720269852,16,0.1720269852
17,0.1745462061,17,0.1745462061
18,0.177181674,18,0.177181674
19,0.1799269289,19,0.1799269289
20,0.1827749207,20,0.1827749207
21,0.1857179688,21,0.1857179688
22,0.1887477268,22,0.1887477268
23,0.1918551517,23,0.1918551517
24,0.195030478,24,0.195030478
25,0.1982632,25,0.1982632
26,0.2015420595,26,0.2015420595
27,0.2048550437,27,0.2048550437
28,0.2081893914,28,0.2081893914
29,0.2115316094,29,0.2115316094
30,0.2148675005,30,0.2148675005
31,0.2181822015,31,0.2181822015
32,0.2215634111,32,0.2215634111
33,0.2252005506,33,0.2252005506
34,0.2287660328,34,0.2287660328
35,0.2322402346,35,0.2322402346
36,0.235603102,36,0.235603102
37,0.2388342866,37,0.2388342866
38,0.2419132969,38,0.2419132969
39,0.2448196625,39,0.2448196625
40,0.2475331107,40,0.2475331107
41,0.2500337525,41,0.2500337525
42,0.2523022758,42,0.2523022758
43,0.2585583205,43,0.2585583205
44,0.2836707786,44,0.2836707786
45,0.3098355697,45,0.295491853
46,0.3368327112,46,0.3062529111
47,0.3643965846,47,0.3159094427
48,0.3922178122,48,0.3243750129
49,0.4285923218,49,0.3315292514
50,0.4789714562,50,0.3372299122
51,0.5304750753,51,0.3413279383
52,0.5821132482,52,0.3436843009
53,0.6327669369,53,0.3441871842
54,0.6812245657,54,0.3427679247
55,0.7358315444,55,0.3401283575
56,0.7890059898,56,0.3481905799
57,0.8350415289,57,0.3541363202
58,0.872180123,58,0.3579061514
59,0.898943932,59,0.3595425538
60,0.9142372454,60,0.3591915829
61,0.9174244963,61,0.357096467
62,0.9083762923,62,0.3535843864
63,0.8874786127,63,0.3557516858
64,0.8556042193,64,0.3569143949
65,0.8140493517,65,0.3573475169
66,0.7644423698,66,0.3572177413
67,0.7086336647,67,0.3566725581
68,0.6600619434,68,0.3558414029
69,0.610596497,69,0.3548359039
70,0.5595037462,70,0.3537506452
71,0.5079517403,71,0.3526642499
72,0.4569976606,72,0.3516406318
73,0.407556939,73,0.3507303038
74,0.3603838377,74,0.349971668
75,0.3160631569,75,0.3493922336
76,0.2750119323,76,0.3490097358
77,0.2573937919,77,0.348833141
78,0.2559122404,78,0.3488635381
79,0.2541539029,79,0.3490949215
80,0.2521354865,80,0.3495148807
81,0.2498747846,81,0.3501052121
82,0.24739048,82,0.3508424734
83,0.2447019481,83,0.3516984996
84,0.2418290629,84,0.3526409026
85,0.2387920086,85,0.3536335717
86,0.2356110999,86,0.3546371945
87,0.2323066124,87,0.3556098126
88,0.228898626,88,0.3565074245
89,0.2254068813,89,0.3572846436
90,0.2218506519,90,0.3578954168
91,0.2185155905,91,0.3582938012
92,0.2152853578,92,0.3584347952
93,0.2120396208,93,0.3582752109
94,0.2087929106,94,0.3577919553
95,0.2055590908,95,0.3570105053
96,0.2023513238,96,0.3559726726
97,0.199182048,97,0.3547234858
98,0.1960629661,98,0.3533102433
99,0.1930050422,99,0.3517815925
100,0.1900185081,100,0.3501866527
101,0.1871128774,101,0.3485741981
102,0.1842969666,102,0.3469919063
103,0.1815789218,103,0.3454856752
104,0.1789662513,104,0.3440990043
105,0.1764658617,105,0.3428724289
106,0.1757943211,106,0.3418429932
107,0.1755394706,107,0.3410437433
108,0.1752926396,108,0.3405032151
109,0.1750555816,109,0.3402448918
110,0.1748299838,110,0.3402866014
111,0.1746174619,111,0.3406398235
112,0.1744195557,112,0.3413088738
113,0.1742377232,113,0.3422899349
114,0.1740733362,114,0.3435699054
115,0.1739276748,115,0.3451250427
