Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,6.89818267e-05,53.94101389,-53.06519424,-0.003155226553,-0.8754721742,0.003131154419,90.00020601,-0.113241566,-35.42492173,0.0006813296681,6.20662309,-0.0008789111127
1,6.89818267e-05,53.94101393,-53.0651943,-0.003155226553,-0.8754721928,0.003131154419,90.00020607,-0.115357135,-35.41257511,0.0006806687765,6.191052972,-0.0008781720359
2,6.89818267e-05,53.94101405,-53.06519446,-0.003155226553,-0.8754722481,0.003131154419,90.00020625,-0.1216269121,-35.37598422,0.000678710134,6.144908805,-0.000875981681
3,6.89818267e-05,53.94101425,-53.06519473,-0.003155226553,-0.8754723389,0.003131154419,90.00020654,-0.1319355027,-35.31582251,0.0006754897893,6.069039866,-0.0008723803612
4,6.89818267e-05,53.94101452,-53.06519509,-0.003155226553,-0.8754724643,0.003131154419,90.00020695,-0.1461675121,-35.23276343,0.000671043791,5.964295436,-0.0008674083899
5,6.89818267e-05,53.94101487,-53.06519556,-0.003155226553,-0.8754726232,0.003131154419,90.00020746,-0.1642075457,-35.12748043,0.0006654081878,5.831524793,-0.0008611060804
6,6.89818267e-05,53.94101529,-53.06519612,-0.003155226553,-0.8754728147,0.003131154419,90.00020809,-0.1859402087,-35.00064697,0.0006586190283,5.671577218,-0.0008535137459
7,6.89818267e-05,53.94101578,-53.06519677,-0.003155226553,-0.8754730377,0.003131154419,90.00020881,-0.2112501065,-34.8529365,0.0006507123611,5.485301988,-0.0008446716996
8,6.89818267e-05,53.94101634,-53.06519751,-0.003155226553,-0.8754732912,0.003131154419,90.00020963,-0.2400218445,-34.68502246,0.0006417242349,5.273548383,-0.000834620255
9,6.89818267e-05,53.94101696,-53.06519834,-0.003155226553,-0.8754735742,0.003131154419,90.00021055,-0.2721400279,-34.49757832,0.0006316906983,5.037165683,-0.0008233997252
10,6.89818267e-05,53.94101765,-53.06519925,-0.003155226553,-0.8754738856,0.003131154419,90.00021156,-0.3074892621,-34.29127752,0.0006206477999,4.777003165,-0.0008110504235
11,6.89818267e-05,53.94101839,-53.06520024,-0.003155226553,-0.8754742245,0.003131154419,90.00021267,-0.3459541525,-34.06679352,0.0006086315884,4.493910111,-0.0007976126633
12,6.89818267e-05,53.94101919,-53.06520131,-0.003155226553,-0.8754745898,0.003131154419,90.00021385,-0.3874193042,-33.82479977,0.0005956781124,4.188735798,-0.0007831267578
13,6.89818267e-05,53.94102005,-53.06520246,-0.003155226553,-0.8754749806,0.003131154419,90.00021512,-0.4317693228,-33.56596971,0.0005818234205,3.862329507,-0.0007676330203
14,6.89818267e-05,53.94102097,-53.06520367,-0.003155226553,-0.8754753957,0.003131154419,90.00021647,-0.4788888134,-33.29097681,0.0005671035613,3.515540515,-0.000751171764
15,6.89818267e-05,53.94102193,-53.06520495,-0.003155226553,-0.8754758343,0.003131154419,90.00021789,-0.5286623815,-33.00049451,0.0005515545836,3.149218102,-0.0007337833022
16,6.89818267e-05,53.94102294,-53.0652063,-0.003155226553,-0.8754762952,0.003131154419,90.00021939,-0.5809746323,-32.69519627,0.000535212536,2.764211548,-0.0007155079483
17,6.89818267e-05,53.941024,-53.06520771,-0.003155226553,-0.8754767774,0.003131154419,90.00022096,-0.6357101713,-32.37575553,0.000518113467,2.361370132,-0.0006963860155
18,6.89818267e-05,53.94102511,-53.06520918,-0.003155226553,-0.87547728,0.003131154419,90.00022259,-0.6927536036,-32.04284576,0.0005002934253,1.941543132,-0.0006764578171
19,6.89818267e-05,53.94102625,-53.06521071,-0.003155226553,-0.8754778019,0.003131154419,90.00022428,-0.7519895347,-31.69714039,0.0004817884595,1.505579828,-0.0006557636664
20,6.89818267e-05,53.94102744,-53.06521229,-0.003155226553,-0.8754783421,0.003131154419,90.00022604,-0.8133025699,-31.3393129,0.0004626346183,1.0543295,-0.0006343438766
21,6.89818267e-05,53.94102867,-53.06521392,-0.003155226553,-0.8754788996,0.003131154419,90.00022785,-0.8765773145,-30.97003671,0.0004428679504,0.5886414251,-0.000612238761
22,6.89818267e-05,53.94102993,-53.0652156,-0.003155226553,-0.8754794733,0.003131154419,90.00022971,-0.9416983738,-30.5899853,0.0004225245043,0.109364884,-0.0005894886329
23,6.89818267e-05,53.94103122,-53.06521732,-0.003155226553,-0.8754800623,0.003131154419,90.00023163,-1.008550353,-30.1998321,0.0004016403286,-0.3826508447,-0.0005661338057
24,6.89818267e-05,53.94103255,-53.06521909,-0.003155226553,-0.8754806656,0.003131154419,90.00023359,-1.077017858,-29.80025058,0.0003802514721,-0.8865564816,-0.0005422145925
25,6.89818267e-05,53.9410339,-53.06522089,-0.003155226553,-0.875481282,0.003131154419,90.00023559,-1.146985493,-29.39191418,0.0003583939834,-1.401502748,-0.0005177713066
26,6.89818267e-05,53.94103528,-53.06522273,-0.003155226553,-0.8754819107,0.003131154419,90.00023763,-1.218337865,-28.97549635,0.000336103911,-1.926640364,-0.0004928442614
27,6.89818267e-05,53.94103669,-53.0652246,-0.003155226553,-0.8754825505,0.003131154419,90.00023971,-1.290959578,-28.55167056,0.0003134173036,-2.46112005,-0.0004674737701
28,6.89818267e-05,53.94103812,-53.0652265,-0.003155226553,-0.8754832005,0.003131154419,90.00024182,-1.364735238,-28.12111024,0.0002903702099,-3.004092529,-0.000441700146
29,6.89818267e-05,53.94103957,-53.06522843,-0.003155226553,-0.8754838597,0.003131154419,90.00024396,-1.439549449,-27.68448886,0.0002669986785,-3.55470852,-0.0004155637024
30,6.89818267e-05,53.94104103,-53.06523038,-0.003155226553,-0.875484527,0.003131154419,90.00024613,-1.515286818,-27.24247986,0.000243338758,-4.112118744,-0.0003891047525
31,6.89818267e-05,53.94104251,-53.06523236,-0.003155226553,-0.8754852014,0.003131154419,90.00024832,-1.59183195,-26.79575669,0.0002194264971,-4.675473922,-0.0003623636096
32,6.89818267e-05,53.94104401,-53.06523435,-0.003155226553,-0.8754858819,0.003131154419,90.00025053,-1.66906945,-26.34499282,0.0001952979443,-5.243924775,-0.0003353805871
33,6.89818267e-05,53.94104552,-53.06523635,-0.003155226553,-0.8754865675,0.003131154419,90.00025275,-1.746883923,-25.89086168,0.0001709891484,-5.816622025,-0.0003081959982
34,6.89818267e-05,53.94104703,-53.06523837,-0.003155226553,-0.8754872571,0.003131154419,90.00025499,-1.825159975,-25.43403674,0.0001465361579,-6.39271639,-0.0002808501561
35,6.89818267e-05,53.94104855,-53.0652404,-0.003155226553,-0.8754879498,0.003131154419,90.00025724,-1.903782211,-24.97519144,0.0001219750216,-6.971358594,-0.0002533833742
36,6.89818267e-05,53.94105008,-53.06524243,-0.003155226553,-0.8754886446,0.003131154419,90.0002595,-1.982635236,-24.51499923,9.734178795e-05,-7.551699355,-0.0002258359657
37,6.89818267e-05,53.94105161,-53.06524447,-0.003155226553,-0.8754893403,0.003131154419,90.00026176,-2.061603656,-24.05413357,7.267250569e-05,-8.132889396,-0.000198248244
38,6.89818267e-05,53.94105314,-53.0652465,-0.003155226553,-0.8754900361,0.003131154419,90.00026402,-2.140572075,-23.59326792,4.800322343e-05,-8.714079437,-0.0001706605222
39,6.89818267e-05,53.94105467,-53.06524853,-0.003155226553,-0.8754907308,0.003131154419,90.00026628,-2.219425101,-23.13307571,2.33699898e-05,-9.294420198,-0.0001431131138
40,6.89818267e-05,53.94105619,-53.06525056,-0.003155226553,-0.8754914235,0.003131154419,90.00026853,-2.298047336,-22.67423041,-1.191146559e-06,-9.873062402,-0.0001156463319
41,6.89818267e-05,53.9410577,-53.06525258,-0.003155226553,-0.8754921132,0.003131154419,90.00027077,-2.376323388,-22.21740547,-2.564413701e-05,-10.44915677,-8.830048982e-05
42,6.89818267e-05,53.94105921,-53.06525458,-0.003155226553,-0.8754927987,0.003131154419,90.00027299,-2.454137861,-21.76327433,-4.995293293e-05,-11.02185402,-6.111590089e-05
