Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.03643719502,0,0.03643719502
1,0.03643719503,1,0.03643719503
2,0.03643719506,2,0.03643719506
3,0.03643719511,3,0.03643719511
4,0.03643719518,4,0.03643719518
5,0.03643719526,5,0.03643719526
6,0.03643719536,6,0.03643719536
7,0.03643719548,7,0.03643719548
8,0.03643719562,8,0.03643719562
9,0.03643719578,9,0.03643719578
10,0.03643719595,10,0.03643719595
11,0.03643719615,11,0.03643719615
12,0.03643719635,12,0.03643719635
13,0.03643719658,13,0.03643719658
14,0.03643719682,14,0.03643719682
15,0.03643719708,15,0.03643719708
16,0.03643719735,16,0.03643719735
17,0.03643719765,17,0.03643719765
18,0.03643719795,18,0.03643719795
19,0.03643719827,19,0.03643719827
20,0.03643719861,20,0.03643719861
21,0.03643719897,21,0.03643719897
22,0.03643719933,22,0.03643719933
23,0.03643719972,23,0.03643719972
24,0.03643720012,24,0.03643720012
25,0.03643720053,25,0.03643720053
26,0.03643720095,26,0.03643720095
27,0.0364372014,27,0.0364372014
28,0.03643720185,28,0.03643720185
29,0.03643720232,29,0.03643720232
30,0.0364372028,30,0.0364372028
31,0.0364372033,31,0.0364372033
32,0.0364372038,32,0.0364372038
33,0.03643720433,33,0.03643720433
34,0.03643720486,34,0.03643720486
35,0.03643720541,35,0.03643720541
36,0.03643720597,36,0.03643720597
37,0.03643720654,37,0.03643720654
38,0.03643720712,38,0.03643720712
39,0.03643720771,39,0.03643720771
40,0.03643720832,40,0.03643720832
41,0.03643720894,41,0.03643720894
42,0.03643720957,42,0.03643720957
43,0.03643721021,43,0.03643721021
44,0.03643721086,44,0.03643721086
45,0.03643721152,45,0.03643721152
46,0.03643721219,46,0.03643721219
47,0.03643721287,47,0.03643721287
48,0.03643721356,48,0.03643721356
49,0.03643721426,49,0.03643721426
50,0.03643721497,50,0.03643721497
51,0.03643721569,51,0.03643721569
52,0.03643721642,52,0.03643721642
53,0.03643721716,53,0.03643721716
54,0.0364372179,54,0.0364372179
55,0.03643721866,55,0.03643721866
56,0.03643721942,56,0.03643721942
57,0.03643722019,57,0.03643722019
58,0.03643722097,58,0.03643722097
59,0.03643722176,59,0.03643722176
60,0.03643722256,60,0.03643722256
61,0.03643722336,61,0.03643722336
62,0.03643722417,62,0.03643722417
63,0.03643722498,63,0.03643722498
64,0.03643722581,64,0.03643722581
65,0.03643722664,65,0.03643722664
66,0.03643722747,66,0.03643722747
67,0.03643722831,67,0.03643722831
68,0.03643722916,68,0.03643722916
69,0.03643723002,69,0.03643723002
70,0.03643723088,70,0.03643723088
71,0.03643723174,71,0.03643723174
72,0.03643723261,72,0.03643723261
73,0.03643723349,73,0.03643723349
74,0.03643723437,74,0.03643723437
75,0.03643723525,75,0.03643723525
76,0.03643723614,76,0.03643723614
77,0.03643723703,77,0.03643723703
78,0.03643723793,78,0.03643723793
79,0.03643723883,79,0.03643723883
80,0.03643723973,80,0.03643723973
81,0.03643724064,81,0.03643724064
82,0.03643724155,82,0.03643724155
83,0.03643724246,83,0.03643724246
84,0.03643724338,84,0.03643724338
85,0.0364372443,85,0.0364372443
86,0.03643724522,86,0.03643724522
87,0.03643724614,87,0.03643724614
88,0.03643724707,88,0.03643724707
89,0.036437248,89,0.036437248
90,0.03643724893,90,0.03643724893
91,0.03643724986,91,0.03643724986
92,0.03643725079,92,0.03643725079
93,0.03643725172,93,0.03643725172
94,0.03643725265,94,0.03643725265
95,0.03643725359,95,0.03643725359
96,0.03643725452,96,0.03643725452
97,0.03643725546,97,0.03643725546
98,0.03643725639,98,0.03643725639
99,0.03643725733,99,0.03643725733
100,0.03643725826,100,0.03643725826
101,0.03643725919,101,0.03643725919
102,0.03643726013,102,0.03643726013
103,0.03643726106,103,0.03643726106
104,0.03643726199,104,0.03643726199
105,0.03643726292,105,0.03643726292
106,0.03643726384,106,0.03643726384
107,0.03643726477,107,0.03643726477
108,0.03643726569,108,0.03643726569
109,0.03643726661,109,0.03643726661
110,0.03643726753,110,0.03643726753
111,0.03643726845,111,0.03643726845
112,0.03643726936,112,0.03643726936
113,0.03643727027,113,0.03643727027
114,0.03643727118,114,0.03643727118
115,0.03643727209,115,0.03643727209
116,0.03643727299,116,0.03643727299
117,0.03643727388,117,0.03643727388
118,0.03643727478,118,0.03643727478
119,0.03643727566,119,0.03643727566
120,0.03643727655,120,0.03643727655
121,0.03643727743,121,0.03643727743
122,0.0364372783,122,0.0364372783
123,0.03643727917,123,0.03643727917
124,0.03643728004,124,0.03643728004
125,0.0364372809,125,0.0364372809
126,0.03643728175,126,0.03643728175
127,0.0364372826,127,0.0364372826
128,0.03643728344,128,0.03643728344
129,0.03643728428,129,0.03643728428
130,0.03643728511,130,0.03643728511
131,0.03643728593,131,0.03643728593
132,0.03643728675,132,0.03643728675
133,0.03643728756,133,0.03643728756
134,0.03643728836,134,0.03643728836
135,0.03643728915,135,0.03643728915
136,0.03643728994,136,0.03643728994
137,0.03643729072,137,0.03643729072
138,0.03643729149,138,0.03643729149
139,0.03643729225,139,0.03643729225
140,0.03643729301,140,0.03643729301
141,0.03643729376,141,0.03643729376
142,0.03643729449,142,0.03643729449
143,0.03643729522,143,0.03643729522
144,0.03643729594,144,0.03643729594
145,0.03643729665,145,0.03643729665
146,0.03643729735,146,0.03643729735
147,0.03643729804,147,0.03643729804
148,0.03643729873,148,0.03643729873
149,0.0364372994,149,0.0364372994
150,0.03643730006,150,0.03643730006
151,0.03643730071,151,0.03643730071
152,0.03643730135,152,0.03643730135
153,0.03643730198,153,0.03643730198
154,0.03643730259,154,0.03643730259
155,0.0364373032,155,0.0364373032
156,0.03643730379,156,0.03643730379
157,0.03643730438,157,0.03643730438
158,0.03643730495,158,0.03643730495
159,0.03643730551,159,0.03643730551
160,0.03643730605,160,0.03643730605
161,0.03643730659,161,0.03643730659
162,0.03643730711,162,0.03643730711
163,0.03643730762,163,0.03643730762
164,0.03643730811,164,0.03643730811
165,0.03643730859,165,0.03643730859
166,0.03643730906,166,0.03643730906
167,0.03643730952,167,0.03643730952
168,0.03643730996,168,0.03643730996
169,0.03643731039,169,0.03643731039
170,0.0364373108,170,0.0364373108
171,0.0364373112,171,0.0364373112
172,0.03643731158,172,0.03643731158
173,0.03643731195,173,0.03643731195
174,0.0364373123,174,0.0364373123
175,0.03643731264,175,0.03643731264
176,0.03643731296,176,0.03643731296
177,0.03643731327,177,0.03643731327
178,0.03643731356,178,0.03643731356
179,0.03643731383,179,0.03643731383
180,0.03643731409,180,0.03643731409
181,0.03643731433,181,0.03643731433
182,0.03643731456,182,0.03643731456
183,0.03643731477,183,0.03643731477
184,0.03643731496,184,0.03643731496
185,0.03643731513,185,0.03643731513
186,0.03643731529,186,0.03643731529
187,0.03643731543,187,0.03643731543
188,0.03643731555,188,0.03643731555
189,0.03643731565,189,0.03643731565
190,0.03643731574,190,0.03643731574
191,0.0364373158,191,0.0364373158
192,0.03643731585,192,0.03643731585
193,0.03643731588,193,0.03643731588
194,0.03643731589,194,0.03643731589
