round,Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
1,0,-29.67287444,-15.02722946,9.745406897,-1.741218739e-06,5.399950214,5.087865181e-08,-30.00173949,-23.4363098,-6.999937946,-3.074766548e-05,29.69089509,-0.0001098681439
1,1,-29.66078129,-15.02722947,9.7454069,-1.741218739e-06,5.399950221,5.087865181e-08,-29.98951237,-23.43630981,-6.999937953,-3.074075579e-05,29.69089509,-0.0001098569502
1,2,-29.62476983,-15.02722948,9.74540691,-1.741218739e-06,5.399950242,5.087865181e-08,-29.95310196,-23.43630983,-6.999937974,-3.072017982e-05,29.69089509,-0.0001098236172
1,3,-29.56524206,-15.0272295,9.745406927,-1.741218739e-06,5.399950277,5.087865181e-08,-29.8929147,-23.43630985,-6.999938009,-3.068616727e-05,29.69089509,-0.0001097685169
1,4,-29.48259996,-15.02722952,9.74540695,-1.741218739e-06,5.399950325,5.087865181e-08,-29.80935705,-23.43630989,-6.999938056,-3.063894783e-05,29.69089509,-0.0001096920214
1,5,-29.37724552,-15.02722956,9.74540698,-1.741218739e-06,5.399950385,5.087865181e-08,-29.70283544,-23.43630994,-6.999938117,-3.057875116e-05,29.69089509,-0.0001095945029
1,6,-29.24958073,-15.0272296,9.745407016,-1.741218739e-06,5.399950459,5.087865181e-08,-29.5737563,-23.43631,-6.999938191,-3.050580697e-05,29.69089509,-0.0001094763334
1,7,-29.10000758,-15.02722965,9.745407058,-1.741218739e-06,5.399950546,5.087865181e-08,-29.42252609,-23.43631007,-6.999938278,-3.042034494e-05,29.69089509,-0.000109337885
1,8,-28.92892805,-15.0272297,9.745407106,-1.741218739e-06,5.399950645,5.087865181e-08,-29.24955125,-23.43631015,-6.999938377,-3.032259475e-05,29.69089509,-0.0001091795298
1,9,-28.73674413,-15.02722976,9.745407161,-1.741218739e-06,5.399950756,5.087865181e-08,-29.05523821,-23.43631024,-6.999938488,-3.021278609e-05,29.69089509,-0.0001090016399
1,10,-28.52385781,-15.02722983,9.745407221,-1.741218739e-06,5.399950879,5.087865181e-08,-28.83999342,-23.43631034,-6.999938611,-3.009114864e-05,29.69089509,-0.0001088045874
1,11,-28.29067109,-15.0272299,9.745407286,-1.741218739e-06,5.399951014,5.087865181e-08,-28.60422333,-23.43631044,-6.999938746,-2.995791208e-05,29.69089509,-0.0001085887443
1,12,-28.03758594,-15.02722998,9.745407358,-1.741218739e-06,5.39995116,5.087865181e-08,-28.34833436,-23.43631056,-6.999938892,-2.981330611e-05,29.69089509,-0.0001083544828
1,13,-27.76500436,-15.02723007,9.745407435,-1.741218739e-06,5.399951318,5.087865181e-08,-28.07273297,-23.43631069,-6.99993905,-2.965756041e-05,29.69089509,-0.000108102175
1,14,-27.47332833,-15.02723016,9.745407517,-1.741218739e-06,5.399951487,5.087865181e-08,-27.77782559,-23.43631082,-6.999939219,-2.949090466e-05,29.69089509,-0.0001078321929
1,15,-27.16295985,-15.02723026,9.745407605,-1.741218739e-06,5.399951666,5.087865181e-08,-27.46401867,-23.43631096,-6.999939398,-2.931356855e-05,29.69089509,-0.0001075449086
1,16,-26.83430089,-15.02723037,9.745407697,-1.741218739e-06,5.399951857,5.087865181e-08,-27.13171866,-23.43631112,-6.999939588,-2.912578176e-05,29.69089509,-0.0001072406942
1,17,-26.48775346,-15.02723048,9.745407795,-1.741218739e-06,5.399952057,5.087865181e-08,-26.78133198,-23.43631128,-6.999939789,-2.892777398e-05,29.69089509,-0.0001069199218
1,18,-26.12371953,-15.02723059,9.745407898,-1.741218739e-06,5.399952268,5.087865181e-08,-26.41326508,-23.43631145,-6.99994,-2.87197749e-05,29.69089509,-0.0001065829635
1,19,-25.7426011,-15.02723071,9.745408005,-1.741218739e-06,5.399952488,5.087865181e-08,-26.02792441,-23.43631162,-6.99994022,-2.850201419e-05,29.69089509,-0.0001062301914
1,20,-25.34480016,-15.02723084,9.745408117,-1.741218739e-06,5.399952718,5.087865181e-08,-25.62571641,-23.43631181,-6.99994045,-2.827472155e-05,29.69089509,-0.0001058619776
1,21,-24.93071869,-15.02723097,9.745408234,-1.741218739e-06,5.399952958,5.087865181e-08,-25.20704751,-23.436312,-6.99994069,-2.803812666e-05,29.69089509,-0.0001054786942
1,22,-24.50075868,-15.02723111,9.745408356,-1.741218739e-06,5.399953207,5.087865181e-08,-24.77232417,-23.4363122,-6.999940938,-2.779245921e-05,29.69089509,-0.0001050807132
1,23,-24.05532212,-15.02723125,9.745408481,-1.741218739e-06,5.399953464,5.087865181e-08,-24.32195282,-23.4363124,-6.999941196,-2.753794887e-05,29.69089509,-0.0001046684067
1,24,-23.59481099,-15.0272314,9.745408611,-1.741218739e-06,5.399953731,5.087865181e-08,-23.8563399,-23.43631262,-6.999941463,-2.727482534e-05,29.69089509,-0.0001042421469
1,25,-23.1196273,-15.02723155,9.745408745,-1.741218739e-06,5.399954006,5.087865181e-08,-23.37589185,-23.43631284,-6.999941737,-2.70033183e-05,29.69089509,-0.0001038023058
1,26,-22.63017301,-15.0272317,9.745408883,-1.741218739e-06,5.399954289,5.087865181e-08,-22.88101512,-23.43631306,-6.999942021,-2.672365743e-05,29.69089509,-0.0001033492556
1,27,-22.12685013,-15.02723186,9.745409025,-1.741218739e-06,5.39995458,5.087865181e-08,-22.37211615,-23.4363133,-6.999942312,-2.643607243e-05,29.69089509,-0.0001028833682
1,28,-21.61006065,-15.02723203,9.745409171,-1.741218739e-06,5.399954879,5.087865181e-08,-21.84960139,-23.43631353,-6.999942611,-2.614079297e-05,29.69089509,-0.0001024050158
1,29,-21.08020654,-15.02723219,9.74540932,-1.741218739e-06,5.399955185,5.087865181e-08,-21.31387726,-23.43631378,-6.999942917,-2.583804874e-05,29.69089509,-0.0001019145705
1,30,-20.5376898,-15.02723237,9.745409473,-1.741218739e-06,5.399955499,5.087865181e-08,-20.76535022,-23.43631403,-6.999943231,-2.552806943e-05,29.69089509,-0.0001014124044
1,31,-19.98291241,-15.02723254,9.74540963,-1.741218739e-06,5.39995582,5.087865181e-08,-20.2044267,-23.43631429,-6.999943552,-2.521108472e-05,29.69089509,-0.0001008988895
1,32,-19.41627637,-15.02723272,9.74540979,-1.741218739e-06,5.399956148,5.087865181e-08,-19.63151316,-23.43631455,-6.99994388,-2.48873243e-05,29.69089509,-0.000100374398
1,33,-18.83818366,-15.02723291,9.745409953,-1.741218739e-06,5.399956482,5.087865181e-08,-19.04701602,-23.43631482,-6.999944214,-2.455701785e-05,29.69089509,-9.983930195e-05
1,34,-18.24903628,-15.02723309,9.745410119,-1.741218739e-06,5.399956823,5.087865181e-08,-18.45134173,-23.43631509,-6.999944555,-2.422039506e-05,29.69089509,-9.929397342e-05
1,35,-17.6492362,-15.02723329,9.745410288,-1.741218739e-06,5.39995717,5.087865181e-08,-17.84489674,-23.43631537,-6.999944902,-2.38776856e-05,29.69089509,-9.873878451e-05
1,36,-17.03918542,-15.02723348,9.74541046,-1.741218739e-06,5.399957523,5.087865181e-08,-17.22808748,-23.43631565,-6.999945255,-2.352911918e-05,29.69089509,-9.81741073e-05
1,37,-16.41928593,-15.02723368,9.745410635,-1.741218739e-06,5.399957882,5.087865181e-08,-16.60132039,-23.43631594,-6.999945614,-2.317492547e-05,29.69089509,-9.76003139e-05
1,38,-15.78993971,-15.02723388,9.745410813,-1.741218739e-06,5.399958246,5.087865181e-08,-15.96500193,-23.43631623,-6.999945978,-2.281533416e-05,29.69089509,-9.70177764e-05
1,39,-15.15154875,-15.02723408,9.745410993,-1.741218739e-06,5.399958615,5.087865181e-08,-15.31953852,-23.43631652,-6.999946347,-2.245057493e-05,29.69089509,-9.642686687e-05
1,40,-14.50451505,-15.02723428,9.745411175,-1.741218739e-06,5.39995899,5.087865181e-08,-14.66533662,-23.43631682,-6.999946721,-2.208087747e-05,29.69089509,-9.582795741e-05
1,41,-13.84924058,-15.02723449,9.74541136,-1.741218739e-06,5.399959369,5.087865181e-08,-14.00280266,-23.43631713,-6.999947101,-2.170647146e-05,29.69089509,-9.522142011e-05
