Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.1596294729,0,0.1596294729
1,0.1597197424,1,0.1597197424
2,0.1599885576,2,0.1599885576
3,0.1604329358,3,0.1604329358
4,0.1610498941,4,0.1610498941
5,0.1618364328,5,0.1618364328
6,0.1627895143,6,0.1627895143
7,0.1639060363,7,0.1639060363
8,0.1651828018,8,0.1651828018
9,0.1666164852,9,0.1666164852
10,0.1682035951,10,0.1682035951
11,0.1699404351,11,0.1699404351
12,0.1718230614,12,0.1718230614
13,0.1738472398,13,0.1738472398
14,0.1760084002,14,0.1760084002
15,0.1783015917,15,0.1783015917
16,0.1807214364,16,0.1807214364
17,0.1832620846,17,0.1832620846
18,0.1859171702,18,0.1859171702
19,0.1886797687,19,0.1886797687
20,0.1915423574,20,0.1915423574
21,0.1944967787,21,0.1944967787
22,0.1975342081,22,0.1975342081
23,0.2006451269,23,0.2006451269
24,0.2038193008,24,0.2038193008
25,0.2070457658,25,0.2070457658
26,0.210312821,26,0.210312821
27,0.2136080308,27,0.2136080308
28,0.216918236,28,0.216918236
29,0.2202899735,29,0.2202899735
30,0.2240080923,30,0.2240080923
31,0.2277008493,31,0.2277008493
32,0.2313501682,32,0.2313501682
33,0.2349372859,33,0.2349372859
34,0.2384428465,34,0.2384428465
35,0.2418470109,35,0.2418470109
36,0.2451295825,36,0.2451295825
37,0.2482701475,37,0.2482701475
38,0.2512482293,38,0.2512482293
39,0.2540434552,39,0.2540434552
40,0.2566357339,40,0.2566357339
41,0.2590054414,41,0.2590054414
42,0.2611336135,42,0.2611336135
43,0.2725909324,43,0.2725909324
44,0.2980048688,44,0.2839883434
45,0.3243494282,45,0.2943557727
46,0.3513893605,46,0.3036682304
47,0.3788459025,47,0.3118742111
48,0.4063993872,48,0.3188990193
49,0.4511452808,49,0.3246510686
50,0.5021720938,50,0.3290304681
51,0.5540072443,51,0.3319391574
52,0.6056255339,52,0.3332917666
53,0.6558845762,53,0.3330263043
54,0.7036523897,54,0.3311137395
55,0.7610123147,55,0.3275655896
56,0.8125994144,56,0.3327341892
57,0.8565358858,57,0.3400016699
58,0.8911381588,58,0.3457384018
59,0.9150281967,59,0.3499304474
60,0.9272286705,60,0.3526219733
61,0.9272324885,61,0.353915635
62,0.9150394973,62,0.3539696006
63,0.8911564925,63,0.3529917191
