Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,29.67315339,-15.02715401,9.745339935,-1.741218739e-06,5.399744221,5.087865181e-08,30.00754167,-23.43619994,-6.999766285,-3.074766548e-05,29.69089509,-0.0003295947064
1,29.66106006,-15.02715401,9.745339935,-1.741218739e-06,5.399744235,5.087865181e-08,29.9953117,-23.43619994,-6.999766292,-3.075457518e-05,29.69089509,-0.0003295947064
2,29.62504807,-15.02715401,9.745339935,-1.741218739e-06,5.399744277,5.087865181e-08,29.95889281,-23.43619994,-6.999766313,-3.077515115e-05,29.69089509,-0.0003295947064
3,29.56551941,-15.02715401,9.745339935,-1.741218739e-06,5.399744345,5.087865181e-08,29.89869154,-23.43619994,-6.999766347,-3.08091637e-05,29.69089509,-0.0003295947064
4,29.48287609,-15.02715401,9.745339935,-1.741218739e-06,5.399744441,5.087865181e-08,29.81511443,-23.43619994,-6.999766395,-3.085638314e-05,29.69089509,-0.0003295947064
5,29.37752008,-15.02715401,9.745339935,-1.741218739e-06,5.399744563,5.087865181e-08,29.70856801,-23.43619994,-6.999766456,-3.091657981e-05,29.69089509,-0.0003295947064
6,29.2498534,-15.02715401,9.745339935,-1.741218739e-06,5.399744711,5.087865181e-08,29.57945882,-23.43619994,-6.99976653,-3.098952399e-05,29.69089509,-0.0003295947064
7,29.10027802,-15.02715401,9.745339935,-1.741218739e-06,5.399744884,5.087865181e-08,29.42819339,-23.43619994,-6.999766616,-3.107498603e-05,29.69089509,-0.0003295947064
8,28.92919595,-15.02715401,9.745339935,-1.741218739e-06,5.399745082,5.087865181e-08,29.25517826,-23.43619994,-6.999766715,-3.117273622e-05,29.69089509,-0.0003295947064
9,28.73700918,-15.02715401,9.745339935,-1.741218739e-06,5.399745304,5.087865181e-08,29.06081998,-23.43619994,-6.999766827,-3.128254488e-05,29.69089509,-0.0003295947064
10,28.5241197,-15.02715401,9.745339935,-1.741218739e-06,5.39974555,5.087865181e-08,28.84552506,-23.43619994,-6.99976695,-3.140418233e-05,29.69089509,-0.0003295947064
11,28.29092951,-15.02715401,9.745339935,-1.741218739e-06,5.39974582,5.087865181e-08,28.60970006,-23.43619994,-6.999767085,-3.153741889e-05,29.69089509,-0.0003295947064
12,28.03784061,-15.02715401,9.745339935,-1.741218739e-06,5.399746113,5.087865181e-08,28.3537515,-23.43619994,-6.999767231,-3.168202486e-05,29.69089509,-0.0003295947064
13,27.76525498,-15.02715401,9.745339935,-1.741218739e-06,5.399746428,5.087865181e-08,28.07808593,-23.43619994,-6.999767389,-3.183777056e-05,29.69089509,-0.0003295947064
14,27.47357462,-15.02715401,9.745339935,-1.741218739e-06,5.399746766,5.087865181e-08,27.78310988,-23.43619994,-6.999767558,-3.200442631e-05,29.69089509,-0.0003295947064
15,27.16320153,-15.02715401,9.745339935,-1.741218739e-06,5.399747125,5.087865181e-08,27.46922988,-23.43619994,-6.999767737,-3.218176242e-05,29.69089509,-0.0003295947064
16,26.83453769,-15.02715401,9.745339935,-1.741218739e-06,5.399747505,5.087865181e-08,27.13685248,-23.43619994,-6.999767927,-3.236954921e-05,29.69089509,-0.0003295947064
17,26.48798512,-15.02715401,9.745339935,-1.741218739e-06,5.399747906,5.087865181e-08,26.7863842,-23.43619994,-6.999768128,-3.256755699e-05,29.69089509,-0.0003295947064
18,26.12394578,-15.02715401,9.745339935,-1.741218739e-06,5.399748327,5.087865181e-08,26.4182316,-23.43619994,-6.999768338,-3.277555607e-05,29.69089509,-0.0003295947064
19,25.7428217,-15.02715401,9.745339935,-1.741218739e-06,5.399748768,5.087865181e-08,26.03280119,-23.43619994,-6.999768559,-3.299331678e-05,29.69089509,-0.0003295947064
