Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,43,0.2725597234,43,0.2725597234,-12.51589587,-15.02712174,9.745311295,-1.741218739e-06,5.399734295,5.087865181e-08,-12.66113121,-23.43615295,-6.999731953,-5.4852897e-05,29.69089509,-0.0004235767941,-12.51589587,-15.02712174,9.745311295,-1.741218739e-06,5.399734295,5.087865181e-08,-12.66113121,-23.43615295,-6.999731953,-5.4852897e-05,29.69089509,-0.0004235767941
q1,1,53,0.65578269,63,0.351127754,-5.489680605,-15.02712397,9.745313277,-1.741218739e-06,5.39973023,5.087865181e-08,-5.554930212,-23.4361562,-6.999731953,-5.08383826e-05,29.69089509,-0.0004170732854,-9.150359469,-14.00111941,5.899022424,0.01378834808,5.377495222,-0.01153490353,-6.461523321,-18.48208409,-4.925414909,-0.01312745809,29.48653709,-0.01195269796
peak,1,61,0.9272362248,102,0.355489534,0.3676650936,-15.02712584,9.745314929,-1.741218739e-06,5.399726842,5.087865181e-08,0.3690949267,-23.43615891,-6.999731953,-4.749171619e-05,29.69089509,-0.0004116516897,7.449158268,-14.80804185,4.333049525,-0.0254826048,5.562692006,-0.01503034426,2.999090518,-15.68203169,-3.398053704,0.06331216267,29.34992936,-0.01544250653
q3,1,68,0.6559340272,117,0.3493929835,5.489325117,-15.02712746,9.745316374,-1.741218739e-06,5.399723879,5.087865181e-08,5.549059418,-23.43616128,-6.999731953,-4.456539282e-05,29.69089509,-0.0004069110493,9.52608814,-15.06020635,7.245192276,-0.01625598673,5.466628517,-0.01153490353,7.435114382,-19.9295828,-5.373349811,0.02775039554,29.53133721,-0.01194157155
Tail,1,77,0.2645940538,131,0.2645940538,11.83794309,-15.02712948,9.745318164,-1.741218739e-06,5.399720206,5.087865181e-08,11.96994943,-23.43616422,-6.999731953,-4.093803196e-05,29.69089509,-0.0004010347289,11.83794309,-15.02712948,9.745318164,-1.741218739e-06,5.399720206,5.087865181e-08,11.96994943,-23.43616422,-6.999731953,-4.093803196e-05,29.69089509,-0.0004010347289
Head,2,59,0.338269228,59,0.338269228,-9.863930799,-14.22696741,6.899685886,0.01172193195,5.375708014,-0.008742387267,-7.597198764,-19.80295805,-5.491977263,-0.01284035759,29.5416304,-0.009161150627,-9.863930799,-14.22696741,6.899685886,0.01172193195,5.375708014,-0.008742387267,-7.597198764,-19.80295805,-5.491977263,-0.01284035759,29.5416304,-0.009161150627
q1,2,71,0.404972641,73,0.3499565669,-6.531451046,-13.80499525,4.32882622,0.01117407532,5.409202329,-0.01515696864,-4.362944141,-16.28759559,-3.933779425,-0.001675695747,29.39269854,-0.01557338202,-7.724847571,-12.59404305,3.099175606,0.006949779947,5.149591134,-0.02315829338,-4.750327893,-16.26390215,-4.108640188,-0.01280809606,29.40759966,-0.02357501351
peak,2,83,0.4661067272,87,0.358364682,-0.7803882862,-14.02999633,3.243698005,-0.003927883374,5.493787118,-0.0164335544,-1.571559008,-14.51070575,-3.026713146,0.03223803566,29.31142327,-0.01684873868,-4.008538356,-11.1591279,-0.3998570406,0.0009943127759,4.917789344,-0.02847459691,-1.688246906,-13.33494721,-2.93549113,0.002564404484,29.30613317,-0.02888936583
q3,2,94,0.4118374453,107,0.3518835763,4.586362164,-14.49252931,3.482213279,-0.01938436615,5.557129085,-0.0155357379,0.9616660381,-14.56996867,-2.937883672,0.05922057246,29.30686783,-0.01594961032,5.021903468,-12.34876758,1.306642222,-0.03232008107,5.190525791,-0.02590321319,1.89368577,-13.84670537,-2.937129499,0.03595769522,29.30372007,-0.02631590629
Tail,2,108,0.3461002333,122,0.3461002333,8.637389533,-14.96286992,5.30170681,-0.02490800433,5.534806185,-0.01494207205,4.687038205,-17.08855482,-4.042712484,0.05369220865,29.40809733,-0.01535233555,8.637389533,-14.96286992,5.30170681,-0.02490800433,5.534806185,-0.01494207205,4.687038205,-17.08855482,-4.042712484,0.05369220865,29.40809733,-0.01535233555
