round,step,MaxD_in,MaxD_out
1,0,0.1739309335,0.1739309335
1,1,0.1739431191,0.1739431191
1,2,0.1739793379,0.1739793379
1,3,0.174038985,0.174038985
1,4,0.1741213305,0.1741213305
1,5,0.174225526,0.174225526
1,6,0.1743506111,0.1743506111
1,7,0.1744955192,0.1744955192
1,8,0.1746590827,0.1746590827
1,9,0.174840039,0.174840039
1,10,0.1750370355,0.1750370355
1,11,0.1752486346,0.1752486346
1,12,0.1754733186,0.1754733186
1,13,0.1757094953,0.1757094953
1,14,0.176004304,0.176004304
1,15,0.1782975507,0.1782975507
1,16,0.1807174555,0.1807174555
1,17,0.1832581685,0.1832581685
1,18,0.185913324,0.185913324
1,19,0.1886759973,0.1886759973
1,20,0.1915386658,0.1915386658
1,21,0.194493172,0.194493172
1,22,0.1975306912,0.1975306912
1,23,0.2006417047,0.2006417047
1,24,0.2038159782,0.2038159782
1,25,0.2070425472,0.2070425472
1,26,0.2103097108,0.2103097108
1,27,0.2136050329,0.2136050329
1,28,0.2169153539,0.2169153539
1,29,0.2202874957,0.2202874957
1,30,0.2240057576,0.2240057576
1,31,0.2276986607,0.2276986607
1,32,0.2313481278,0.2313481278
1,33,0.2349353952,0.2349353952
1,34,0.2384411059,0.2384411059
1,35,0.2418454199,0.2418454199
1,36,0.2451281395,0.2451281395
1,37,0.2482688498,0.2482688498
1,38,0.2512470732,0.2512470732
1,39,0.2540424356,0.2540424356
1,40,0.2566348447,0.2566348447
1,41,0.2590046753,0.2590046753
1,42,0.2611329618,0.2611329618
1,43,0.2630015936,0.2630015936
1,44,0.2645935107,0.2645935107
1,45,0.2702451999,0.2655505599
1,46,0.3108888254,0.2670014227
1,47,0.3548721886,0.2796832555
1,48,0.4018110892,0.2927720225
1,49,0.4511561853,0.3044922265
1,50,0.5021896177,0.3147851525
1,51,0.5540311716,0.3236215405
1,52,0.6056552083,0.3310045737
1,53,0.6559188629,0.3369722243
1,54,0.7037077921,0.341598568
1,55,0.7610701368,0.3449938121
1,56,0.8126559168,0.3473029553
1,57,0.8565867331,0.3487031712
1,58,0.8911786647,0.3494001745
1,59,0.9150536286,0.3496005278
1,60,0.927234588,0.3494274176
1,61,0.9272150823,0.3489856902
1,62,0.9149958954,0.3483772802
1,63,0.891085,0.3477003309
1,64,0.8564607855,0.3470485379
1,65,0.8125024391,0.3465106811
1,66,0.7608946739,0.3461703045
1,67,0.703516335,0.3461054984
1,68,0.6557738939,0.3463887351
1,69,0.6055037924,0.3472465375
1,70,0.5538767015,0.3496744441
1,71,0.5020352346,0.3518818024
1,72,0.4510046826,0.3538509036
1,73,0.4063701961,0.3555614014
1,74,0.3788150371,0.3586582112
1,75,0.3513571538,0.3634412543
1,76,0.3243162296,0.3706261735
1,77,0.2979710314,0.3781983306
1,78,0.2725568025,0.3860640569
1,79,0.2611326288,0.3941233562
1,80,0.259004302,0.4022704916
1,81,0.2566344327,0.4103949199
1,82,0.2540419867,0.4183825788
1,83,0.2512465891,0.4261175149
1,84,0.2482683326,0.4334838193
1,85,0.245127591,0.4403678212
1,86,0.241844842,0.4466604673
1,87,0.2384405007,0.4522598004
1,88,0.2349347645,0.4570734372
1,89,0.2313474737,0.461020938
1,90,0.227697985,0.4640359595
1,91,0.2240050622,0.4660680879
1,92,0.2202867825,0.4670842624
1,93,0.216914777,0.4670697177
1,94,0.2136044424,0.4660283971
1,95,0.210309108,0.4639828178
1,96,0.2070419334,0.4609733958
1,97,0.2038153544,0.4570572679
1,98,0.2006410722,0.452306673
1,99,0.1975300509,0.4468069754
1,100,0.1944925248,0.4406544283
1,101,0.1915380126,0.4339537829
1,102,0.1886753389,0.4268158517
1,103,0.1859126612,0.419355128
1,104,0.183257502,0.4116875536
1,105,0.1807167858,0.4039285126
1,106,0.1782968784,0.396191111
1,107,0.1760036296,0.3885847835
1,108,0.1738424168,0.3812142492
1,109,0.171818191,0.3741788217
1,110,0.1699355219,0.3675720628
1,111,0.1681986436,0.3614817566
1,112,0.1666114996,0.3559901709
1,113,0.1651777863,0.3511745656
1,114,0.1639009947,0.3470930221
1,115,0.1627844504,0.3436537683
1,116,0.1618313503,0.3407511331
1,117,0.1610447964,0.3382760902
1,118,0.1604278264,0.3361171975
1,119,0.1599834399,0.3341612742
1,120,0.1597146197,0.3322939245
1,121,0.1596243485,0.3303999842
1,122,nan,0.3283639492
1,123,nan,0.3263888032
1,124,nan,0.3256778405
