Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.2245657147,0,0.2245657147
1,0.2245883298,1,0.2245883298
2,0.2246555638,2,0.2246555638
3,0.2247663472,3,0.2247663472
4,0.2249194155,4,0.2249194155
5,0.2251133192,5,0.2251133192
6,0.2253464324,6,0.2253464324
7,0.2256169617,7,0.2256169617
8,0.2259229536,8,0.2259229536
9,0.2262623025,9,0.2262623025
10,0.2266327572,10,0.2266327572
11,0.2270319281,11,0.2270319281
12,0.227457294,12,0.227457294
13,0.2279062087,13,0.2279062087
14,0.2283759076,14,0.2283759076
15,0.2288635144,15,0.2288635144
16,0.2293660484,16,0.2293660484
17,0.2298804318,17,0.2298804318
18,0.2304034968,18,0.2304034968
19,0.2309319937,19,0.2309319937
20,0.2314625994,20,0.2314625994
21,0.2319919262,21,0.2319919262
22,0.2325165307,22,0.2325165307
23,0.2330329238,23,0.2330329238
24,0.233537581,24,0.233537581
25,0.2340269532,25,0.2340269532
26,0.2344974778,26,0.2344974778
27,0.2349455908,27,0.2349455908
28,0.2353677392,28,0.2353677392
29,0.235760393,29,0.235760393
30,0.2361200594,30,0.2361200594
31,0.2364432954,31,0.2364432954
32,0.2367267221,32,0.2367267221
33,0.2369670383,33,0.2369670383
34,0.237161035,34,0.237161035
35,0.2373056093,35,0.2373056093
36,0.2472016169,36,0.2472016169
37,0.2603993895,37,0.2603993895
38,0.2738471778,38,0.2738471778
39,0.2874700878,39,0.2874700878
40,0.3011838059,40,0.3011838059
41,0.3148950175,41,0.3148950175
42,0.3285020822,42,0.3285020822
43,0.3418959787,43,0.3418959787
44,0.3710358996,44,0.3710358996
45,0.4131859502,45,0.4131859502
46,0.4575204,46,0.4575204
47,0.5036207029,47,0.5036207029
48,0.5509652044,48,0.5509652044
49,0.5989328779,49,0.5989328779
50,0.6468122192,50,0.6468122192
51,0.6938155507,51,0.6938155507
52,0.7390986484,52,0.7390986484
53,0.7817852189,53,0.7817852189
54,0.8209953571,54,0.8209953571
55,0.8558767422,55,0.8558767422
56,0.8864785779,56,0.8864785779
57,0.9171173328,57,0.9171173328
58,0.9421464421,58,0.9421464421
59,0.9575179702,59,0.9575179702
60,0.9627059674,60,0.9627059674
61,0.9585601937,61,0.9585601937
62,0.9545946565,62,0.9545946565
63,0.943968865,63,0.943968865
64,0.9269401654,64,0.9269401654
65,0.9039089201,65,0.9039089201
66,0.8754017211,66,0.8754017211
67,0.8420499451,67,0.8420499451
68,0.8045649417,68,0.8045649417
69,0.763711289,69,0.763711289
70,0.7202795867,70,0.7202795867
71,0.6750601789,71,0.6750601789
72,0.628819033,72,0.628819033
73,0.5822767656,73,0.5822767656
74,0.5360915183,74,0.5360915183
75,0.4908460904,75,0.4908460904
76,0.4470394397,76,0.4470394397
77,0.4050824014,77,0.4050824014
78,0.3652972571,78,0.3652972571
79,0.3279206265,79,0.3279206265
80,0.2931090501,80,0.2931090501
81,0.2609465895,81,0.2609465895
82,0.2314537755,82,0.2314537755
83,0.2217163924,83,0.2217163924
84,0.2204315024,84,0.2204315024
85,0.2191244796,85,0.2191244796
86,0.2177992167,86,0.2177992167
87,0.2164596062,87,0.2164596062
88,0.2151095284,88,0.2151095284
89,0.2137528405,89,0.2137528405
90,0.212393366,90,0.212393366
91,0.2110348853,91,0.2110348853
92,0.2096811269,92,0.2096811269
93,0.2083357598,93,0.2083357598
94,0.2070023862,94,0.2070023862
95,0.2056845358,95,0.2056845358
96,0.2043856601,96,0.2043856601
97,0.2031091287,97,0.2031091287
98,0.2018582248,98,0.2018582248
99,0.200636143,99,0.200636143
100,0.1994459871,100,0.1994459871
101,0.1982907685,101,0.1982907685
102,0.1971734052,102,0.1971734052
103,0.196096722,103,0.196096722
104,0.1950634504,104,0.1950634504
105,0.1940762295,105,0.1940762295
106,0.1931376068,106,0.1931376068
107,0.19225004,107,0.19225004
108,0.1914158982,108,0.1914158982
109,0.1906374639,109,0.1906374639
110,0.1899169347,110,0.1899169347
111,0.1892564252,111,0.1892564252
112,0.188657969,112,0.188657969
113,0.1881235199,113,0.1881235199
114,0.1876549535,114,0.1876549535
115,0.187254068,115,0.187254068
116,0.1869225852,116,0.1869225852
117,0.1866621499,117,0.1866621499
118,0.1864743297,118,0.1864743297
119,0.1863606135,119,0.1863606135
120,0.1863224091,120,0.1863224091
