round,step,MaxD_in,MaxD_out
1,0,0.2245657147,0.2245657147
1,1,0.2245883298,0.2245883298
1,2,0.2246555638,0.2246555638
1,3,0.2247663472,0.2247663472
1,4,0.2249194155,0.2249194155
1,5,0.2251133192,0.2251133192
1,6,0.2253464324,0.2253464324
1,7,0.2256169617,0.2256169617
1,8,0.2259229536,0.2259229536
1,9,0.2262623025,0.2262623025
1,10,0.2266327572,0.2266327572
1,11,0.2270319281,0.2270319281
1,12,0.227457294,0.227457294
1,13,0.2279062087,0.2279062087
1,14,0.2283759076,0.2283759076
1,15,0.2288635144,0.2288635144
1,16,0.2293660484,0.2293660484
1,17,0.2298804318,0.2298804318
1,18,0.2304034968,0.2304034968
1,19,0.2309319937,0.2309319937
1,20,0.2314625994,0.2314625994
1,21,0.2319919262,0.2319919262
1,22,0.2325165307,0.2325165307
1,23,0.2330329238,0.2330329238
1,24,0.233537581,0.233537581
1,25,0.2340269532,0.2340269532
1,26,0.2344974778,0.2344974778
1,27,0.2349455908,0.2349455908
1,28,0.2353677392,0.2353677392
1,29,0.235760393,0.235760393
1,30,0.2361200594,0.2361200594
1,31,0.2364432954,0.2364432954
1,32,0.2367267221,0.2367267221
1,33,0.2369670383,0.2369670383
1,34,0.237161035,0.237161035
1,35,0.2373056093,0.2373056093
1,36,0.2472016169,0.2472016169
1,37,0.2603993895,0.2603993895
1,38,0.2738471778,0.2738471778
1,39,0.2874700878,0.2874700878
1,40,0.3011838059,0.3011838059
1,41,0.3148950175,0.3148950175
1,42,0.3285020822,0.3285020822
1,43,0.3418959787,0.3341210256
1,44,0.3710358996,0.3380386799
1,45,0.4131859502,0.3403438778
1,46,0.4575204,0.3452527536
1,47,0.5036207029,0.3521185218
1,48,0.5509652044,0.3564919367
1,49,0.5989328779,0.3583281811
1,50,0.6468122192,0.3576232956
1,51,0.6938155507,0.3544270277
1,52,0.7390986484,0.3532617867
1,53,0.7817852189,0.3521383931
1,54,0.8209953571,0.3488310347
1,55,0.8558767422,0.3434834054
1,56,0.8864785779,0.336319269
1,57,0.9171173328,0.3276329105
1,58,0.9421464421,0.3177741303
1,59,0.9575179702,0.3071298505
1,60,0.9627059674,0.2961047754
1,61,0.9585601937,0.2849106401
1,62,0.9545946565,0.273802939
1,63,0.943968865,0.2735312377
1,64,0.9269401654,0.2736607625
1,65,0.9039089201,0.2734540552
1,66,0.8754017211,0.2729067727
1,67,0.8420499451,0.2720176176
1,68,0.8045649417,0.2707885695
1,69,0.763711289,0.2692250246
1,70,0.7202795867,0.2673358439
1,71,0.6750601789,0.2651333104
1,72,0.628819033,0.2626330013
1,73,0.5822767656,0.2598535809
1,74,0.5360915183,0.2614065999
1,75,0.4908460904,0.2639332006
1,76,0.4470394397,0.2659299502
1,77,0.4050824014,0.2674041021
1,78,0.3652972571,0.2683694573
1,79,0.3279206265,0.2688459207
1,80,0.2931090501,0.2688589365
1,81,0.2609465895,0.2684388255
1,82,0.2314537755,0.267620056
1,83,0.2217163924,0.2664404714
1,84,0.2204315024,0.2649405062
1,85,0.2191244796,0.2631624121
1,86,0.2177992167,0.2611495182
1,87,0.2164596062,0.2589455432
1,88,0.2151095284,0.2565939737
1,89,0.2137528405,0.2541375196
1,90,0.212393366,0.2516176531
1,91,0.2110348853,0.2490742326
1,92,0.2096811269,0.246545212
1,93,0.2083357598,0.2440664317
1,94,0.2070023862,0.2416714847
1,95,0.2056845358,0.2393916518
1,96,0.2043856601,0.2372558951
1,97,0.2031091287,0.2352909033
1,98,0.2018582248,0.2335211773
1,99,0.200636143,0.2319691473
1,100,0.1994459871,0.2306553129
1,101,0.1982907685,0.229598397
1,102,0.1971734052,0.2288155061
1,103,0.196096722,0.2283222899
1,104,0.1950634504,0.228133093
1,105,0.1940762295,0.2282610935
1,106,0.1931376068,0.228718423
1,107,0.19225004,0.2295321574
1,108,0.1914158982,0.230679595
1,109,0.1906374639,0.2321358807
1,110,0.1899169347,0.2338727962
1,111,0.1892564252,0.2358586213
1,112,0.188657969,0.2380579864
1,113,0.1881235199,0.2404317379
1,114,0.1876549535,0.2429368401
1,115,0.187254068,0.2455263376
1,116,0.1869225852,0.2481493991
1,117,0.1866621499,0.250751469
1,118,0.1864743297,0.2532745431
1,119,0.1863606135,0.2556575909
1,120,0.1863224091,0.2578371348
1,121,nan,0.2597479977
1,122,nan,0.2613242206
1,123,nan,0.2625001432
1,124,nan,0.2632116348
1,125,nan,0.263397449
1,126,nan,0.2630006706
1,127,nan,0.2619702075
1,128,nan,0.261341023
1,129,nan,0.2649473713
1,130,nan,0.2681070307
1,131,nan,0.2707616391
1,132,nan,0.2728564437
1,133,nan,0.2743415328
1,134,nan,0.2751730406
1,135,nan,0.2753142797
1,136,nan,0.2747367594
1,137,nan,0.273421046
1,138,nan,0.2713574278
1,139,nan,0.2685463521
1,140,nan,0.2709289065
1,141,nan,0.2783634833
1,142,nan,0.2852437738
1,143,nan,0.2914901191
1,144,nan,0.2967306621
1,145,nan,0.3010659428
1,146,nan,0.3042608883
1,147,nan,0.3061217863
1,148,nan,0.3078002388
1,149,nan,0.3193468968
1,150,nan,0.32935432
1,151,nan,0.3375442517
1,152,nan,0.3436838494
1,153,nan,0.3475924719
1,154,nan,0.3491443861
1,155,nan,0.3482674045
1,156,nan,0.3449379996
1,157,nan,0.339173896
1,158,nan,0.3310254782
1,159,nan,0.320567527
1,160,nan,0.3078928262
1,161,nan,0.2931090501
1,162,nan,0.2609465895
1,163,nan,0.2314537755
1,164,nan,0.2217163924
1,165,nan,0.2204315024
1,166,nan,0.2191244796
1,167,nan,0.2177992167
1,168,nan,0.2164596062
1,169,nan,0.2151095284
1,170,nan,0.2137528405
1,171,nan,0.212393366
1,172,nan,0.2110348853
1,173,nan,0.2096811269
1,174,nan,0.2083357598
1,175,nan,0.2070023862
1,176,nan,0.2056845358
1,177,nan,0.2043856601
1,178,nan,0.2031091287
1,179,nan,0.2018582248
1,180,nan,0.200636143
1,181,nan,0.1994459871
1,182,nan,0.1982907685
1,183,nan,0.1971734052
1,184,nan,0.196096722
1,185,nan,0.1950634504
1,186,nan,0.1940762295
1,187,nan,0.1931376068
1,188,nan,0.19225004
1,189,nan,0.1914158982
1,190,nan,0.1906374639
1,191,nan,0.1899169347
1,192,nan,0.1892564252
1,193,nan,0.188657969
1,194,nan,0.1881235199
1,195,nan,0.1876549535
1,196,nan,0.187254068
1,197,nan,0.1869225852
1,198,nan,0.1866621499
1,199,nan,0.1864743297
1,200,nan,0.1863606135
1,201,nan,0.1863224091
