Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.2245657147,0,0.2245657147
1,0.2245883298,1,0.2245883298
2,0.2246555638,2,0.2246555638
3,0.2247663472,3,0.2247663472
4,0.2249194155,4,0.2249194155
5,0.2251133192,5,0.2251133192
6,0.2253464324,6,0.2253464324
7,0.2256169617,7,0.2256169617
8,0.2259229536,8,0.2259229536
9,0.2262623025,9,0.2262623025
10,0.2266327572,10,0.2266327572
11,0.2270319281,11,0.2270319281
12,0.227457294,12,0.227457294
13,0.2279062087,13,0.2279062087
14,0.2283759076,14,0.2283759076
15,0.2288635144,15,0.2288635144
16,0.2293660484,16,0.2293660484
17,0.2298804318,17,0.2298804318
18,0.2304034968,18,0.2304034968
19,0.2309319937,19,0.2309319937
20,0.2314625994,20,0.2314625994
21,0.2319919262,21,0.2319919262
22,0.2325165307,22,0.2325165307
23,0.2330329238,23,0.2330329238
24,0.233537581,24,0.233537581
25,0.2340269532,25,0.2340269532
26,0.2344974778,26,0.2344974778
27,0.2349455908,27,0.2349455908
28,0.2353677392,28,0.2353677392
29,0.235760393,29,0.235760393
30,0.2361200594,30,0.2361200594
31,0.2364432954,31,0.2364432954
32,0.2367267221,32,0.2367267221
33,0.2369670383,33,0.2369670383
34,0.237161035,34,0.237161035
35,0.2373056093,35,0.2373056093
36,0.2472016169,36,0.2472016169
37,0.2603993895,37,0.2603993895
38,0.2738471778,38,0.2738471778
39,0.2874700878,39,0.2874700878
40,0.3011838059,40,0.3011838059
41,0.3148950175,41,0.3148950175
42,0.3285020822,42,0.3285020822
43,0.3418959787,43,0.3340343629
44,0.3710358996,44,0.3373368294
45,0.4131859502,45,0.3385765453
46,0.4575204,46,0.342035579
47,0.5036207029,47,0.3462323366
48,0.5509652044,48,0.3471510683
49,0.5989328779,49,0.3447730883
50,0.6468122192,50,0.3391582153
51,0.6938155507,51,0.3304611328
52,0.7390986484,52,0.3210447455
53,0.7817852189,53,0.3121715449
54,0.8209953571,54,0.3006813432
55,0.8558767422,55,0.2869590804
56,0.8864785779,56,0.2714827633
57,0.9171173328,57,0.2551091236
58,0.9421464421,58,0.2452355968
59,0.9575179702,59,0.2356926163
60,0.9627059674,60,0.2266192404
61,0.9585601937,61,0.2181420714
62,0.9545946565,62,0.2103754005
63,0.943968865,63,0.2034222453
