Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,29.7941371,-24.35033899,31.33589817,-0.0002051918855,-6.985550392,0.0002197774429,29.77140428,-41.75598449,30.67841425,-0.0002002898878,11.07751466,0.0001647900592
1,29.78179188,-24.350339,31.33589819,-0.0002051918855,-6.985550421,0.0002197660624,29.75906888,-41.75598449,30.67841437,-0.0002002828628,11.07751454,0.0001647786787
2,29.74503208,-24.35033903,31.33589826,-0.0002051918855,-6.985550505,0.0002197321751,29.72233835,-41.75598451,30.67841476,-0.0002002619447,11.07751418,0.0001647447915
3,29.68427151,-24.35033909,31.33589838,-0.0002051918855,-6.985550645,0.0002196761627,29.66162615,-41.75598454,30.67841539,-0.0002002273691,11.07751359,0.000164688779
4,29.59992397,-24.35033917,31.33589855,-0.0002051918855,-6.98555084,0.0002195984064,29.57734577,-41.75598458,30.67841626,-0.0002001793714,11.07751276,0.0001646110227
5,29.49240328,-24.35033927,31.33589876,-0.0002051918855,-6.985551088,0.0002194992879,29.46991067,-41.75598462,30.67841738,-0.000200118187,11.07751171,0.0001645119042
6,29.36212324,-24.3503394,31.33589902,-0.0002051918855,-6.985551388,0.0002193791885,29.33973435,-41.75598469,30.67841873,-0.0002000440515,11.07751043,0.0001643918048
7,29.20949765,-24.35033954,31.33589932,-0.0002051918855,-6.98555174,0.0002192384897,29.18723027,-41.75598476,30.67842031,-0.0001999572004,11.07750894,0.000164251106
8,29.03494033,-24.35033971,31.33589966,-0.0002051918855,-6.985552142,0.0002190775731,29.01281191,-41.75598484,30.67842212,-0.0001998578691,11.07750723,0.0001640901894
9,28.83886507,-24.35033989,31.33590005,-0.0002051918855,-6.985552594,0.00021889682,28.81689275,-41.75598493,30.67842415,-0.000199746293,11.0775053,0.0001639094363
10,28.62168569,-24.3503401,31.33590047,-0.0002051918855,-6.985553094,0.000218696612,28.59988627,-41.75598503,30.67842641,-0.0001996227077,11.07750318,0.0001637092283
11,28.38381599,-24.35034033,31.33590094,-0.0002051918855,-6.985553642,0.0002184773305,28.36220594,-41.75598514,30.67842887,-0.0001994873487,11.07750085,0.0001634899468
12,28.12566978,-24.35034057,31.33590145,-0.0002051918855,-6.985554237,0.0002182393569,28.10426524,-41.75598525,30.67843155,-0.0001993404513,11.07749832,0.0001632519733
13,27.84766086,-24.35034084,31.335902,-0.0002051918855,-6.985554878,0.0002179830729,27.82647765,-41.75598538,30.67843443,-0.0001991822512,11.0774956,0.0001629956892
14,27.55020304,-24.35034112,31.33590258,-0.0002051918855,-6.985555564,0.0002177088597,27.52925664,-41.75598552,30.67843752,-0.0001990129837,11.07749268,0.000162721476
