Pt,round,idx_in,D_in,idx_out,D_out,Ain1,Ain2,Ain3,Ain4,Ain5,Ain6,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Aout1,Aout2,Aout3,Aout4,Aout5,Aout6,Bout1,Bout2,Bout3,Bout4,Bout5,Bout6
Head,1,42,0.3285020822,42,0.3285020822,13.00518468,-24.35035493,31.33593118,-0.0002051918855,-6.985589085,0.000204300453,12.99581771,-41.75599222,30.67858836,-0.0001907361835,11.07735022,0.0001493130694,13.00518468,-24.35035493,31.33593118,-0.0002051918855,-6.985589085,0.000204300453,12.99581771,-41.75599222,30.67858836,-0.0001907361835,11.07735022,0.0001493130694
q1,1,51,0.6938155507,131,0.1204500391,6.653463663,-24.35036096,31.33594367,-0.0002051918855,-6.985603723,0.0001984450834,6.649153357,-41.75599515,30.67865423,-0.0001871217553,11.07728801,0.0001434576999,0.7342417178,-8.967913965,33.98038391,-0.03669718074,-6.940875115,-0.02079911025,20.13690594,-66.83106906,1.161012407,-0.02134349264,10.34365064,-0.04482961191
peak,1,60,0.9627059674,263,0.113276984,7.779345922e-05,-24.35036728,31.33595676,-0.0002051918855,-6.985619057,0.0001923116224,0.00106431305,-41.75599822,30.67872324,-0.0001833356655,11.07722284,0.0001373242389,-5.019007329,-7.697509071,32.28927958,-0.03386183799,-6.984119596,-0.02761263383,-29.48574223,-98.06328879,-28.09170848,0.03584243737,9.313755879,-0.06092088679
q3,1,71,0.6750601789,368,0.1336513108,-8.101492468,-24.35037497,31.33597269,-0.0002051918855,-6.985637728,0.0001848431444,-8.094056209,-41.75600195,30.67880726,-0.0001787254907,11.07714348,0.000129855761,-7.448866311,-11.6736939,33.75164828,-0.01173286274,-6.904571147,-0.02080975118,-36.05828411,-59.71969042,6.149347911,0.004591599747,10.42396571,-0.04483965335
Tail,1,80,0.2931090501,449,0.2931090501,-14.34521002,-24.3503809,31.33598497,-0.0002051918855,-6.985652117,0.0001790873384,-14.33280308,-41.75600483,30.67887201,-0.0001751725215,11.07708233,0.000124099955,-14.34521002,-24.3503809,31.33598497,-0.0002051918855,-6.985652117,0.0001790873384,-14.33280308,-41.75600483,30.67887201,-0.0001751725215,11.07708233,0.000124099955
Head,2,42,0.3285020822,42,0.3285020822,13.00518468,-24.35035493,31.33593118,-0.0002051918855,-6.985589085,0.000204300453,12.99581771,-41.75599222,30.67858836,-0.0001907361835,11.07735022,0.0001493130694,13.00518468,-24.35035493,31.33593118,-0.0002051918855,-6.985589085,0.000204300453,12.99581771,-41.75599222,30.67858836,-0.0001907361835,11.07735022,0.0001493130694
q1,2,58,0.5581246844,64,0.1973762426,8.459453954,-23.4264636,31.5186041,-0.002376643487,-6.982140612,-0.001018310395,9.943379873,-42.90244883,29.22340024,-0.002051726281,11.04452747,-0.002447013916,13.7432336,-15.00661843,35.12518367,-0.00212517734,-6.870493846,-0.01305855891,16.70680671,-42.48039237,28.74825408,-0.01293650087,11.03743845,-0.00506237883
peak,2,77,0.7183400704,83,0.1798451552,4.84504508,-20.46087141,32.08896713,-0.009360362502,-6.971563271,-0.004961042824,10.89615908,-46.82342657,24.33942517,-0.007634324761,10.93171708,-0.01084364053,12.3326736,-11.15249944,35.91887179,-0.006190593383,-6.830912197,-0.02074567339,16.74297426,-48.43614965,22.91485958,-0.01724144128,10.90648274,-0.01308660854
q3,2,95,0.5576777622,103,0.1724721467,2.763362791,-16.58612621,32.79969368,-0.01851445051,-6.958853637,-0.01017139487,14.31044263,-52.4667146,17.4985814,-0.01407234742,10.76802595,-0.02196921486,7.745543878,-11.75591754,34.74839186,-0.01715075546,-6.894706847,-0.02065123838,17.17972173,-54.24911907,16.35415725,-0.01826100011,10.75331639,-0.02357931993
Tail,2,110,0.3076427707,122,0.3076427707,1.702775015,-13.15322514,33.3847257,-0.02666273855,-6.949036945,-0.01486630011,17.51093259,-58.14007207,10.84279688,-0.01866646922,10.6018758,-0.03202899621,1.702775015,-13.15322514,33.3847257,-0.02666273855,-6.949036945,-0.01486630011,17.51093259,-58.14007207,10.84279688,-0.01866646922,10.6018758,-0.03202899621
Head,3,412,0.3622347964,412,0.3622347964,-7.16856841,-17.83926316,32.71898838,-0.005295837497,-6.937980381,-0.01050408204,-21.77275074,-48.86996312,19.84591715,-0.0001806011354,10.80278623,-0.02266602444,-7.16856841,-17.83926316,32.71898838,-0.005295837497,-6.937980381,-0.01050408204,-21.77275074,-48.86996312,19.84591715,-0.0001806011354,10.80278623,-0.02266602444
q1,3,423,0.4701244767,428,0.1579934677,-7.590868252,-20.04746079,32.27090227,-0.00344708125,-6.953256878,-0.006865266852,-17.22667964,-46.14612023,23.77996398,-0.00054103174,10.9048354,-0.01489069299,-13.06396044,-16.08176893,33.94200218,-0.02626453081,-6.89315799,-0.016037556,-21.10705883,-46.74078338,23.35619958,0.001410158268,10.89993703,-0.01633788856
peak,3,436,0.5360428867,444,0.1460878958,-8.808997021,-22.28999254,31.7934052,-0.001700588011,-6.969722227,-0.003185427258,-13.41233533,-43.7132778,27.49651552,-0.0005197774321,10.99881854,-0.007042723734,-17.92851458,-15.24815757,34.79574672,-0.03849575365,-6.860346166,-0.01644339493,-18.41051289,-43.67760205,27.22144254,0.003336405783,10.99406197,-0.008852495936
q3,3,449,0.4648223291,456,0.1746382858,-11.07589303,-23.83005269,31.45352872,-0.0005709795141,-6.981538967,-0.0006675138809,-12.22938032,-42.22012013,29.90040745,-0.0002982738844,11.05820899,-0.001679769296,-17.03822322,-19.02723149,33.43449104,-0.02526902052,-6.913166431,-0.01064685708,-16.73220988,-41.59684508,29.86928629,0.002889308686,11.05686643,-0.003583098932
Tail,3,458,0.3417872362,472,0.3417872362,-13.40915427,-24.31588606,31.34385608,-0.0002289730125,-6.985374394,0.0001236796169,-13.47456148,-41.78558115,30.62825336,-0.000185124706,11.07587266,5.348826919e-06,-13.40915427,-24.31588606,31.34385608,-0.0002289730125,-6.985374394,0.0001236796169,-13.47456148,-41.78558115,30.62825336,-0.000185124706,11.07587266,5.348826919e-06
