Step_Original,MaxD_Original,Step_Optimized,MaxD_Optimized
0,0.1506675049,0,0.1506675049
1,0.1507502176,1,0.1507502176
2,0.150996523,2,0.150996523
3,0.1514036691,3,0.1514036691
4,0.1519688921,4,0.1519688921
5,0.1526894027,5,0.1526894027
6,0.1535623669,6,0.1535623669
7,0.1545848834,7,0.1545848834
8,0.1557539571,8,0.1557539571
9,0.1571113257,9,0.1571113257
10,0.1587571433,10,0.1587571433
11,0.1605601151,11,0.1605601151
12,0.1625166352,12,0.1625166352
13,0.1646228114,13,0.1646228114
14,0.1668744123,14,0.1668744123
15,0.1692668131,15,0.1692668131
16,0.1717949413,16,0.1717949413
17,0.1744532212,17,0.1744532212
18,0.177235521,18,0.177235521
19,0.1801351001,19,0.1801351001
20,0.1831445589,20,0.1831445589
21,0.1862557927,21,0.1862557927
22,0.1894599491,22,0.1894599491
23,0.1927473913,23,0.1927473913
24,0.1961076668,24,0.1961076668
25,0.199529485,25,0.199529485
26,0.203000702,26,0.203000702
27,0.206508316,27,0.206508316
28,0.2100384732,28,0.2100384732
29,0.2135764849,29,0.2135764849
30,0.2171068581,30,0.2171068581
31,0.2206133388,31,0.2206133388
32,0.2240789697,32,0.2240789697
33,0.2274861623,33,0.2274861623
34,0.2308167831,34,0.2308167831
35,0.2340522557,35,0.2340522557
36,0.2371736751,36,0.2371736751
37,0.2401619379,37,0.2401619379
38,0.242997883,38,0.242997883
39,0.2456624455,39,0.2456624455
40,0.2481368188,40,0.2481368188
41,0.2504026257,41,0.2504026257
42,0.265652493,42,0.265652493
43,0.2922431167,43,0.2922431167
44,0.3201192081,44,0.3201192081
45,0.3490737146,45,0.3327632863
46,0.3788491529,46,0.3431529433
47,0.4091382634,47,0.3512513065
48,0.4395867128,48,0.3570103449
49,0.4883799799,49,0.3603765456
50,0.545919295,50,0.3613016063
51,0.6046071871,51,0.3597561469
52,0.6632656654,52,0.3557443481
53,0.7205697528,53,0.3493174443
54,0.775093074,54,0.3405841535
55,0.8253653919,55,0.3377063108
56,0.8699391333,56,0.335351854
57,0.9074607748,57,0.3308776782
58,0.9367420947,58,0.3243869529
59,0.9568258826,59,0.3160602675
60,0.9670408189,60,0.3061477093
