round,step,MaxD_in,MaxD_out
1,0,0.1506675049,0.1506675049
1,1,0.1507502176,0.1507502176
1,2,0.150996523,0.150996523
1,3,0.1514036691,0.1514036691
1,4,0.1519688921,0.1519688921
1,5,0.1526894027,0.1526894027
1,6,0.1535623669,0.1535623669
1,7,0.1545848834,0.1545848834
1,8,0.1557539571,0.1557539571
1,9,0.1571113257,0.1571113257
1,10,0.1587571433,0.1587571433
1,11,0.1605601151,0.1605601151
1,12,0.1625166352,0.1625166352
1,13,0.1646228114,0.1646228114
1,14,0.1668744123,0.1668744123
1,15,0.1692668131,0.1692668131
1,16,0.1717949413,0.1717949413
1,17,0.1744532212,0.1744532212
1,18,0.177235521,0.177235521
1,19,0.1801351001,0.1801351001
1,20,0.1831445589,0.1831445589
1,21,0.1862557927,0.1862557927
1,22,0.1894599491,0.1894599491
1,23,0.1927473913,0.1927473913
1,24,0.1961076668,0.1961076668
1,25,0.199529485,0.199529485
1,26,0.203000702,0.203000702
1,27,0.206508316,0.206508316
1,28,0.2100384732,0.2100384732
1,29,0.2135764849,0.2135764849
1,30,0.2171068581,0.2171068581
1,31,0.2206133388,0.2206133388
1,32,0.2240789697,0.2240789697
1,33,0.2274861623,0.2274861623
1,34,0.2308167831,0.2308167831
1,35,0.2340522557,0.2340522557
1,36,0.2371736751,0.2371736751
1,37,0.2401619379,0.2401619379
1,38,0.242997883,0.242997883
1,39,0.2456624455,0.2456624455
1,40,0.2481368188,0.2481368188
1,41,0.2504026257,0.2504026257
1,42,0.265652493,0.265652493
1,43,0.2922431167,0.2922431167
1,44,0.3201192081,0.3201192081
1,45,0.3490737146,0.3327632863
1,46,0.3788491529,0.3431529433
1,47,0.4091382634,0.3512513065
1,48,0.4395867128,0.3570103449
1,49,0.4883799799,0.3603765456
1,50,0.545919295,0.3613016063
1,51,0.6046071871,0.3597561469
1,52,0.6632656654,0.3557443481
1,53,0.7205697528,0.3493174443
1,54,0.775093074,0.3405841535
1,55,0.8253653919,0.3377063108
1,56,0.8699391333,0.335351854
1,57,0.9074607748,0.3308776782
1,58,0.9367420947,0.3243869529
1,59,0.9568258826,0.3160602675
1,60,0.9670408189,0.3061477093
1,61,0.9670409278,0.2949554434
1,62,0.9568262057,0.2850016255
1,63,0.9367426213,0.276946443
1,64,0.9074614878,0.2684239512
1,65,0.8699400102,0.2597673206
1,66,0.825366406,0.2516562386
1,67,0.7750941958,0.245532824
1,68,0.7205709515,0.2398294092
1,69,0.6632669104,0.2346997704
1,70,0.6046084493,0.2301864798
1,71,0.5459205477,0.2263160307
1,72,0.4883812,0.2231025943
1,73,0.4329894158,0.2205510526
1,74,0.3805471501,0.2186593744
1,75,0.3316543516,0.21742041
1,76,0.2874280248,0.2168231847
1,77,0.2605075043,0.216853765
1,78,0.2542384331,0.2174957661
1,79,0.2524423081,0.2187305595
1,80,0.2504028569,0.2205372323
1,81,0.2481370666,0.2228923452
1,82,0.245662709,0.2257695281
1,83,0.2429981613,0.2291389534
1,84,0.2401622301,0.232966723
1,85,0.2371739802,0.2372142065
1,86,0.2340525728,0.241837372
1,87,0.2308171113,0.2467861493
1,88,0.2274865005,0.2520038737
1,89,0.2240793171,0.2574268576
1,90,0.2206136945,0.262984141
1,91,0.2171072213,0.2685974718
1,92,0.2135768547,0.274523382
1,93,0.2100388488,0.2809156065
1,94,0.2065086967,0.2869610835
1,95,0.203001087,0.2925495979
1,96,0.1995298736,0.2975694269
1,97,0.1961080585,0.3019099369
1,98,0.1927477855,0.3054644784
1,99,0.1894603453,0.3081334837
1,100,0.1862561903,0.3098276412
1,101,0.1831449576,0.3104710024
1,102,0.1801354995,0.3100038628
1,103,0.1772359208,0.3083852577
1,104,0.174453621,0.3055946638
1,105,0.1717953408,0.3016980569
1,106,0.1692672123,0.2967901961
1,107,0.1668748108,0.2916264324
1,108,0.1646232092,0.2861418986
1,109,0.1625170322,0.2801128064
1,110,0.1605605113,0.2736656779
1,111,0.1587575386,0.266926442
1,112,0.1571117201,0.2600175964
1,113,0.1557543579,0.2530558849
1,114,0.1545852837,0.2461505323
1,115,0.1535627667,0.2394020441
1,116,0.152689802,0.2329015479
1,117,0.151969291,0.2267306252
1,118,0.1514040677,0.220961569
1,119,0.1509969214,0.2156579904
1,120,0.1507506158,0.2108756957
1,121,0.150667903,0.2066637537
1,122,nan,0.2030656792
1,123,nan,0.2001206648
1,124,nan,0.1978647944
1,125,nan,0.1963321806
1,126,nan,0.1955559644
1,127,nan,0.1955691143
1,128,nan,0.19640495
1,129,nan,0.1980973026
1,130,nan,0.2006801954
1,131,nan,0.2041869014
1,132,nan,0.2086481894
1,133,nan,0.2144855418
1,134,nan,0.2224182683
1,135,nan,0.2314276809
1,136,nan,0.2413945564
1,137,nan,0.2520115796
1,138,nan,0.2631752068
1,139,nan,0.2776703113
1,140,nan,0.2918543936
1,141,nan,0.3053067994
1,142,nan,0.3176149179
1,143,nan,0.3283978821
1,144,nan,0.337329304
1,145,nan,0.3441560802
1,146,nan,0.3487107306
1,147,nan,0.3509156065
1,148,nan,0.3556831814
1,149,nan,0.3580431713
1,150,nan,0.3573121067
1,151,nan,0.3533975773
1,152,nan,0.3462676562
1,153,nan,0.3359432367
1,154,nan,0.3224921794
1,155,nan,0.3060280117
1,156,nan,0.2874280248
1,157,nan,0.2605075043
1,158,nan,0.2542384331
1,159,nan,0.2524423081
1,160,nan,0.2504028569
1,161,nan,0.2481370666
1,162,nan,0.245662709
1,163,nan,0.2429981613
1,164,nan,0.2401622301
1,165,nan,0.2371739802
1,166,nan,0.2340525728
1,167,nan,0.2308171113
1,168,nan,0.2274865005
1,169,nan,0.2240793171
1,170,nan,0.2206136945
1,171,nan,0.2171072213
1,172,nan,0.2135768547
1,173,nan,0.2100388488
1,174,nan,0.2065086967
1,175,nan,0.203001087
1,176,nan,0.1995298736
1,177,nan,0.1961080585
1,178,nan,0.1927477855
1,179,nan,0.1894603453
1,180,nan,0.1862561903
1,181,nan,0.1831449576
1,182,nan,0.1801354995
1,183,nan,0.1772359208
1,184,nan,0.174453621
1,185,nan,0.1717953408
1,186,nan,0.1692672123
1,187,nan,0.1668748108
1,188,nan,0.1646232092
1,189,nan,0.1625170322
1,190,nan,0.1605605113
1,191,nan,0.1587575386
1,192,nan,0.1571117201
1,193,nan,0.1557543579
1,194,nan,0.1545852837
1,195,nan,0.1535627667
1,196,nan,0.152689802
1,197,nan,0.151969291
1,198,nan,0.1514040677
1,199,nan,0.1509969214
1,200,nan,0.1507506158
1,201,nan,0.150667903
