round,iter,L,f,f_a,f_b,penalty,maxD,G_norm,d_norm,alpha,r_stat,r_prim,r_comp,r_dual,lam_neg,kkt,lam_max,lam_min,S_max,S_min
1,1,-4925.252493,138.136674,138.8774882,137.3958598,-5063.389167,0.9639423895,1395.078742,1395.078742,0.01668339778,44.41095763,8.238983478,0.6995644145,0,0,45.17414522,29.98998996,29.97385643,-0.001003866862,-0.001003866862
1,2,-5279.666423,379.7101444,523.0110383,236.4092505,-5659.376567,0.9643142829,43.98931956,43.98931956,0.3338705671,43.18821396,8.602821143,13.3552584,0,0,46.01731504,30.12353785,29.78557233,0.01909911908,0.0190883044
1,3,-5292.316159,375.6756674,516.4207035,234.9306314,-5667.991827,0.962819606,32.35265531,32.35265531,0.02416252548,16.10074738,8.611430208,6.068470132,0,0,19.24102716,30.13319405,29.7740524,-0.008387196729,-0.008703879235
1,4,-5304.028282,369.0836629,505.5001664,232.6671594,-5673.111945,0.9720030188,21.52151037,21.52151037,0.05053860829,15.54713348,8.612061839,12.4031588,0,0,21.67300895,30.15340566,29.74562853,0.01780621668,0.01685423154
1,5,-5315.048162,367.14248,502.2522192,232.0327407,-5682.190642,0.9757805111,30.08943971,30.08943971,0.02433402385,14.69194948,8.62143616,5.780434524,0,0,17.98877328,30.16313156,29.73207868,-0.007546655879,-0.008324537793
1,6,-5325.769537,364.2978065,497.4991775,231.0964354,-5690.067344,0.9816431146,20.4342989,20.4342989,0.05131285784,14.47679926,8.625419588,12.1005939,0,0,20.74608282,30.18365314,29.70368957,0.01744417686,0.01548027298
1,7,-5336.352508,363.7685222,496.699402,230.8376423,-5700.12103,0.9834961267,29.39335409,29.39335409,0.02448871404,14.27844218,8.635684133,5.768902052,0,0,17.65585405,30.19344118,29.69036036,-0.007040587901,-0.008343858577
1,8,-5347.11711,363.5747241,496.7312039,230.4182442,-5710.691834,0.9843938472,20.33619523,20.33619523,0.05201204781,14.34799193,8.641452714,12.33684918,0,0,20.80234182,30.21424238,29.66233352,0.01786291135,0.01470435855
1,9,-5358.205304,364.0899535,497.950937,230.22897,-5722.295257,0.9832183868,30.00263934,30.00263934,0.02462591374,14.72047119,8.652468468,6.001188992,0,0,18.09894339,30.22408488,29.64940625,-0.006777593719,-0.008719005871
1,10,-5369.927778,366.0035339,502.2262843,229.7807835,-5735.931312,0.9760932426,21.10209229,21.10209229,0.05259019194,15.04579712,8.658078616,13.06153826,0,0,21.72422883,30.24511696,29.62223983,0.01899854683,0.01435857582
1,11,-5382.439424,367.4229613,505.3890658,229.4568568,-5749.862385,0.9723951266,31.79885291,31.79885291,0.02473583703,15.93077505,8.669451978,6.459528261,0,0,19.25290878,30.25500237,29.60999626,-0.006683368463,-0.009428533627
1,12,-5396.047406,371.3110252,514.0031333,228.6189172,-5767.358431,0.9733048861,22.66281019,22.66281019,0.05289980564,16.47851774,8.672394537,14.20043995,0,0,23.41803725,30.27615759,29.58449524,0.02075189599,0.01425379432
1,13,-5410.896458,373.6601774,519.281727,228.0386278,-5784.556635,0.9696539101,34.60168956,34.60168956,0.02479135554,17.76109551,8.683532232,7.091677307,0,0,21.0036219,30.28606345,29.5733625,-0.006654804076,-0.01040031018
1,14,-5427.190569,379.6418801,532.6503331,226.6334271,-5806.832449,0.9509970379,24.83391932,24.83391932,0.052697278,18.44321742,8.681395217,15.52603511,0,0,25.62375184,30.30713667,29.55071626,0.0227973365,0.01408736449
1,15,-5444.944176,383.0146377,540.2614542,225.7678211,-5827.958814,0.9362431518,37.85495767,37.85495767,0.02476122269,19.83431702,8.691916047,7.748869835,0,0,22.99988087,30.31702829,29.54125745,-0.00652841902,-0.01141881015
1,16,-5464.045822,391.1569859,558.4770462,223.8369255,-5855.202808,0.8984263105,27.09801604,27.09801604,0.05182439312,20.45905995,8.68461367,16.57996613,0,0,27.72888252,30.33775129,29.5200889,0.02446278172,0.01346104823
