Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
0,-30.00003273,-9.999976572,3.999992211,-1.741218739e-06,5.999975146,5.087865181e-08,-29.99998854,-38.99998168,11.9999818,3.160778972e-06,26.99996568,5.492677794e-05
1,-29.98764488,-10.00007002,4.000007164,-1.740858001e-06,6.000029616,5.086811097e-08,-29.98760605,-38.99996993,11.99994122,3.160124135e-06,27.00002122,5.491539844e-05
2,-29.95075817,-10.00034828,4.000051688,-1.739783846e-06,6.00019181,5.083672403e-08,-29.95073526,-38.99993497,11.9998204,3.158174256e-06,27.0001866,5.488151421e-05
3,-29.88978784,-10.00080821,4.000125282,-1.738008367e-06,6.000459902,5.078484429e-08,-29.88979125,-38.99987717,11.99962068,3.154951286e-06,27.00045995,5.48255067e-05
4,-29.8051491,-10.00144669,4.000227445,-1.735543656e-06,6.000832066,5.071282509e-08,-29.80518906,-38.99979693,11.99934344,3.150477174e-06,27.00083942,5.474775734e-05
5,-29.6972572,-10.00226058,4.000357677,-1.732401804e-06,6.001306475,5.062101974e-08,-29.69734374,-38.99969465,11.99899004,3.14477387e-06,27.00132314,5.464864756e-05
6,-29.56652738,-10.00324674,4.000515474,-1.728594903e-06,6.001881305,5.050978158e-08,-29.56667037,-38.99957072,11.99856182,3.137863325e-06,27.00190925,5.45285588e-05
7,-29.41337487,-10.00440206,4.000700337,-1.724135046e-06,6.00255473,5.037946392e-08,-29.41358398,-38.99942554,11.99806016,3.129767487e-06,27.00259588,5.438787251e-05
8,-29.23821491,-10.00572339,4.000911764,-1.719034323e-06,6.003324923,5.023042009e-08,-29.23849964,-38.99925949,11.99748641,3.120508307e-06,27.00338119,5.422697011e-05
9,-29.04146272,-10.0072076,4.001149254,-1.713304826e-06,6.004190059,5.006300342e-08,-29.0418324,-38.99907297,11.99684193,3.110107734e-06,27.0042633,5.404623304e-05
10,-28.82353355,-10.00885156,4.001412306,-1.706958648e-06,6.005148311,4.987756722e-08,-28.82399732,-38.99886638,11.99612809,3.098587719e-06,27.00524036,5.384604273e-05
11,-28.58484263,-10.01065213,4.001700418,-1.70000788e-06,6.006197855,4.967446483e-08,-28.58540946,-38.99864011,11.99534624,3.085970211e-06,27.0063105,5.362678063e-05
12,-28.32580519,-10.0126062,4.002013089,-1.692464614e-06,6.007336865,4.945404955e-08,-28.32648386,-38.99839454,11.99449775,3.072277161e-06,27.00747186,5.338882816e-05
13,-28.04683647,-10.01471061,4.002349819,-1.684340942e-06,6.008563514,4.921667473e-08,-28.04763559,-38.99813009,11.99358397,3.057530517e-06,27.00872258,5.313256677e-05
14,-27.74835171,-10.01696225,4.002710105,-1.675648956e-06,6.009875976,4.896269369e-08,-27.7492797,-38.99784713,11.99260626,3.041752231e-06,27.0100608,5.285837789e-05
15,-27.43076614,-10.01935797,4.003093447,-1.666400746e-06,6.011272426,4.869245974e-08,-27.43183124,-38.99754607,11.99156599,3.024964251e-06,27.01148465,5.256664295e-05
16,-27.09449499,-10.02189465,4.003499344,-1.656608406e-06,6.012751039,4.840632621e-08,-27.09570528,-38.99722729,11.99046451,3.007188527e-06,27.01299228,5.22577434e-05
